"path","file_state","module","phase1_decision","phase3_decision","bundle","risk","recommended_next_action","safe_command_later","reason"
".gitignore","modified_tracked","Repo","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","gitignore_and_governance_docs","medium","Review ignore delta vs table/report policy; then commit or path-specific restore.","git diff -- .gitignore   # then either git restore -- .gitignore OR commit","Repo-wide ignore policy (Phase1 HOLD)."
"Switching/analysis/run_minimal_canonical.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_minimal_canonical.m""   # or git restore -- ""Switching/analysis/run_minimal_canonical.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_parameter_robustness_switching_canonical.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_parameter_robustness_switching_canonical.m""   # or git restore -- ""Switching/analysis/run_parameter_robustness_switching_canonical.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m""   # or git restore -- ""Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_backbone_confidence_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_backbone_confidence_audit.m""   # or git restore -- ""Switching/analysis/run_switching_backbone_confidence_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_backbone_stress_test.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_backbone_stress_test.m""   # or git restore -- ""Switching/analysis/run_switching_backbone_stress_test.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_backbone_validity_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_backbone_validity_audit.m""   # or git restore -- ""Switching/analysis/run_switching_backbone_validity_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","high","Mandatory human diff: canonical producer + namespace header batch.","git diff -- ""Switching/analysis/run_switching_canonical.m""","Highest-risk canonical driver."
"Switching/analysis/run_switching_canonical_collapse_hierarchy.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_collapse_hierarchy.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_collapse_hierarchy.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_collapse_visualization.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_collapse_visualization.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_collapse_visualization.m""","Modified Switching analysis script in governance-header batch."
