key,value
SWITCHING_SEMANTIC_SYNTHESIS_COMPLETE,YES
READ_ONLY_ENFORCED,YES
MATLAB_NOT_RUN,YES
NO_CODE_EDITS,YES
NO_RENAMES_EXECUTED,YES
NO_STAGING_OR_COMMIT,YES
INPUT_DISCOVERY_ARTIFACTS_FOUND,YES
CORE_GOVERNANCE_REPLAY_FINDINGS_RECONCILED,YES
SEMANTIC_TAXONOMY_WRITTEN,YES
ALIAS_MAP_WRITTEN,YES
FORBIDDEN_TERMS_WRITTEN,YES
RENAME_PLAN_WRITTEN,YES
FILENAME_BODY_MISMATCH_FLAGGED,YES
MIXED_PRODUCER_COLUMN_LEVEL_RULE_WRITTEN,YES
DIAGNOSTIC_PTCDF_QUARANTINE_PRESERVED,YES
GEOCANON_RESIDUAL_CANON_SEPARATION_PRESERVED,YES
STALE_ROW_SUPERSESSION_RULE_PRESERVED,YES
RENAME_EXECUTION_RECOMMENDED_NOW,NO
SAFE_TO_PROCEED_TO_PHASE2_CONTRACT_MATERIALIZATION,YES
SAFE_TO_PROCEED_TO_OLD_ANALYSIS_REPLAY,NO
