key,value
PHASE4B_STAGING_COMPLETE,YES
NOTHING_STAGED_AT_START,YES
EXACT_PLAN_COMMANDS_USED,YES
STAGED_PATH_COUNT,39
STAGED_SET_MATCHES_PLAN,YES
UNPLANNED_PATHS_STAGED,NO
QUARANTINE_PATHS_STAGED,NO
NON_SWITCHING_MODULES_STAGED,NO
FIGURE_BINARIES_STAGED,NO
SAFE_TO_COMMIT_PHASE4B,YES
STAGING_PLAN_CSV,tables/maintenance_phase4B_preflight_staging_plan.csv
STAGING_METHOD,One git add per path from plan path column; no -f; no wildcards.
LF_CRLF_WARNINGS,Some paths emitted Git LF/CRLF warnings only; not errors.
