field_name,required,field_type,allowed_values_or_source,description,example_value,validation_rule,notes
run_id,YES,string,opaque unique id per manifest store,Unique identifier for a Switching analysis run.,run_sw_20260429_phase3_preflight,Must be unique in the chosen manifest index.,
module,YES,string,Switching|other module label,Top-level module label for cross-module gating.,Switching,Must equal Switching for this contract family.,
analysis_family,YES,string,canonical|gauge|cdf|replay_audit|diagnostic|other controlled label,High-level analysis grouping for reporting and policy.,canonical,Maps to script taxonomy in registry when applicable.,
semantic_family_id,YES,string,tables/switching_semantic_taxonomy.csv semantic_family_id,Family governing outputs of this run.,CANON_GEN_SOURCE,Must exist in taxonomy.,
recommended_alias,NO,string,tables/switching_semantic_alias_map.csv,Display alias for reporting.,canonical_S_long,Optional.,
namespace_id,YES,string,namespace contract paths,Governance namespace for writers and lint scope.,SW_CANON_NAMESPACE,Align switching_semantic_writer_contract.,
source_commit,YES,string,git SHA,Commit the run was executed against.,f170bb2,WARN if dirty working tree unless documented in notes.,
working_tree_state,YES,string,clean|dirty|unknown,Whether repo matched commit at run.,dirty,WARN if dirty for replay-class runs.,
executing_script,YES,string,path,Primary entry script or runner.,run_switching_canonical.m,Must exist for replay harness when replay_safe true.,
execution_wrapper,NO,string,path or none,Wrapper or orchestrator if any.,run_phase3_preflight.ps1,Optional harness identification.,
matlab_or_tool_version,NO,string,semver or R20xxa or tool string,Tool versions for audit trail.,MATLAB R2024b,Recommended for replay equivalence.,
input_artifacts,YES,string,JSON list of repo-relative paths,Inputs read by the run.,["tables/foo.csv"],Cross-check existence when enforcing.,
output_artifacts,YES,string,JSON list of repo-relative paths,Outputs written.,["tables/bar.csv"],Each output should have sidecar when policy requires.,
sidecar_paths,YES,string,JSON list of paths,Sidecars produced or validated.,["tables/foo.sidecar.json"],Phase 3 validates against sidecar template.,
status_table,NO,string,path,Status CSV updated by run if any.,tables/switching_semantic_phase25_status.csv,Optional linkage.,
report_path,NO,string,path,Primary narrative report path.,reports/switching_preflight.md,Optional.,
figure_paths,NO,string,JSON list,Figures emitted.,["figures/p.png"],Optional.,
diagnostics_paths,NO,string,JSON list,Diagnostic logs or plots.,["diagnostics/l.txt"],Optional.,
claim_level,YES,string,same enum as sidecar claim_level,Strongest claim produced by this run.,diagnostic,Must satisfy allowed_use matrix for semantic_family_id.,
allowed_use,YES,string,codes or comma list,Uses asserted by this run.,diagnostics,Subset of switching_semantic_allowed_use_matrix.,
forbidden_use,YES,string,codes or comma list,Uses explicitly not asserted or forbidden.,canonical_authority,Must not appear in outputs if forbidden for family.,
diagnostic_quarantine_flag,YES,boolean,true|false,Run stayed in diagnostic or quarantine mode.,true,If false extra checks for promotion paths.,
replay_safe_flag,YES,boolean,true|false,Run is safe for corrected-old replay harness.,false,Phase 4 gate.,
canonical_safe_flag,YES,boolean,true|false,Run may touch canonical or authoritative outputs.,false,HARD_FAIL if true when matrix forbids.,
validation_status,YES,string,not_run|pass|warn|fail,Overall contract validation for manifest.,not_run,WARN-first aggregate.,
lint_status,YES,string,not_run|pass|warn|fail,Lint aggregate from applySwitchingLintRules.,not_run,HARD_FAIL reserved for unsafe promotion rules.,
error_status,YES,string,none|recoverable_error|fatal,Execution outcome class.,none,Fatal blocks downstream consumption.,
start_time_utc,YES,string,ISO-8601 UTC,Run start timestamp.,2026-04-29T10:00:00Z,Required for duration and audit ordering.,
end_time_utc,NO,string,ISO-8601 UTC,Run end timestamp.,2026-04-29T10:05:00Z,Optional if crashed.,
duration_seconds,NO,number,non-negative float,Wall-clock duration in seconds.,300,Should match end minus start when both present.,
notes,NO,string,free text,Run-level notes.,Preflight dry run.,Optional.
