analysis_id,failure_type,required_action,repair_level,notes,evidence
exec_run_switching_canonical_2026_04_02_234844,duplicate,Select SOURCE_OF_TRUTH run (run_2026_04_03_000147_switching_canonical) as the sole canonical reference for this artifact family; treat other TRUSTED runs as archival duplicates for policy only.,L1,"Artifacts already complete under results/switching/runs; repair is classification/linking only, not recomputation.","tables/switching_analysis_full_classification.csv; tables/switching_run_trust_classification.csv TRUSTED_CANONICAL row; tables/switching_collapse_verification.csv hash-equivalence note."
exec_run_switching_canonical_2026_04_03_000008,duplicate,Select SOURCE_OF_TRUTH run (run_2026_04_03_000147_switching_canonical) as the sole canonical reference for this artifact family; treat other TRUSTED runs as archival duplicates for policy only.,L1,"Same as sibling TRUSTED duplicate run.","tables/switching_analysis_full_classification.csv; tables/switching_run_trust_classification.csv; tables/switching_collapse_verification.csv."
exec_run_switching_canonical_2026_04_03_091018,ambiguous_dependency,Rebind trust metadata: align run id with tables/switching_run_trust_classification.csv policy (e.g. add TRUSTED_CANONICAL row or explicit exclusion rule) so classification matches existing full run_dir artifacts.,L2,"Valid run_dir with execution_status.csv and full switching_canonical_*.csv set exists per inventory notes; failure was trust-table omission/ambiguity, not missing files.","tables/switching_analysis_full_classification.csv; tables/switching_analysis_inventory.csv notes for exec_091018; tables/switching_run_trust_classification.csv (three TRUSTED ids listed)."
inv_switching_canonical_definition_audit,no_run,Produce a run-backed bundle under results/switching/runs with execution_status.csv and paired tables/reports for this audit id OR accept permanently as inspect-only (then it stays non-CANONICAL by definition).,L3,"Inventory and classification cite inspect-only; no run_dir for this analysis id in artifact paths.","tables/switching_analysis_full_classification.csv; tables/switching_analysis_inventory.csv (inspect-only note); reports/switching_canonical_definition_audit.md."
inv_switching_canonical_definition_extraction,duplicate,Rebind documentation: treat switching_canonical_definition_extraction.csv as derived from SOURCE_OF_TRUTH run outputs and code (DG2); avoid parallel Phi1 source of truth.,L1,"Extraction table exists; duplicate relative to run Phi1 per tables/switching_analysis_duplicates.csv DG2.","tables/switching_analysis_duplicates.csv DG2; tables/switching_canonical_definition_extraction.csv; tables/switching_analysis_full_classification.csv."
inv_switching_collapse_verification,missing_artifacts,Produce a dedicated run-scoped artifact set with execution_status.csv under results/switching/runs for a verification pass OR reclassify bundle as non-run documentation only.,L3,"Claim table and report exist at repo root; classification failure was absence of analysis-scoped run_dir with signaling contract for this id.","tables/switching_analysis_full_classification.csv; tables/switching_collapse_verification.csv; tables/switching_analysis_duplicates.csv DG3."
inv_switching_core_analysis_coverage,no_run,Produce run_dir-backed coverage pass with execution_status.csv OR narrow scope to pure citation of existing TRUSTED run paths (artifact update only).,L3,"Report exists; classification cites inspect-only and no run_dir for this analysis id.","tables/switching_analysis_full_classification.csv; reports/switching_core_analysis_coverage.md; tables/switching_analysis_inventory.csv."
inv_switching_scaling_canonical_test,missing_artifacts,Rerun or register scaling computation as a single Switching run under results/switching/runs with execution_status.csv and retain tables/switching_scaling_*.csv under that run_dir.,L3,"Metrics and report exist; classification cites lack of dedicated scaling run_dir with execution_status.","tables/switching_analysis_full_classification.csv; reports/switching_scaling_canonical_test.md; tables/switching_scaling_metrics_summary.csv."
inv_switching_canonical_boundary_definition,no_run,Produce run-backed boundary definition bundle with execution_status.csv under run_dir OR keep as documentation-only (non-CANONICAL).,L3,"Markdown and boundary table exist; no run_dir for this analysis id.","tables/switching_analysis_full_classification.csv; reports/switching_canonical_boundary_definition.md; tables/switching_canonical_boundary_and_runs.csv."
inv_switching_collapse_interpretation,duplicate,Consolidate with DG3 SOURCE_OF_TRUTH (inv_switching_collapse_verification) or drop redundant narrative; no recomputation of canonical science required.,L1,"Duplicate collapse topic per tables/switching_analysis_duplicates.csv DG3.","tables/switching_analysis_duplicates.csv DG3; tables/switching_analysis_full_classification.csv."
inv_phase1_execution_audit,no_run,Re-execute documented batch under approved wrapper with createRunContext and write execution_status.csv under results/switching/runs/<run_id>/ (or retire id as one-off log).,L3,"phase1_execution_audit.csv and report at repo root; classification cites no results/switching/runs run_dir for phase1-scoped bundle.","tables/switching_analysis_full_classification.csv; tables/phase1_execution_audit.csv; reports/phase1_execution_audit.md."
inv_switching_canonical_entrypoint_audit,no_run,Produce run-backed entrypoint survey with execution_status.csv under run_dir OR keep as inspect-only audit.,L3,"Report and registry CSVs exist; classification cites no run_dir for this analysis id.","tables/switching_analysis_full_classification.csv; reports/switching_canonical_entrypoint_audit.md; tables/switching_analysis_inventory.csv."
