term_or_file_family,current_meaning_if_found,confusion_risk,affected_paths,recommended_resolution,notes
CANON_GEN / CANON_GEN_SOURCE / EXPERIMENTAL_PTCDF_DIAGNOSTIC,Same producer script split by governance: S vs PT/CDF column claims,High — reader assumes one meaning per file,docs/switching_analysis_map.md;Switching/analysis/run_switching_canonical.m outputs,Always pair column family with namespace_id in prose; cite switching_canonical_S_long_column_namespace.md when cited in current_state,
canonical (bare),Protocol S_canonical vs CSV S vs manuscript backbone,Very high,docs/canonical_switching_system.md;docs/switching_canonical_definition.md;many run_switching_canonical_* scripts,Prefer CANON_GEN_SOURCE CORRECTED_CANONICAL_OLD_ANALYSIS EXPERIMENTAL tokens in claims,
switching_canonical_phi1.csv,Diagnostic Phi1-like on native I not manuscript Phi1_corrected_old,High — filename contains canonical,results/.../switching_canonical_phi1.csv;docs/switching_phi1_terminology_contract.md,Use required safe sentence from phi1 contract in captions,
Phi1 / phi1 / mode1,Recipe-specific first SVD direction vs governed names,High,multiple analysis scripts and CSVs,Require namespace_id + SVD_input + coordinate_grid per map naming rules,
X_eff vs X_canon,X_eff composite gauge; X_canon shorthand forbidden,Medium in CM high if reader skips CM docs,docs/cross_module_switching_relaxation_AX_index.md;docs/switching_artifact_policy.md,Single Switching-facing one-liner cross-link,
LEGACY_OLD_TEMPLATE vs corrected-old,Legacy original runs vs replay on canonical S,Medium,docs/switching_analysis_map.md,Explicit side-by-side in onboarding index,
REPLAY vs CANON_FIGURE_REPLAY,Physics replay on tables vs layout-only regen,Medium,docs/switching_analysis_map.md,Clarify figure_only vs physics_analysis tags per map,
PHI2_KAPPA2_HYBRID,Filename canonical but first stage OLD_RESIDUAL_DECOMP,High,Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m;docs/switching_analysis_map.md,Already quarantine note in map; script rename deferred,
Phase 4B C02 C02B,QA collapse defect panels not Phi1 definitions,High without phi1 contract,docs/switching_phi1_terminology_contract.md,Glossary or link from analysis_map,
P0,Anchored pipeline families in AX cross-module ladder,High if reader expects Switching-only definition,docs/cross_module_switching_relaxation_AX_index.md,Document P0 pointer inside Switching roadmap,
switching_corrected_old_*.png,Many quarantined misleading if built from wrong backbone,High,figures/switching/canonical/;reports/switching_quarantine_index.md,Read quarantine index before citing figures,
R (bare),Repo forbids plain R in new code; Relaxation vs Aging R differ,Low in Switching audit scope,docs/repo_execution_rules.md,Included for cross-discipline reader confusion,
