test_type,artifact_path,run_id,metric_used,compares_what,evidence_strength,notes
parameter,reports/parameter_robustness_stage1_canonical_report.md,run_2026_03_10_112659_alignment_audit (cited; folder not present under results/),corr_vs_canonical / rmse (see tables_old CSV),IPEAK/WIDTH/S_PEAK/KAPPA1 profiles vs canonical on fixed sample grid,WEAK,"Report cites alignment_audit run and locked samples; not present in workspace results tree. Variants vary extraction methods—not Switching ver12 preprocessing flags or P2P_percent vs medianAbs at raw stage."
parameter,tables_old/parameter_robustness_stage1_canonical_summary.csv,same as report,corr_vs_canonical rmse_abs median_rel_dev,per-parameter variant vs canonical row on same underlying grid,PARTIAL,"Quantitative cross-variant table exists in repo; source run artifacts not verified present. Still post-sample observables—not raw→Smap via ver12 resimulation."
parameter,Switching/analysis/run_parameter_robustness_switching_canonical.m,N/A (script only),builds Smap via buildMapOnGrid(Tsamp),Smap from readtable(samplesPath) not processFilesSwitching,STRONG,"Proves parameter robustness script does not re-run Layer 1; Tsamp from CSV."
measurement,reports/switching_measurement_robustness_report.md,run_2026_03_29_014529_switching_physics_output_robustness_fast (cited; not in workspace),pearson spearman nrmse,I_peak width S_peak kappa1 across variants,WEAK,"Run directory cited in report not found under results/Switching/runs. Observable-level robustness; not documented as ver12 raw-path resimulation."
measurement,reports/switching_intra_measurement_robustness_report.md,same physics_output run (cited),pearson spearman nrmse max_rel_dev,intra-definition groups raw_xy_delta vs baseline_aware,WEAK,"Same missing run backing; compares measurement definitions on outputs—not Layer 1 code paths."
map,reports/parameter_robustness_stage1b_width_kappa_report.md,N/A,collapse_min_corr_noncanonical width_min_corr_noncanonical,map stability vs scalarization narrative,WEAK,"Stage1B discusses MAP_STABLE_BUT_SCALARIZATION_FRAGILE for collapse/width correlation context; does not state paired Smap RMSE from two independent ver12 ingestions."
map,tables_old/parameter_robustness_stage1_canonical_summary.csv,see above,corr_vs_canonical,implicitly map-derived observables not pairwise Smap diff,WEAK,"Correlations apply to derived metrics; no column pair for Smap_A vs Smap_B from different ver12 configs."
structure,reports/switching_pipeline_stability.md,N/A,MAP_STABLE PHI1_STABLE etc.,consolidated pipeline flags,WEAK,"Aggregates parameter/stage1/physics robustness docs; MAP_STABLE refers to consolidated verdict not Layer 1-only proof."
structure,reports/switching_pipeline_stability_post_enforcement.md,references run_2026_03_29... (missing),MAP_STABLE PHI1_STABLE,phi1 enforcement + reconstruction,WEAK,"Downstream phi1/reconstruction; not Switching ver12 formation stage."
multi_run,results/Switching/runs/run_2026_04_03_000147_switching_canonical,run_2026_04_03_000147_switching_canonical,single-run outputs,switching_canonical_S_long.csv S_percent grid,STRONG,"Run-backed in workspace. Reproduces one canonical pipeline; no second run with varied Layer 1 parameters for A/B Smap."
multi_run,results/Switching/runs/run_2026_04_03_000008_switching_canonical,run_2026_04_03_000008_switching_canonical,same,duplicate canonical execution,STRONG,"Two timestamps; same script/config class—multi-run consistency of pipeline not sensitivity study."
code_audit,reports/ver12_canonical_audit.md,N/A,line references,static inventory of processFilesSwitching filters thresholds,PARTIAL,"Thorough code trace of Layer 1 implementation; not experimental robustness testing."
measurement,Switching ver12/main/Switching_main.m (referenced by audits),N/A,P2P_percent vs medianAbs comment,alternate metric strings in comments only,NONE,"Comment lists alternate ampTempMetric options; no repo artifact shows automated comparison runs for Layer 1."
