artifact,writer,write_count,overwrite,size_estimate,classification,redundancy_flag,notes
execution_status.csv,run_switching_canonical.m_writetable,3,YES_ordered_final_SUCCESS,UNKNOWN,ESSENTIAL,NO_intentional_progressive,"Signaling_contract;_artifact_lineage_map"
execution_probe.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
execution_probe_top.txt,run_switching_canonical.m_fopen,1,N_A_empty_file,UNKNOWN,ESSENTIAL,NO,
execution_probe_status.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
run_manifest.json,createRunContext.m_writeManifest,1_or_skip_if_exists,SKIP_if_preexists,UNKNOWN,ESSENTIAL,NO,"May_skip;_see_artifact_lineage"
config_snapshot.m,createRunContext.m_writeConfigSnapshot,1,NO,UNKNOWN,ESSENTIAL,NO,system_reality_audit_section_3
log.txt,createRunContext.m_writeLogHeader,1_append_header,append,UNKNOWN,ESSENTIAL,NO,
run_notes.txt,createRunContext.m_ensureRunNotesFile,0_or_1,conditional,UNKNOWN,ESSENTIAL,NO,
switching_canonical_S_long.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,"Long_format_duplicate_of_grid_physics;_by_design"
switching_canonical_observables.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
switching_canonical_phi1.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
switching_canonical_validation.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
run_switching_canonical_report.md,run_switching_canonical.m_fprintf,1,NO,UNKNOWN,ESSENTIAL,NO,
run_switching_canonical_implementation.md,run_switching_canonical.m_fprintf,1,NO,UNKNOWN,ESSENTIAL,NO,
run_switching_canonical_implementation_status.csv,run_switching_canonical.m,1,NO,UNKNOWN,ESSENTIAL,NO,
runtime_execution_markers.txt,write_execution_marker.m,append_many,N_A_append,UNKNOWN,ESSENTIAL,NO,"Ordered_observability"
tables/runtime_execution_markers_fallback.txt,write_execution_marker.m,0_or_1_early,append,UNKNOWN,REDUNDANT,cross_run_noise,"io_behavior_map;_not_run_scoped"
Read_many_dat_via_legacy,processFilesSwitching_internal,READ_HEAVY,N_A,UNKNOWN,ESSENTIAL,UNKNOWN,"io_behavior_map;_dominates_S1;_sizes_unknown_without_raw_tree"
