path_or_violation_id,item_type,current_state,phase_1_5_evidence_source,in_canonical_runtime_closure,reachability_note,classification_verdict,runtime_truth_impact,blocking_status,required_action_class,rationale
Switching/analysis/run_switching_canonical.m,file,untracked,"post_rollback_boundary_verification.csv row; git status",YES,"Required at script entry; sole authoritative Switching runner per policy.",CANONICAL_REQUIRED,"Defines canonical execution truth for Switching.",BLOCKING_COMMITTED_BASELINE,"MUST_TRACK","Canonical entrypoint is listed in canonical_boundary_truth.csv but absent from HEAD; untracked state prevents reproducible committed boundary; blocks a clean Phase 1 gate vs git."
tools/write_execution_marker.m,file,untracked,"post_rollback_boundary_verification.csv; git status",YES,"Invoked by entrypoint; on closure path.",CANONICAL_REQUIRED,"Affects observability and optional repo tables fallback.",BLOCKING_COMMITTED_BASELINE,"MUST_TRACK","In 16-file closure; untracked; same committed-baseline gap as entrypoint; separate from REPO_TABLES_FALLBACK_WRITE behavior."
Aging/utils/createRunContext.m,file,modified_vs_HEAD,"post_rollback_boundary_verification.csv; git diff HEAD",YES,"Required for run_dir and manifests.",CANONICAL_REQUIRED,"Determines run identity and outputs path.",BOUNDARY_DRIFT,"MUST_RESTORE_OR_COMMIT","In closure; local diff vs HEAD is unreviewed drift relative to frozen baseline; must align (restore to HEAD or commit reviewed change) before declaring clean scope."
Switching ver12/main/Switching_main.m,file,modified_vs_HEAD,"post_rollback_boundary_verification.csv; git diff HEAD",YES,"Fileread for embedded raw parentDir string.",LEGACY_REACHABLE,"Raw path string affects upstream input truth; not executed as script.",BOUNDARY_DRIFT,"MUST_RESTORE_OR_COMMIT","Closure member as EXTERNAL_INPUT; modifications vs HEAD change fileread content or path donor—review vs restore."
REPO_TABLES_FALLBACK_WRITE,violation,documented,"canonical_boundary_violations_truth.csv; write_execution_marker.m",YES,"Only if marker runs before run_dir exists.",CANONICAL_REQUIRED,"Can write repo-root tables/; not on MATLAB numerical result path but violates separation policy.",NON_BLOCKING_MATLAB_TRUTH,"MUST_REMEDIATE_BEFORE_PHASE_2","Affects repo hygiene and policy; does not change Switching physics outputs in closure; blocking for strict governance gate, optional for science-only Phase 2 if policy allows."
LEGACY_EMBEDDED_EXTERNAL_RAW_PATH,violation,documented,"canonical_boundary_violations_truth.csv; run_switching_canonical.m",YES,"Embedded string in Switching_main.m.",LEGACY_REACHABLE,"Determines which raw .dat tree is read.",NON_BLOCKING_CLOSURE_DEFINITION,"RECLASSIFY_ONLY","Known design; off-repo paths; not fixed by rollback—document and accept or externalize config."
CASE_SENSITIVE_ISOLATION_CHECK,violation,documented,"canonical_boundary_violations_truth.csv",UNCERTAIN,"String compare in run_switching_canonical.m.",GOVERNANCE_ONLY,"Provenance string only.",NON_BLOCKING,"NO_ACTION","LOW severity logic check; optional fix later."
docs/repo_context_infra.md,file,deferred_preserved,"manual_review_resolution.csv DEFER_PRESERVE",NO,"Not loaded by MATLAB closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Agent/repo documentation only."
docs/repo_context_minimal.md,file,deferred_preserved,NO,NO,"Not loaded by closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Documentation only."
docs/repo_map.md,file,deferred_preserved,NO,NO,"Not loaded by closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Documentation only."
