status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
NEW_MODELS_RUN,NO
FULL_AX_RERUN,NO
FIGURES_CREATED,NO
FIGURES_MODIFIED,NO
USED_AX_18C_ARTIFACTS,YES
SCALING_INVENTORY_COMPLETE,YES
INVD_POWER_ALPHA_AOBS,0.562460847
INVD_POWER_ALPHA_ASVD,0.558279495
T_POWER_UNSUPPORTED,YES
XEFF_POWER_UNSUPPORTED,YES
INVD_POWER_BEST_TESTED_EMPIRICAL_SCALING,YES
PHYSICAL_SCALING_LAW_ESTABLISHED,NO
ALL_SIMPLE_SCALING_LAWS_RULED_OUT,NO
ALL_TESTED_SIMPLE_SCALING_LAWS_RULED_OUT_AS_PHYSICAL_LAWS,YES
SCALING_CLAIMS_MANUSCRIPT_SAFE,YES_WITH_SMALL_N_CAVEATS
NEXT_EXTRA_SCALING_TEST_REQUIRED,NO
SAFE_TO_COMMIT_SCALING_CLOSURE_PACKAGE,YES
