inconsistency_id,inconsistency_type,affected_paths,description,evidence,impact,recommended_resolution,requires_migration,requires_policy_update,risk_level
RSG-001,ROOT_MIXED_ROLE_OVERLOAD,. ; scripts; logs; tmp; reports; tables,"The repository root holds source entrypoints, maintenance docs, CSV audits, logs, MAT data, and transient probes together instead of acting as a controlled index layer.","Root has 139 files including 57 run_* files, 14 markdown files, 12 csv files, 11 log files, and 73 m-files.","High ambiguity about what is authoritative, durable, transient, or safe to touch.","Limit root to repo metadata and minimal bootstrap files; route new scripts to scripts/ or module source, durable docs to docs/ or reports/, tables to tables/, and transient outputs to results/<module>/runs/.",TRUE,TRUE,HIGH
RSG-002,MODULE_LAYOUT_INCONSISTENCY,Switching; Aging; Relaxation ver3; MT ver2,"The active modules use different internal conventions for the same roles: Aging is deeply structured, Switching is shallow, Relaxation is mostly flat, and MT is fully flat.",Aging contains analysis/ diagnostics/ models/ pipeline/ plots/ tests/ utils/ docs/ verification; Switching contains analysis/ utils; Relaxation ver3 is mostly root-level plus diagnostics; MT ver2 has no subdirectories.,Cross-module onboarding and automation must special-case every module.,Document a minimal allowed module convention and gradually align new files to it without forcing immediate renames of historical trees.,TRUE,TRUE,HIGH
RSG-003,MODULE_NAME_ALIAS_DRIFT,MT ver2; results/mt,Source and artifact layers use different names for the same module.,The source folder is MT ver2 while the run-output tree is results/mt.,"Automations and humans must remember alias translations, increasing routing mistakes.","Publish an explicit module alias table now, and defer any physical rename until code-reference checks are complete.",FALSE,TRUE,MEDIUM
RSG-004,RESULTS_VS_DURABLE_FIGURES_MIX,results/aging/figures; figures/aging; figures/relaxation; results/switching/figures,Figure exports are split between results/ subtrees and the top-level figures/ namespace.,results/aging/figures contains png/fig/csv/md while figures/aging is empty and figures/relaxation is populated independently.,It is unclear which figure location is canonical for long-term reference.,Declare figures/ as the durable export layer and keep results/*/figures only for run-scoped ephemeral products unless lineage rules explicitly promote them.,TRUE,TRUE,HIGH
RSG-005,REPORTS_NAMESPACE_CONTAINS_CODE,reports; reports/aging; reports/maintenance,"The durable reports area also contains code, scripts, logs, and CSVs.","reports contains md plus m, ps1, csv, json, partial_do_not_use, and log files.","Durable reporting and execution support are blended, which weakens report lineage.",Reserve reports/ for durable narrative outputs only; place supporting execution code in scripts/ or tools/ and keep maintenance run logs under results or maintenance run folders.,TRUE,TRUE,HIGH
RSG-006,TABLES_NAMESPACE_CONTAINS_SOURCE,tables; tables/aging,The durable tables layer contains source-like files and ad hoc sidecar text/json content.,"tables/aging contains hundreds of csv files but also an m-file, json exports, and txt sidecars.",It becomes difficult to distinguish canonical tabular outputs from helper logic or staging metadata.,Reserve tables/ for durable structured exports and move source helpers elsewhere; keep any required sidecar manifests under a documented pattern.,TRUE,TRUE,HIGH
RSG-007,ANALYSIS_LAYER_MIXES_CODE_AND_OUTPUTS,analysis; analysis/knowledge,Shared analysis code also stores logs and knowledge CSVs in the same namespace.,"analysis contains m, ps1, txt, and log files; analysis/knowledge contains csv alongside code.",Shared code becomes a dumping ground for both logic and generated evidence.,"Keep reusable analysis code in analysis/ or tools/, and route knowledge tables or generated evidence into tables/analysis or docs/analysis by policy.",TRUE,TRUE,HIGH
RSG-008,TOOLS_VS_SCRIPTS_BOUNDARY_BLUR,tools; scripts,Reusable infrastructure and disposable execution wrappers are split across both tools/ and scripts/ without a sharp contract.,"Both folders contain mixtures of m, ps1, and py files; scripts also contains csv, md, txt, and log artifacts.","New helpers can land in either place, causing drift and duplication.",Define tools/ for reusable infrastructure and scripts/ for stable top-level orchestrators only; route disposable outputs elsewhere.,TRUE,TRUE,MEDIUM
RSG-009,TRANSIENT_OUTPUT_SCATTER,results; runs; logs; tmp; probe_outputs; status; root,Transient execution evidence is scattered across multiple unrelated top-level namespaces.,"Run logs and probe outputs appear under results/*/runs, runs/, logs/, tmp/, status/, and root-level *.log/*.txt files.",Operators cannot tell where fresh runtime evidence should live or where it can be safely cleaned up.,Adopt results/<module>/runs/<run_id>/ as the standard run container and reserve a maintenance run area for repo-health executions.,TRUE,TRUE,HIGH
RSG-010,LEGACY_NAMING_VARIANCE,Aging old; results_old; tables_old; archive; _legacy; tmp_root_cleanup_quarantine; junk,"Legacy, archival, stale, and quarantine material is spread across several differently named holding areas.","The repo uses old, results_old, tables_old, archive, _legacy, quarantine, and junk names for similar governance states.","It is unclear which areas are write-closed, recoverable, experimental, or still active.","Publish a single legacy/quarantine vocabulary and mark each existing path as write-closed, migration-candidate, or actively governed.",FALSE,TRUE,HIGH
RSG-011,MAINTENANCE_OUTPUTS_SCATTER,. ; reports/maintenance; tables; results_old/repository_audit; tmp_root_cleanup_quarantine,Repository-health outputs are partly routed to the desired maintenance areas but many still land at the root or in ad hoc folders.,Root contains cleanup and audit markdown/csv files while reports/maintenance already exists and tables/ contains maintenance-friendly csv space.,Governance work itself contributes to the clutter it is trying to reduce.,Route all future maintenance reports to reports/maintenance and maintenance tables to named tables/maintenance_*.csv outputs.,TRUE,TRUE,HIGH
RSG-012,DURABLE_DOCS_SCATTER,docs; reports; surveys; canonical; root; module docs folders,Durable human-readable documentation exists in several unrelated namespaces.,"Markdown is present at the root, in docs/, reports/, surveys/, canonical/, Aging/, Relaxation ver3/, Switching/, and other source folders.","Readers have no single discovery path for stable architecture, policy, and scientific narrative documents.","Use docs/ for policies and architecture, reports/<module>/ for durable study outputs, and keep module-local docs only when tightly coupled to source internals.",TRUE,TRUE,MEDIUM
RSG-013,RUN_FOLDERS_EMBED_SOURCE_SNAPSHOTS_WITHOUT_CONTRACT,results/*/runs/*; runs,"Run folders include m-files, which may be valuable lineage snapshots, but the repository does not clearly declare whether those copies are immutable evidence or live source.",Representative run directories contain one m-file plus csv/txt/json sidecars.,"Users may edit or treat run snapshots as source code, risking lineage confusion.",Document run-folder source snapshots as immutable execution lineage copies or formalize a separate snapshot subfolder name.,FALSE,TRUE,MEDIUM
RSG-014,VENDORED_EXTERNAL_ASSETS_NOT_ISOLATED,github_repo,Third-party color assets and helper code live in a first-party sounding top-level directory.,github_repo contains cmocean and ScientificColourMaps8 with many palettes and asset formats.,Ownership and cleanup expectations are unclear compared with first-party scientific code.,Document this area as vendored external content now; consider a future vendor/ namespace only after license and code-reference checks.,TRUE,TRUE,MEDIUM
