T_K,kappa1,kappa2,yhat_PT,yhat_kappa1,yhat_PT_plus_kappa1,yhat_small_nonlinear,yhat_best,residual_best,is_transition_22_24K,pt_width_q90_q10,pt_asymmetry,pt_std_I,pt_width_q75_q25
4,0.179546725888347,-0.0640047699707212,-0.108154700584713,-0.018565436276276,-0.0243725806793527,-0.0437580934680446,-0.0243725806793527,-0.0396321892913685,0,21.9876957609639,5.68979650953525,7.86661927653615,11.3122194293393
6,0.190781377067108,-0.0605138392328379,-0.0655075326425031,-0.0324674320787188,-0.0604234021980434,-0.0783376802364174,-0.0604234021980434,-9.04370347945271e-05,0,21.3503352573376,5.70725282173536,7.71067565032795,10.9613370538511
8,0.19690765457114,-0.0497471999262748,-0.00655054711216027,-0.0436912013296203,-0.0612834858435881,-0.0560687645657103,-0.0612834858435881,0.0115362859173133,0,20.5914933664711,5.94479772255646,7.60493883219001,10.4930199851331
10,0.17710703759542,-0.0256574859113368,0.0339151139551091,-0.023724651892817,0.00266527552218283,0.0172385152273598,0.00266527552218283,-0.0283227614335196,0,20.097827536186,6.09269787906352,7.54520029995239,10.3047166857699
12,0.15269503326033,0.0477612085102726,0.0231512904378317,-0.00357254517371102,0.00370504411689368,-0.010093106141896,0.00370504411689368,0.0440561643933789,0,20.4809710852797,6.35189731085005,7.59912993304907,10.2668713380909
14,0.12447122604336,0.0594471535704106,0.0287568976306778,0.0296369770891027,0.0443028772842469,0.0742145426751838,0.0443028772842469,0.0151442762861637,0,20.9551977120346,6.68623641737882,7.68596545689489,10.347266227486
16,0.107134927362003,0.0752278921170503,0.0407895938830873,0.0481253212931607,0.0671079484745187,0.0890996806862547,0.0671079484745187,0.0081199436425316,0,20.7518761573487,6.79413664271772,7.63242207540779,10.1589549496866
18,0.0980185873442758,0.0836028764528488,0.0721775630294686,0.0576471631304902,0.0808022718488161,0.0672317958448153,0.0808022718488161,0.00280060460403272,0,20.0774804549212,6.78469596313955,7.54938147350023,9.79699694290205
20,0.0898318457622685,0.045131247968869,0.110519112152555,0.0723382668015685,0.107221105766899,0.0951536623982811,0.107221105766899,-0.0620898577980296,0,18.4400250674583,6.21141270434094,7.3329322277851,9.23535218379174
22,0.0382966167716672,0.104307225804054,-0.155273058553713,0.132967572432581,-0.0962692717323398,-0.230071887375948,-0.0962692717323398,0.200576497536394,1,13.6458608904552,4.12385965184077,6.25589013173686,7.12291753419211
24,0.0699734936967039,0.161844364344758,-0.142184624868455,0.0752704457531758,-0.0872583196510108,-0.136338517778729,-0.0872583196510108,0.249102683995769,1,10.4920180999594,3.75555005323872,4.28520819721847,5.67249028391149
26,0.0640590044738315,0.0132129836315959,0.504202338921647,0.116687279331066,0.417834236791657,0.54691554412294,0.417834236791657,-0.404621253160061,0,7.33333333333333,2,2.5,3.33333333333333
