phase3_component,input_contracts,check_type,default_severity,hard_fail_condition,expected_output,notes
Semantic registry lookup,"tables/switching_semantic_materialized_artifact_registry.csv; tables/switching_semantic_taxonomy.csv",artifact registered or explicit waiver,WARN,none for diagnostics-only scripts when waived in manifest,"resolved semantic_family_id per artifact_path or script row","Cross-links producer_script and column-class splits."
Allowed-use vs claim,"tables/switching_semantic_allowed_use_matrix.csv; sidecar claim_level allowed_use forbidden_use",matrix consistency,WARN,"canonical_safe or authoritative claim_level while matrix forbids","PASS or WARN list per family vs claim","Compare strongest claim in sidecar or manifest to matrix NO cells."
Writer contract compliance,"tables/switching_semantic_writer_contract.csv; manifest namespace_id; sidecar metadata fields",required metadata keys,WARN,"promotion to canonical_outputs while writer contract forbids role","checklist of missing writer fields","Future scripts supply headers; Phase 3 checks presence when outputs declared."
Lint catalog evaluation,"tables/switching_semantic_lint_rules.csv; tables/switching_semantic_forbidden_terms.csv; target files and sidecars",rule engine,WARN except SW_LINT_019 class,"unsafe canonical or authoritative promotion per lint catalog HARD_FAIL rules","lint_status per target plus aggregate","WARN-first globally; HARD_FAIL only unsafe promotion paths per Phase 2 design."
Sidecar schema validation,"tables/switching_semantic_sidecar_template.csv; per-artifact sidecar files",schema,WARN,"replay_safe true or canonical_safe true with schema invalid","validation_status per sidecar","Required fields and enums must parse."
Run manifest schema validation,"tables/switching_semantic_run_manifest_template.csv; run manifest files",schema,WARN,"replay_safe true with invalid manifest or dirty tree undocumented","validation_status per manifest","working_tree_state dirty must pair with notes or WARN."
Helper contract presence,"tables/switching_semantic_helper_contract.csv",documentation,WARN,none,"helpers listed for implementation tracking","Ensures API surface agreed before coding helpers."
Cross-artifact hash and lineage,"sidecar input_artifact_hashes output_artifact_hash; manifest input_artifacts output_artifacts",consistency,WARN,"canonical_safe with hash mismatch when enforcement on","list of mismatches","Optional strict mode later."
Semantic family resolution,"tables/switching_semantic_alias_map.csv; taxonomy",resolution,WARN,none,"resolved family for ambiguous script keys","Feeds WARN when UNKNOWN_FAMILY."
Phase 2 synthesis alignment,"tables/switching_semantic_rename_plan.csv; tables/switching_semantic_synthesis_status.csv",policy drift,WARN,none,"WARN if rename_plan contradicts sidecar recommended_alias usage","Read-only cross-check; no rename execution."
Preflight aggregate reporter,n/a,rollup,WARN,"any HARD_FAIL lint or unsafe promotion path triggered","machine-readable summary plus exit code policy","CI may fail on HARD_FAIL only; WARN counts reported."
