key,value
INFRA04C_CLEAN_TASK_COMPLETED,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
POWERSHELL_RUN,NO
OLD_ANALYSIS_CODE_EDITED,NO
OLD_GENERATORS_EDITED,NO
OLD_RUNS_REGENERATED,NO
STALE_DEPENDENCIES_PATCHED,NO
REPO_WIDE_CLEANUP_ATTEMPTED,NO
LEGACY_PNGS_EDITED,NO
INFRA04C_MAINTENANCE_ARTIFACTS_PRESERVED,YES
INVALID_PLACEHOLDERS_FOUND,YES
INVALID_UNTRACKED_PLACEHOLDERS_REMOVED,YES
TRACKED_OR_MODIFIED_SIDE_EFFECTS_FOUND,NO
MANUAL_RESTORE_DECISION_REQUIRED,OPTIONAL_matlab_error_log_and_prior_local_phi2_backup
CANONICAL_ONLY_SCOPE_CONFIRMED,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
