verdict_key,verdict_value
SW_FIG_INFRA_01_TASK_COMPLETED,YES
TARGET_SCRIPT_FOUND,YES
TARGET_SCRIPT_EDITED,YES
POWERSHELL_WRAPPER_PRESERVED,YES
MATLAB_RENDERING_PRESERVED,YES
FIG_EXPORT_ADDED,YES
PNG_EXPORT_PRESERVED,YES
PDF_EXPORT_PRESERVED_IF_EXISTING,YES
DATA_LOGIC_UNCHANGED,YES
PLOTTING_LOGIC_UNCHANGED,YES
FIG_AND_PNG_AVAILABLE_FOR_EACH_TARGET,YES
SCRIPT_EXECUTED,YES
STATIC_VALIDATION_ONLY,NO
NO_RELAXATION_FILES_EDITED,YES
NO_AGING_FILES_EDITED,YES
NO_REPO_POLICY_FILES_EDITED,YES
NO_STAGE_COMMIT_PUSH,YES
