source,publication_route,issue_or_branch,rule_id,module,module_state,severity,confidence,title,evidence_ref,normalized_status,notes
Run output audit,PR_branch_maintenance_status_pack,maintenance/status-pack-runner/reports/maintenance/agent_outputs/2026_05_04,RO_SUSPICIOUS_006,multi_module,UNKNOWN,MEDIUM,HIGH,Run-output completeness validation blocked: no accessible results experiment runs roots in Codex workspace,branch_path:maintenance/status-pack-runner/reports/maintenance/agent_outputs/2026_05_04;rule:RO_SUSPICIOUS_006,BLOCKED_BY_ACCESS,Primary published finding from 2026-05-04 run-output audit; local agent_outputs tree not present in this worktree
Helper duplication guard,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/29,HD_SCOPE_003,Switching,CANONICAL,HIGH,HIGH,Local buildSwitchingMapRounded duplicates Switching utils implementation,issue:#29;path:Switching/analysis/switching_full_scaling_collapse.m;path:Switching/analysis/switching_energy_scale_collapse_filtered.m;path:Switching/utils/buildSwitchingMapRounded.m,OPEN,Concentrated in canonical Switching analysis paths
Helper duplication guard,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/29,HD_SIM_001,Switching,CANONICAL,MEDIUM,HIGH,Smoothing trio duplicated across switching_dynamic_shape_mode_analysis and switching_translation_mode_test,issue:#29;path:Switching/analysis/switching_dynamic_shape_mode_analysis.m;path:Switching/analysis/switching_translation_mode_test.m,OPEN,Identical smoothAlongTemperature fillMissingByColumn derivativeAlongCurrent blocks
Helper duplication guard,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/29,HD_EXPORT_004,Switching,CANONICAL,HIGH,MEDIUM,Run-output helpers buildReviewZip and appendRunNotes copied with many variants in Switching analysis,issue:#29;path:Switching/analysis/switching_geometry_diagnostics.m;doc:docs/AGENT_RULES.md#visualization-helpers,OPEN,Overlaps output-routing and review-bundle semantics risk with steward output findings
Helper duplication guard,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/29,HD_NAME_002,Switching,CANONICAL,LOW,HIGH,Numeric wrapper names toNum toNumeric toNumericColumn proxy switchingNumericColumn,issue:#29;path:Switching/utils/toNum.m;path:Switching/utils/toNumeric.m;path:Switching/utils/toNumericColumn.m,OPEN,Naming surface ambiguity not behavior divergence
Helper duplication guard,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/29,HD_SCOPE_003,Aging,NOT_CANONICAL,LOW,HIGH,estimateRobustBaseline duplicated between Aging analysis and utils with comment-only divergence,issue:#29;path:Aging/analysis/estimateRobustBaseline.m;path:Aging/utils/estimateRobustBaseline.m,OPEN,Non-canonical module hygiene and WIP migration risk not canonical-failure evidence
Canonicalization progress guard,PR_branch_publish_canonicalization,publish/canonicalization-progress-guard-2026-04-29,CANON_GUARD_SW_IDENTITY,Switching,CANONICAL,MEDIUM,HIGH,Switching control state contradictory around tables/switching_canonical_identity.csv,branch:publish/canonicalization-progress-guard-2026-04-29;narrative:guard_summary_2026-05-04,OPEN,Aligns with steward SAS_SOURCE_009 and drift RS_LEGACY identity themes; branch artifact not checked out locally
Canonicalization progress guard,PR_branch_publish_canonicalization,publish/canonicalization-progress-guard-2026-04-29,CANON_GUARD_RLX_VER3_STATUS,Relaxation ver3,NOT_CANONICAL,MEDIUM,MEDIUM,Relaxation ver3 exact-token canonical status missing or incomplete in progress narrative,branch:publish/canonicalization-progress-guard-2026-04-29,OPEN,Evidence from published guard narrative only in this triage
Canonicalization progress guard,PR_branch_publish_canonicalization,publish/canonicalization-progress-guard-2026-04-29,CANON_GUARD_MT_NARRATIVE,MT ver2,NOT_CANONICAL,MEDIUM,MEDIUM,MT coverage narrative stale versus live blockers,branch:publish/canonicalization-progress-guard-2026-04-29,OPEN,WATCH-level documentation drift unless contradicted by newer owner edits
Canonicalization progress guard,PR_branch_publish_canonicalization,publish/canonicalization-progress-guard-2026-04-29,CANON_GUARD_CM_SYNTHESIS_PROMOTION,cross_module,UNKNOWN,HIGH,MEDIUM,analysis/unified_dynamical_crossover_synthesis.m promotes non-canonical Aging and Relaxation paths as canonical or paper-ready,branch:publish/canonicalization-progress-guard-2026-04-29;path:analysis/unified_dynamical_crossover_synthesis.m,OPEN,Requires explicit cross-module charter before direct remediation edits to scientific stance
Switching steward,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/30,SAS_OUTPUT_003,Switching,CANONICAL,HIGH,HIGH,Outputs split across run-root repo-root and non-run figure surfaces including canonical_paper pass,issue:#30;path:Switching/utils/switchingWriteTableBothPaths.m;path:results/switching/figures/canonical_paper;path:tables/switching_canonical_paper_figures_manifest.csv,ACTION_NOW,Dedupes with RS_OUT_001 and HD_EXPORT_004 as same maintenance family different mechanisms
Switching steward,GitHub_issue,https://github.com/Matan1986/matlab-functions/issues/30,SAS_SOURCE_009,Switching,CANONICAL,HIGH,HIGH,Locked canonical identity conflicts with switchingResolveLatestCanonicalTable newest-by-mtime fallback when identity table absent,issue:#30;path:Switching/utils/switchingResolveLatestCanonicalTable.m;table:analysis/knowledge/run_registry.csv;path:reports/switching_phase4B_C02B_primary_collapse_variant_audit.md,ACTION_NOW,Dedupes with CANON_GUARD_SW_IDENTITY narrative on switching_canonical_identity.csv
