"FILE_ROLE","RISK_TIER","SCRIPT","genpath_Aging","Aging_utils_only","legacy_Switching_ver12","General_ver2_or_Tools","repo_tables","relaxation_results","aging_results","cross_experiment","hardcoded_dev","resolve_results_input_dir","switching_canonical_run_root","getLatestRun","assertModulesCanonical","modules_used_assignment","relaxation_related_name_or_table"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/analyze_phi_kappa_canonical_space.m","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0"
"HELPER","LOW","Switching/analysis/checkNoDuplicateTemps.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/computeMetrics.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/debug_fix_o2_pipeline.m","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"HELPER","LOW","Switching/analysis/ensureDir.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/experimental/run_switching_physical_baseline_model.m","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/find_relaxation_time_series.m","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"HELPER","LOW","Switching/analysis/formatNum.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/getVarByCandidates.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/inspect_relaxation_data_structure.m","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1"
"HELPER","LOW","Switching/analysis/leaveOneOutPredict.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/locate_relaxation_raw_runs.m","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"HELPER","LOW","Switching/analysis/pearsonCorrelation.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/phi1_phi2_driver_helpers.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/phi2_deformation_helpers.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","HIGH","Switching/analysis/phi2_shape_helpers.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/relImprovement.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_aging_collapse_kappa1_kappa2.m","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_aging_kappa_comparison.m","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_aging_nonlinear_law_test.m","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_alpha_observable_search.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_alpha_physical_validity_test.m","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_asymmetric_spread_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_build_relaxation_dataset.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_collapse_failure_mode_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_extract_tau_from_relaxation.m","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_kappa2_kww_shape_test.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_kappa2_opening_test.m","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_kappa2_operational_signature_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
