T_K,alpha,spread90_50,spread75_25,asymmetry,skew_pt_weighted,mean_minus_median_pt,I_peak_mA,width_mA,S_peak,I_peak_PT_mA,std_threshold_mA_PT,alpha_hat_best,residual_best
4,-0.365489083964439,10.7122710022057,11.0966058518347,5.29991689811793,0.837751054268953,3.32773806727866,35,21.4741266295253,0.349600045040287,25,7.86661927653615,-0.538919251400039,0.1734301674356
6,-0.322826383381165,10.4147583748364,10.8439112593571,5.18219300219786,0.819548642012251,3.35741070795628,35,21.1673597661233,0.341950817738385,15,7.71067565032794,-0.562398227560275,0.23957184417911
8,-0.252873820606648,10.3972726204107,10.0397553175935,5.84969272940016,0.910681862822627,3.57422517317994,35,20.1257057835343,0.311011499245369,15,7.60493883219001,-0.165685873462802,-0.087187947143846
10,-0.142556918673,10.5657782713878,9.55773896238631,6.44540026768484,0.985154612789063,3.66275039901241,35,18.8978502373663,0.265625424732821,15,7.54520029995239,0.199293002967097,-0.341849921640097
12,0.315507089215186,10.5066975999028,9.61524357608371,6.16890869579565,0.993876212827119,3.63319727332106,35,17.5091523375039,0.232986037937288,20,7.59912993304907,0.376866139102608,-0.0613590498874218
14,0.480464779904895,10.6588524255782,9.70594153719257,6.19495309131303,0.995824108235561,3.65637455215081,35,16.5232967451266,0.192544819951381,20,7.68596545689489,0.489707932239793,-0.00924315233489759
16,0.706471460120773,10.5972134710251,9.46042986006641,6.23844772573496,1.04034932405553,3.66343599431576,35,15.3577651079767,0.162443432649134,20,7.63242207540779,0.754645172556393,-0.0481737124356197
18,0.856656351459244,10.5323657232522,8.92514825576215,6.555492846607,1.14434479631644,3.67736637326197,35,14.52578362199,0.142095227831458,20,7.54938147350023,1.16871687692689,-0.312060525467643
20,0.507430636294838,10.2574988028397,8.07105313305544,7.03914401276717,1.28741405280778,3.69172797447312,35,15.0734059235043,0.118297407736058,20,7.3329322277851,1.55509104410766,-1.04766040781282
22,2.71697214858441,8.33513069803241,5.72641510866907,6.83391146322352,1.53897168789963,3.6141770109787,30,17.2137025922607,0.0848252860423066,15,6.25589013173686,2.10692904539967,0.61004310318474
24,2.32146130117818,7.00006707021521,3.21382245489188,7.00006707021521,1.24211070810828,3.18159654325661,30,12.5009863451298,0.0930645821294685,15,4.28520819721847,1.6925711924089,0.628890108769284
26,0.216654507664813,3.5,1.25,3.5,0.70710678118655,1.66666666666666,30,13.100114869552,0.0732255508855988,15,2.5,-0.0389449854887878,0.255599493153601
28,0.969404060602713,NaN,NaN,NaN,NaN,NaN,25,10.2742671408049,0.0809671274875996,NaN,NaN,NaN,NaN
30,-7.4599439875785,NaN,NaN,NaN,NaN,NaN,20,8.70317861525431,0.0879097809338481,NaN,NaN,NaN,NaN
