path,file_type,category,lineage_status,referenced,matlab_invocation_risk,risk_level,reasoning
diag_probe_once.log,.log,log,known,yes,no,BLOCKED,"Low-lineage probe log but explicitly named in maintenance audit report; cannot treat as unreferenced cleanup target."
final_wrapper_output.log,.log,log,known,yes,no,BLOCKED,"Low-lineage wrapper log but explicitly referenced by maintenance documentation; not safe for Phase 1 move gate."
probe_full_output.log,.log,probe,known,yes,no,BLOCKED,"Probe output appears generated, but references exist in governance report so movement is blocked."
probe_wrapper_log.txt,.txt,probe,known,yes,no,BLOCKED,"Probe text output is documented in maintenance report; not a free-standing safe candidate."
probe_wrapper_log2.txt,.txt,probe,known,yes,no,BLOCKED,"Second probe wrapper output is referenced by maintenance audit context; blocked."
run2_full.log,.log,log,known,yes,no,BLOCKED,"Run log has explicit report references, so dependency check fails."
wrapper_diag.log,.log,debug,known,yes,no,BLOCKED,"Debug wrapper log is cataloged in audit output, creating documented dependency."
execution_probe_top.txt,.txt,probe,known,yes,no,BLOCKED,"Referenced by multiple scripts and docs; not low-risk standalone text."
execution_probe_bottom.txt,.txt,probe,known,yes,no,BLOCKED,"Referenced across analysis/diagnostic surfaces; dependency and tracing risk is high."
run_dir_pointer.txt,.txt,debug,known,yes,no,BLOCKED,"Referenced across docs and script paths; potential runtime coordination pointer."
kappa2_build_error.log,.log,log,known,yes,no,BLOCKED,"Referenced by tooling script; indicates active dependency."
kappa2_build_status.txt,.txt,status,known,yes,no,BLOCKED,"Referenced by root and tools scripts plus ignore policy; active status artifact."
kappa2_audit_status.txt,.txt,status,known,yes,no,BLOCKED,"Referenced by audit script chain; not an isolated text probe."
kappa2_phen_audit_inputs_status.txt,.txt,status,known,yes,no,BLOCKED,"Referenced by toolchain status checks; movement would break dependency assumptions."
run2.exit,.exit,debug,known,yes,no,BLOCKED,"Presence in ignore policy indicates workflow coupling; not approved as safe move candidate."
wrapper_output.txt,.txt,debug,known,yes,no,BLOCKED,"Tracked via ignore rules, implying expected runtime byproduct handling."
wrapper_run.txt,.txt,debug,known,yes,no,BLOCKED,"Tracked via ignore rules, indicating established workflow expectations."
blocking_test_once.log,.log,debug,known,no,no,CONDITIONAL,"Low-lineage one-off test log with no current references found; candidate remains conditional pending owner sign-off and destination contract."
matlab_internal_error_once.log,.log,debug,known,no,no,CONDITIONAL,"Appears one-off runtime error spillover and currently unreferenced; conditional only due missing explicit ownership record."
tmp_canonical_impl_debug.log,.log,debug,known,no,no,CONDITIONAL,"Temporary debug naming and no found references suggest low lineage, but contract linkage is absent."
tmp_direct_canonical_log.txt,.txt,debug,known,no,no,CONDITIONAL,"Temp debug text and no references found; still requires explicit maintenance owner approval."
tmp_direct_canonical_err.txt,.txt,debug,known,no,no,CONDITIONAL,"Temp error output appears low-lineage and unreferenced; conditional pending traceability note."
tmp_direct_minimal_log.txt,.txt,debug,known,no,no,CONDITIONAL,"Minimal temp log with no references found; cannot be SAFE without ownership record."
tmp_parameter_robustness_matlab_log.txt,.txt,debug,known,no,no,CONDITIONAL,"Likely temporary MATLAB run log and unreferenced in scan; conditional due incomplete lineage documentation."
tmp_phase4c_run.log,.log,debug,known,no,no,CONDITIONAL,"Temp run log with no discovered references; conditional pending governance approval and destination mapping."
run_aging_execution_diagnostics.m,.m,script,unknown,unknown,yes,BLOCKED,"Root MATLAB script movement is explicitly blocked by policy due bare-stem invocation and unresolved caller ownership."
kappa2_phen_inputs.mat,.mat,artifact,unknown,yes,no,BLOCKED,"Scientific binary artifact with unresolved lineage and potential reproducibility dependency; movement blocked."
