blocker_id,blocker_type,affected_paths,affected_module,reason,evidence,required_resolution,blocks_cleanup_phase,severity,notes
BLK-A01,lineage_unclear,root run_*.m,repo,No safe ownership/migration inference due MATLAB bare-stem invocation risk,"root_folder_declutter_audit no-reference caution",Build caller + ownership map and explicit module assignment,Phase 1,CRITICAL,No script movement until resolved
BLK-A02,mixed_role_directory,analysis/; scripts/; reports/; tables/,repo,Mixed code and artifacts prevent safe relocations,"repo_structure_governance_audit mixed-role findings",Define per-folder write contracts and enforce new-write routing,Phase 2,HIGH,Policy-first blocker
BLK-A03,legacy_namespace_overlap,results_old/; tables_old/; archive/; _legacy/; Aging old/,repo,Multiple legacy zones with competing semantics,"repo_artifact_organization_atlas; governance audit",Publish write-closed legacy contract + index registry,Phase 5,HIGH,No deletion in current plan
BLK-A04,run_dependency_hardcoding,results/relaxation*_canonical; Relaxation ver3 scripts,relaxation,Run-ID hard dependencies make dedup/relocation unsafe,"relaxation_artifact_cleanup_risks RISK-001",Create canonical pointer/alias layer and dependency map,Phase 4,CRITICAL,Preserve RF3R/RF3R2 split
BLK-A05,switching_family_merge_risk,Switching family artifacts,switching,Family merge would violate semantic separation,"switching_artifact_family_map and audit status",Maintain explicit family index and migration guardrails,Phase 4,CRITICAL,Do not mix legacy_old/residual/geometric/replay
BLK-A06,aging_cross_module_contamination_guard,Aging-only governance claims,aging,Need to ensure only clean rerun evidence is used,"reports/aging/aging_artifact_organization_audit.md status block",Treat contaminated evidence as superseded historical context only,Phase 0,HIGH,Already enforced in this synthesis
BLK-A07,fixture_shadowing,status/,repo,Fixture trees can resemble real runs and mislead cleanup tools,"repo_artifact_organization_atlas status fixture warning",Add fixture exclusion policy and labels,Phase 1,HIGH,No automated cleanup over status paths
BLK-A08,index_coverage_missing,results/*; tables/*; reports/*; figures/*,all_modules,Missing standardized README/index coverage blocks safe movement,"module audits index recommendations",Create required indexes before relocation,Phase 3,HIGH,Hard prerequisite for phase 4
BLK-A09,governance_artifact_tracking_ambiguity,.gitignore + maintenance outputs,repo,Need explicit rule for durable governance outputs vs transient outputs,"governance proposal and root clutter evidence",Adopt maintenance durable-output allowlist and force-add criteria,Phase 2,MEDIUM,Prevents accidental omission or noise commits
BLK-A10,module_alias_drift,MT ver2 vs results/mt,mt,Path alias mismatch can break policy automation,"repo_structure_governance_audit alias drift",Publish module alias registry,Phase 0,MEDIUM,No physical rename in this phase
