T_K,X_eff_G001,X_eff_G254,X_eff_G014,ratio_X_G254_over_G001,ratio_X_G014_over_G001,delta_X_G254_minus_G001,delta_X_G014_minus_G001
4,4.66209431028532,3.72425530743997,3.72425530743997,0.798837402157153,0.798837402157153,-0.93783900284535,-0.93783900284535
6,4.83545901354362,3.92788743619602,3.92788743619602,0.812309115886292,0.812309115886292,-0.9075715773476,-0.9075715773476
8,5.59165641738466,4.65000959450953,4.65000959450953,0.831597875014725,0.831597875014725,-0.941646822875127,-0.941646822875127
10,6.9724594880724,5.74246527069934,5.74246527069934,0.823592489927381,0.823592489927381,-1.22999421737306,-1.22999421737306
12,8.57971826561411,7.08376278316871,7.08376278316871,0.825640488867694,0.825640488867694,-1.4959554824454,-1.4959554824454
14,11.0011858760595,8.80523841870166,8.80523841870166,0.800389932312966,0.800389932312966,-2.19594745735788,-2.19594745735788
16,14.0293601850633,10.7341722791366,10.7341722791366,0.765122011092495,0.765122011092495,-3.2951879059267,-3.2951879059267
18,16.9569984741493,13.2071140819696,13.2071140819696,0.778859189148582,0.778859189148582,-3.74988439217963,-3.74988439217963
20,19.6282428029457,14.2513793943655,14.9639483640838,0.726064963503848,0.762368211679041,-5.37686340858027,-4.664294438862
22,20.5457323704965,15.6199564683333,14.7978534963157,0.760253087437435,0.720239767045991,-4.92577590216329,-5.74787887418083
24,25.7865084843849,18.4305895838965,18.4305895838965,0.714737692970617,0.714737692970617,-7.35591890048842,-7.35591890048842
26,31.2740051449039,20.8221655508944,22.0469988185941,0.665797855260868,0.704962434982095,-10.4518395940096,-9.22700632630989
28,30.0524873628674,22.4514621831791,22.4514621831791,0.747075006207969,0.747075006207969,-7.60102517968834,-7.60102517968834
30,26.1405608503815,18.4924018026908,18.4924018026908,0.707421769124777,0.707421769124777,-7.64815904769075,-7.64815904769075
32,NaN,35.2776399211672,24.422981483885,NaN,NaN,NaN,NaN
34,4298.4054586201,4690.49596656335,6253.99462208446,1.09121766471726,1.45495688628968,392.090507943243,1955.58916346436
