path,commit
reports/maintenance/repo_language_figure_policy_INFRA_01B.md,1
reports/maintenance/repo_nonmatlab_inventory_conversion_plan_INFRA_02.md,1
reports/maintenance/repo_nonmatlab_P0_figure_decision_INFRA_03.md,1
reports/maintenance/repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B.md,1
reports/maintenance/repo_agent24h_renderer_resolution_INFRA_04.md,1
reports/maintenance/repo_agent24h_renderer_input_lineage_INFRA_04B.md,1
reports/maintenance/repo_agent24h_matlab_replacement_INFRA_04C.md,1
reports/maintenance/repo_agent24h_infra04c_side_effect_cleanup.md,1
reports/maintenance/repo_agent24h_cv07_canonical_only_decision_INFRA_04D.md,1
reports/maintenance/switching_canonical_paper_figures_fig_export_INFRA_01.md,1
reports/maintenance/repo_figure_governance_bundle_review_01.md,1
reports/maintenance/repo_figure_governance_prestage_01.md,1
tables/maintenance_repo_language_figure_policy_INFRA_01B_doc_inventory.csv,1
tables/maintenance_repo_language_figure_policy_INFRA_01B_future_prompt_block.csv,1
tables/maintenance_repo_language_figure_policy_INFRA_01B_policy_matrix.csv,1
tables/maintenance_repo_language_figure_policy_INFRA_01B_status.csv,1
tables/maintenance_repo_language_figure_policy_INFRA_01B_supersession.csv,1
tables/maintenance_repo_nonmatlab_inventory_INFRA_02.csv,1
tables/maintenance_repo_nonmatlab_inventory_INFRA_02_status.csv,1
tables/maintenance_repo_matlab_conversion_plan_INFRA_02.csv,1
tables/maintenance_repo_matlab_parity_requirements_INFRA_02.csv,1
tables/maintenance_repo_nonmatlab_output_lineage_INFRA_02.csv,1
tables/maintenance_repo_nonmatlab_risk_ranking_INFRA_02.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_conversion_plan_INFRA_03.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_decision_INFRA_03.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_decision_INFRA_03_status.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_quarantine_INFRA_03.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_conversion_queue_INFRA_03B.csv,1
tables/maintenance_repo_nonmatlab_P0_figure_mandatory_remediation_INFRA_03B_status.csv,1
tables/maintenance_repo_agent24h_renderer_resolution_INFRA_04_decision.csv,1
tables/maintenance_repo_agent24h_renderer_resolution_INFRA_04_output_audit.csv,1
tables/maintenance_repo_agent24h_renderer_resolution_INFRA_04_source_audit.csv,1
tables/maintenance_repo_agent24h_renderer_resolution_INFRA_04_status.csv,1
tables/maintenance_repo_agent24h_renderer_input_lineage_INFRA_04B_decision.csv,1
tables/maintenance_repo_agent24h_renderer_input_lineage_INFRA_04B_input_status.csv,1
tables/maintenance_repo_agent24h_renderer_input_lineage_INFRA_04B_search_hits.csv,1
tables/maintenance_repo_agent24h_renderer_input_lineage_INFRA_04B_status.csv,1
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_generator_audit.csv,1
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_input_materialization.csv,1
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_replacement_outputs.csv,1
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_status.csv,1
tables/maintenance_repo_agent24h_matlab_replacement_INFRA_04C_visual_parity_check.csv,1
tables/maintenance_repo_agent24h_infra04c_side_effect_actions.csv,1
tables/maintenance_repo_agent24h_infra04c_side_effect_inventory.csv,1
tables/maintenance_repo_agent24h_infra04c_side_effect_status.csv,1
tables/maintenance_repo_agent24h_cv07_canonical_only_decision_INFRA_04D_canonical_candidate_artifacts.csv,1
tables/maintenance_repo_agent24h_cv07_canonical_only_decision_INFRA_04D_path_options.csv,1
tables/maintenance_repo_agent24h_cv07_canonical_only_decision_INFRA_04D_reference_hits.csv,1
tables/maintenance_repo_agent24h_cv07_canonical_only_decision_INFRA_04D_status.csv,1
tables/maintenance_switching_canonical_paper_figures_fig_export_INFRA_01_file_audit.csv,1
tables/maintenance_switching_canonical_paper_figures_fig_export_INFRA_01_status.csv,1
tables/maintenance_repo_figure_governance_bundle_review_01_candidate_paths.csv,1
tables/maintenance_repo_figure_governance_bundle_review_01_commit_plan.csv,1
tables/maintenance_repo_figure_governance_bundle_review_01_exclusions.csv,1
tables/maintenance_repo_figure_governance_bundle_review_01_status.csv,1
tables/maintenance_repo_figure_governance_prestage_01_commit1_paths.csv,1
tables/maintenance_repo_figure_governance_prestage_01_commit2_paths.csv,1
tables/maintenance_repo_figure_governance_prestage_01_exclusions.csv,1
tables/maintenance_repo_figure_governance_prestage_01_status.csv,1
tools/agent24h_render_figures_matlab_replacement.m,1
