candidate_id,figure_family,source_type,path,likely_input_tables,compatible_with_canonical_SP012,reproduce_target,reason
C1,S_map_cuts,script,Switching/analysis/run_switching_canonical_map_visualization.m,switching_canonical_S_long.csv,YES,main_text,Direct canonical map/cut visualization with physical current and temperature axes.
C2,collapse,script,Switching/analysis/run_switching_canonical_collapse_visualization.m,switching_canonical_S_long.csv; switching_canonical_phi1.csv; switching_mode_amplitudes_vs_T.csv,YES,main_text,Core canonical collapse hierarchy panel for measured/backbone/residual comparison.
C3,collapse,script,Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,switching_canonical_S_long.csv; switching_canonical_phi1.csv; switching_mode_amplitudes_vs_T.csv,YES,supplement,CDF_pt overlays are strong supplemental collapse evidence without width claims.
C4,X_eff,script,scripts/run_switching_P0_effective_observables_numeric_materialization.ps1,switching_canonical_S_long.csv; switching_P0_effective_observables_values.csv,YES,supplement,Produces stable canonical numeric table for X_eff as effective coordinate.
C5,X_components,script,scripts/run_switching_P0_effective_observables_numeric_materialization.ps1,switching_canonical_S_long.csv; switching_P0_effective_observables_values.csv,YES,supplement,Provides I_peak, W_I, S_peak decomposition tables for figure-ready extraction.
C6,asymmetry_LR,script,scripts/run_switching_P1_asymmetry_LR_replay.ps1,switching_canonical_S_long.csv; switching_P0_effective_observables_values.csv; switching_P1_asymmetry_LR_values.csv,YES,supplement,P1 replay outputs support asymmetry/left-right supplements.
C7,T22_crossover,script,scripts/run_switching_P2_T22_internal_crossover_audit.ps1,switching_P0_old_collapse_freeze_metrics.csv; switching_P0_effective_observables_values.csv; switching_P1_asymmetry_LR_values.csv; switching_P2_T22_crossover_metrics.csv,YES,supplement,22K internal crossover remains in-domain while high-T remains diagnostic.
C8,collapse,script,scripts/run_switching_old_WI_recipe_replay.ps1,switching_canonical_S_long.csv; switching_old_WI_recipe_replay_values.csv,YES,diagnostic_only,Useful for recovery cross-checks but should not be promoted to main claims.
C9,collapse,report_reference,scripts/run_switching_old_collapse_deep_replay_audit.ps1::switching_full_scaling_metrics.csv,switching_full_scaling_metrics.csv,PARTIAL,reject/do_not_use,Legacy metrics artifacts referenced but missing in workspace so not directly reproducible now.
C10,X_eff,script,scripts/run_switching_oldX_functional_replay_audit.ps1,switching_canonical_S_long.csv; switching_canonical_observables.csv,YES,diagnostic_only,Old-X replay is bounded to audit use and explicitly forbids X_canon claim.
