"contract_type","rule","required","enforced","notes"
"Execution","Canonical run allocates run_dir via createSwitchingRunContext -> createRunContext under results/switching/runs/<run_id>","YES","YES","assertSwitchingRunDirCanonical checks run.run_dir before manifest write"
"Execution","run_dir exists before status/artifact writes","YES","YES","createRunContext creates run_dir; runner also mkdir guards"
"Execution","execution_status.csv exists in run_dir with schema EXECUTION_STATUS,INPUT_FOUND,ERROR_MESSAGE,N_T,MAIN_RESULT_SUMMARY","YES","YES","writeSwitchingExecutionStatus is authoritative writer"
"Execution","Non-final checkpoints use EXECUTION_STATUS=PARTIAL only","NO","YES","Runner writes PARTIAL checkpoints; writer rejects non-PARTIAL non-final"
"Execution","Final status is SUCCESS or FAILED (never PARTIAL)","YES","YES","Writer enforces final-state validity"
"Execution","run_manifest.json exists for each canonical run","YES","YES","createRunContext writes immutable manifest"
"Execution","Fingerprint is present in manifest (git_commit, script_path, script_hash, matlab_version, host, user)","YES","YES","computeRunFingerprint + writeManifest defaults unknown/empty when unavailable"
"Execution","Failure path allocates canonical run_dir and writes final FAILED execution_status.csv","YES","YES","catch path uses allocateSwitchingFailureRunContext then final FAILED write"
"Artifact","Allowed canonical outputs include run_dir/tables/*","YES","YES","Runner writes all science/status tables under run_dir/tables"
"Artifact","Allowed canonical outputs include run_dir/reports/*","YES","YES","Runner writes reports under run_dir/reports"
"Artifact","Allowed canonical outputs include run_dir/execution_status.csv","YES","YES","Authoritative final outcome column EXECUTION_STATUS"
"Artifact","Allowed canonical outputs include run_dir/run_manifest.json with fingerprint fields","YES","YES","Manifest created by createRunContext for success and failure allocation paths"
"Artifact","Valid artifact: file written inside run_dir for the active canonical run","YES","NO","Path discipline is implemented by current entrypoint/helper usage; no global filesystem guard"
"Artifact","Forbidden: writes outside active run_dir as canonical outputs","YES","NO","Phase 5F removed marker fallback global write; contract remains run-scoped"
"Detection","RUN_VALIDITY=INVALID when run_dir exists but execution_status.csv is missing","YES","YES","writeRunValidityClassification writes reason Missing execution_status.csv"
"Detection","RUN_VALIDITY=CANONICAL when createRunContext resolution matches repo, switching-isolated run_dir signal is true, and enforcement_checked true","YES","YES","Computed in writeRunValidityClassification"
"Detection","RUN_VALIDITY=NON_CANONICAL when execution_status.csv exists but canonical signal set is incomplete","YES","YES","Reason line lists failing signals"
"Detection","Classification signals are detection-only and do not alter execution_status or pipeline flow","YES","YES","Function intentionally never throws and is post-hoc"
"Entrypoint","Canonical identity is defined by designated canonical entrypoint execution, not by filename/location heuristics alone","YES","NO","Current runtime classification also checks createRunContext resolution and run_dir isolation"
"Entrypoint","Current switching canonical entrypoint: Switching/analysis/run_switching_canonical.m","YES","YES","Phase 5F validated behavior and active canonical runner"
"Onboarding","New canonical module entrypoint must allocate context via createRunContext (or module wrapper) before outputs","YES","NO","Pattern enforced when helper is used; contract defines required structure"
"Onboarding","New canonical module must write final execution_status.csv via module status writer","YES","NO","Writer enforces status schema/values once called"
"Onboarding","New canonical module must produce run-scoped tables/reports and manifest/fingerprint artifacts","YES","NO","Manifest/fingerprint enforced by createRunContext path"
"Onboarding","New canonical module must emit run_validity classification as detection-only annotation","YES","NO","writeRunValidityClassification is non-blocking and post-hoc"
"Consistency","Contracts introduce no new mechanisms and reflect current switching canonical behavior","YES","YES","Documentation-only formalization"
