consumer_path,call_pattern,expected_table,assumes_latest,patch_risk,notes
Switching/analysis/run_switching_canonical_map_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Identity-first lookup should return locked canonical table and preserve fallback if missing.
Switching/analysis/run_switching_collapse_breakdown_analysis.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,MEDIUM,Behavior may shift from newest-run drift to locked-anchor stability; usually desirable but may change recent-run sensitivity.
Switching/analysis/run_switching_canonical_collapse_hierarchy.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Canonical hierarchy consumer should align with locked identity policy; fallback preserves compatibility.
Switching/analysis/run_switching_canonical_collapse_hierarchy.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,LOW,Identity-first should reduce silent route drift across canonical-like runs.
Switching/analysis/run_switching_canonical_reconstruction_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Visualization is canonical-adjacent and should anchor to canonical run id.
Switching/analysis/run_switching_canonical_reconstruction_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,LOW,Patch remains backward-compatible if mtime fallback is retained.
Switching/analysis/run_switching_backbone_validity_audit.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,MEDIUM,Script also reads repo-root mirrors; resolver patch helps identity alignment but does not solve mirror-consumer coupling.
Switching/analysis/run_switching_canonical_collapse_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Expected to benefit from deterministic canonical run selection.
Switching/analysis/run_switching_canonical_collapse_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,LOW,No signature changes needed for caller compatibility.
Switching/analysis/run_switching_observable_mapping_audit.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,MEDIUM,May currently pick newest candidate; identity-first could alter chosen baseline in mixed-run environments.
Switching/analysis/run_switching_observable_mapping_audit.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,MEDIUM,Keep warninged fallback to preserve existing behavior when identity table is invalid/missing.
Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Likely low risk with anchor-first then mtime fallback.
Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,LOW,No caller contract change required.
Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,LOW,Deterministic canonical source selection aligns with boundary policy.
Switching/analysis/run_switching_mode_admissibility_audit.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,HIGH,Already identified as high-risk consumer in owner audit due to mixed mirror+identity routes; validate outputs after resolver change.
Switching/analysis/run_switching_mode_admissibility_audit.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,HIGH,Prefer staged rollout with dry-run verification because downstream admissibility status tables are consumed by other scripts.
Switching/analysis/run_switching_backbone_stress_test.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_S_long.csv')",switching_canonical_S_long.csv,YES,MEDIUM,Stress test may have implicitly depended on newest-run inputs during experimentation.
Switching/analysis/run_switching_backbone_stress_test.m,"switchingResolveLatestCanonicalTable(repoRoot, 'switching_canonical_phi1.csv')",switching_canonical_phi1.csv,YES,MEDIUM,Identity-first is feasible but should be validated against expected run provenance in report metadata.
