"RUN_ID","IS_CANONICAL","DRIFT_TYPE","FIRST_NONCANONICAL_SOURCE"
"run_2026_04_02_213133_minimal_canonical","UNDEFINED","NONE",""
"run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNDEFINED","NONE",""
"run_2026_04_02_234844_switching_canonical","YES","NONE",""
"run_2026_04_03_000008_switching_canonical","YES","NONE",""
"run_2026_04_03_000147_switching_canonical","YES","NONE",""
"run_2026_04_03_091018_switching_canonical","YES","NONE",""
"run_2026_04_04_092331_post_entry_runtime_fail","UNDEFINED","NONE",""
"run_2026_04_04_092734_post_entry_runtime_fail","UNDEFINED","NONE",""
"run_2026_04_04_095928_switching_canonical","YES","NONE",""
"run_2026_04_04_100107_switching_canonical","YES","NONE",""
"run_2026_04_04_150000_canonicalization_l2_trust_rebind_091018","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_boundary_definition","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_collapse_verification","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_core_analysis_coverage","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_definition_audit","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_entrypoint_audit","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_phase1_execution_audit","UNDEFINED","MANIFEST_MISSING",""
"run_2026_04_04_150000_canonicalization_l3_scaling_canonical_test","UNDEFINED","MANIFEST_MISSING",""
