AUDIT_SECTION,ITEM,VALUE_OR_DETAIL
1_CANONICAL_GRAPH,ENTRYPOINT_A,Switching/analysis/run_switching_canonical.m
1_CANONICAL_GRAPH,ENTRYPOINT_B,Switching/analysis/analyze_phi_kappa_canonical_space.m
1_CANONICAL_GRAPH,GRAPH_STATUS,DEFINED
1_CANONICAL_GRAPH,RUN_A_PATH_SETUP,"tools; Aging/utils; General ver2; Switching/utils; Switching ver12 (root main plots parsing utils)"
1_CANONICAL_GRAPH,RUN_A_CONTEXT,"createSwitchingRunContext -> createRunContext(switching) -> cfg.beforeManifestWrite assertSwitchingRunDirCanonical -> switchingCanonicalRunRoot -> results/switching/runs"
1_CANONICAL_GRAPH,RUN_A_SIGNALING,"write_execution_marker; writeSwitchingExecutionStatus(run_dir); execution_probe_top.txt; run_dir/tables; run_dir/reports"
1_CANONICAL_GRAPH,RUN_A_DATA,"parentDir from Switching ver12/main/Switching_main.m string literal; Temp Dep subfolders; .dat via getFileListSwitching/processFilesSwitching"
1_CANONICAL_GRAPH,RUN_A_PIPELINE,"analyzeSwitchingStability; optional resolve_preset/select_preset; optional resolveNegP2P"
1_CANONICAL_GRAPH,RUN_A_FAILURE,"allocateSwitchingFailureRunContext -> createSwitchingRunContext; writeSwitchingExecutionStatus FAILED"
1_CANONICAL_GRAPH,RUN_B_PATH_SETUP,"genpath General ver2; genpath Tools ver1; Aging/utils; Switching/utils"
1_CANONICAL_GRAPH,RUN_B_REGISTRY,"assertModulesCanonical({'Switching'}) reads tables/module_canonical_status.csv"
1_CANONICAL_GRAPH,RUN_B_CONTEXT,createSwitchingRunContext
1_CANONICAL_GRAPH,RUN_B_INPUTS,"readtable repo tables/phi_kappa_stability_summary.csv; readtable repo tables/phi_kappa_stability_status.csv"
1_CANONICAL_GRAPH,RUN_B_OUTPUTS,"run_dir/tables phi_kappa_stability_canonical_*.csv; writeSwitchingExecutionStatus(output_tables_dir) -> execution_status under run_dir/tables/"
1_CANONICAL_GRAPH,RUN_B_NO_ASSERT_ON_MAIN,run_switching_canonical.m does not call assertModulesCanonical
2_ISOLATION,RELAXATION_DATA_IN_GRAPH,NO
2_ISOLATION,AGING_DATA_IN_GRAPH,NO
2_ISOLATION,AGING_MODULE_PATH,YES_Aging_utils_only_for_createRunContext
2_ISOLATION,REPO_TABLES_AGGREGATE_INPUT,YES_phi_kappa_stability_files_on_ENTRY_B
2_ISOLATION,CROSS_EXPERIMENT_EXPLICIT,NOT_REFERENCED_IN_CODE
2_ISOLATION,NON_CANONICAL_STATE,NOT_QUERYED_IN_GRAPH
3_INFRA_ALIGNMENT,createSwitchingRunContext_AND_assertSwitchingRunDirCanonical,ALIGNED_run_dir_under_results_switching_runs
3_INFRA_ALIGNMENT,module_canonical_status_AND_assertModulesCanonical,ONLY_ON_analyze_phi_kappa_canonical_space_NOT_ON_run_switching_canonical
3_INFRA_ALIGNMENT,writeSwitchingExecutionStatus_vs_module_registry,NO_INTEGRATION
3_INFRA_ALIGNMENT,manifest_signaling_failure_path,createRunContext_manifest_on_success;allocateSwitchingFailureRunContext_on_catch_when_no_run_dir
4_ENFORCEMENT,NEEDED_FOR_CROSS_MODULE_DATA_BLOCKING,NO_main_path_raw_only
4_ENFORCEMENT,WHERE_IF_YES,N_A
5_FALSE_SAFETY,module_registry_coverage,PARTIAL_single_opt_in_script
5_FALSE_SAFETY,execution_status_vs_CANONICAL_MODULE,NO_LINK
6_VERDICT,CANONICAL_ISOLATION_VERIFIED,NO
