AUDIT_BLOCK,QUESTION_ID,QUESTION_SUMMARY,VERDICT_OR_ANSWER,EVIDENCE_NOTES
1_PLAN_IMPACT,Q1_phases_unchanged,"Which existing phases remain unchanged?","Phases 3-4 *core Switching execution narrative* (wrapper, createRunContext chain, Phase 4 four remediation buckets) remain structurally valid as *local* documents; consolidation gate (infrastructure_laws PART 5-6) and migration plan *staged steps* unchanged as written files.","reports/phase3_system_reality_closure.md; reports/phase4_scope_lock.md; docs/infrastructure_laws.md; docs/repo_consolidation_plan.md"
1_PLAN_IMPACT,Q2_phases_need_update,"Which phases require explicit update?","Phase 4 *documentation* and any master plan that promised Switching isolation without a *system-level* module registry; repo_consolidation_plan cross-experiment section; switching_canonical_definition Switching-only scope text needs pairing with cross-module policy; system_formalization_audit NEXT_PHASE_READY assumes doc-code parity without module gate.","docs/switching_canonical_definition.md (0.x); docs/repo_consolidation_plan.md section 4.3; reports/system_formalization_audit.md section 8"
1_PLAN_IMPACT,Q3_new_subphase,"New formal sub-phase required?","YES — a dedicated alignment sub-phase (or Phase 4 appendix) for cross-module canonical policy vs registry vs call-site coverage before broad formalization.","tables/module_canonical_status.csv; grep assertModulesCanonical (single callsite)"
1_PLAN_IMPACT,Q4_closed_phase_reopen,"Prior closed phase needs clarification?","YES (documentation clarification, not necessarily code): Phase 3 FULLY_CANONICAL=NO referred to Switching chain mechanics; cross-module *contamination* risk is now an additional dimension not explicit in Phase 3 closure tables.","reports/phase3_system_reality_closure.md verdict table"
1_PLAN_IMPACT,Q5_PLAN_UPDATE_REQUIRED,PLAN_UPDATE_REQUIRED,"YES","Synthesis of rows Q1-Q4"
2_SYSTEM_BOUNDARY,Q6_module_local_before,"Was canonicality module-local only?","Predominantly YES in plan language: Switching canonical entrypoint and run_dir under results/switching; other modules described separately; cross-experiment in analysis/ without a module STATUS gate.","docs/switching_canonical_definition.md; docs/repo_consolidation_plan.md"
2_SYSTEM_BOUNDARY,Q7_system_level_boundary,"Required system-level canonical boundary?","YES — registry tables/module_canonical_status.csv names MODULE STATUS for multiple modules; assertModulesCanonical is repo-wide policy.","tables/module_canonical_status.csv; Switching/utils/assertModulesCanonical.m"
2_SYSTEM_BOUNDARY,Q8_new_invariant,NEW_INVARIANT_INTRODUCED,"YES — cross-module analysis must only run when every declared participating module is CANONICAL in the registry (else error CrossModuleNotAllowed).","Switching/utils/assertModulesCanonical.m lines 52-56"
2_SYSTEM_BOUNDARY,Q9_SYSTEM_LEVEL_CANONICAL_BOUNDARY,SYSTEM_LEVEL_CANONICAL_BOUNDARY,"YES","Synthesis Q6-Q8"
3_ENTRYPOINT_COVERAGE,Q10_guarded_switching,"Which Switching entrypoints are guarded (cross-module)?","Only analyze_phi_kappa_canonical_space.m calls assertModulesCanonical (with {'Switching'}).","grep assertModulesCanonical; Switching/analysis/analyze_phi_kappa_canonical_space.m line 16"
3_ENTRYPOINT_COVERAGE,Q11_run_dir_guard,"Separate guard for Switching run_dir?","createSwitchingRunContext hooks assertSwitchingRunDirCanonical before manifest write — covers run root contract for scripts using that helper, distinct from module-list assert.","Switching/utils/createSwitchingRunContext.m; Switching/utils/assertSwitchingRunDirCanonical.m"
3_ENTRYPOINT_COVERAGE,Q12_canonical_entrypoint,"Is registered canonical entrypoint guarded by assertModulesCanonical?","NO — run_switching_canonical.m does not call assertModulesCanonical.","Switching/analysis/run_switching_canonical.m (no assertModulesCanonical)"
3_ENTRYPOINT_COVERAGE,Q13_unguarded_cross_module,"Scripts with cross-module access without declaration?","Many Switching/analysis scripts use addpath(genpath(Aging)) or read results/cross_experiment without assertModulesCanonical listing Aging/Relaxation; Relaxation-named scripts under Switching/analysis (e.g. run_PT_to_relaxation_mapping.m) have no assertModulesCanonical.","grep addpath(genpath in Switching/analysis; glob Switching/analysis/run_*relaxation*.m"
3_ENTRYPOINT_COVERAGE,Q14_coverage_verdict,CROSS_MODULE_ENFORCEMENT_COVERAGE,"PARTIAL — registry + helper exist; status flag CROSS_MODULE_PROTECTION_ACTIVE=YES; mechanical assert only on one analysis script; not SYMBOLIC-only because code path is real.","tables/module_enforcement_status.csv; assertModulesCanonical call count"
4_MODULE_CLASSIFICATION,Q15_typeAB_infra,"Type A (legacy contamination) vs Type B (canonical-first) infrastructure-relevant?","YES — registry encodes Relaxation and Aging as NON_CANONICAL while Switching is CANONICAL; promotion is now a formal state transition in tables.","tables/module_canonical_status.csv"
4_MODULE_CLASSIFICATION,Q16_before_phase5,MODULE_CLASSIFICATION_REQUIRED before Phase 5,"YES — without it formalization can mis-state which cross-module workflows are allowed.","Pair module_canonical_status with enforcement coverage"
5_SCIENTIFIC_REENTRY,Q17_workflow_rule_formalize,"Rule: Switching-only allowed; parallel canonicalization; cross-module forbidden unless all CANONICAL?","Must be formalized in master plan — implied by helper and reports/module_enforcement.md but not integrated into phase closure docs.","reports/module_enforcement.md; assertModulesCanonical behavior"
5_SCIENTIFIC_REENTRY,Q18_REENTRY_RULE_UPDATE_REQUIRED,REENTRY_RULE_UPDATE_REQUIRED,"YES","Q17"
