"field","value"
"LOCAL_LEGACY_T_ALIGNMENT_OK","NO"
"KAPPA1_BRIDGE_CORRELATED","YES"
"KAPPA1_BRIDGE_MONOTONIC","YES"
"PHI1_BRIDGE_SUPPORTED","YES"
"REPRESENTATION_RELATION","PARTIAL_CONTINUITY"
"LEGACY_STATE_APPROXIMATED_BY_LOCAL","YES"
"SAFE_TO_PROCEED_TO_RECONSTRUCTION","NO"
"LOCAL_LEGACY_ALIGNMENT_DEFINED","YES"
"LOCAL_KAPPA1_TRACKS_LEGACY","YES"
"LOCAL_PHI1_SUPPORTS_LEGACY_RESIDUAL_SECTOR","YES"
"NEW_REPRESENTATION_IS_CONTINUOUS_WITH_OLD","NO"
"SAFE_TO_PROCEED_TO_RECONSTRUCTION_VERDICT","NO"
"PEARSON_CORRELATION","0.710073167669095"
"SPEARMAN_CORRELATION","0.902097902097902"
"SIGN_AGREEMENT","0.833333333333333"
"NORMALIZED_SCALE_MISMATCH","3.52135048817196"
"RANK_ORDERING_CONSISTENCY","0.893939393939394"
"UNMATCHED_LOCAL_T_LIST","34;32;30;28"
"UNMATCHED_LEGACY_T_LIST",""
"LOCKED_SWITCHING_CSV","results/switching/runs/run_2026_03_10_112659_alignment_audit/alignment_audit/switching_alignment_samples.csv"
"LEGACY_SOURCE","tables/kappa1_from_PT_aligned.csv"
"LEGACY_PT_PROXY_SOURCE","tables/kappa1_from_PT.csv"
"LOCAL_SOURCE","tables/kappa1_phi1_local_v2_20260329_234420.csv"
"LOCAL_PHI1_SOURCE","tables/phi1_local_shape_v2_20260329_234420.csv"
"LOCAL_STATUS_SOURCE","tables\kappa1_phi1_local_v2_status_20260329_234420.csv"
"LOCAL_REPORT_SOURCE","reports/kappa1_phi1_local_v2_20260329_234420.md"
