"T","kappa1_local","kappa1_legacy","kappa1_PTproxy","matched_flag"
"4","0.600958636588309","0.179546725888347","0.179546725888347","YES"
"6","0.575614164626315","0.190781377067108","0.190781377067108","YES"
"8","0.513716644478468","0.19690765457114","0.19690765457114","YES"
"10","0.471040372871933","0.17710703759542","0.17710703759542","YES"
"12","0.444881835780945","0.15269503326033","0.15269503326033","YES"
"14","0.425284387685119","0.12447122604336","0.12447122604336","YES"
"16","0.387995719194578","0.107134927362003","0.107134927362003","YES"
"18","0.356148970550749","0.0980185873442758","0.0980185873442758","YES"
"20","0.341165768500562","0.0898318457622685","0.0898318457622685","YES"
"22","0.366116494804929","0.0382966167716672","0.0382966167716672","YES"
"24","-0.0415708221699611","0.0699734936967039","0.0699734936967039","YES"
"26","-0.23223880243729","0.0640590044738315","0.0640590044738315","YES"
"28","-0.564307849641711","NaN","NaN","NO"
"30","-0.763370820464625","NaN","NaN","NO"
"32","-0.851781708617334","NaN","NaN","NO"
"34","-2.02965299175098","NaN","NaN","NO"
