NAME,VALUE
EXECUTION_STATUS,SUCCESS
INPUT_POLICY,EXISTING_CANONICAL_OUTPUTS_ONLY
NEW_MATLAB_RUNS,NO
CONFLICTING_RUNS_IDENTIFIED,YES
PHI1_VARIATION_TYPE,STRUCTURAL
PHI1_INSTABILITY_CAUSE,MIXED
RECONSTRUCTION_FAILURE_MODE,REGIME_DEPENDENT
CANONICAL_FIX_POSSIBLE,YES
PRIMARY_ROOT_CAUSE,INCOMPATIBLE_PHI1_DEFINITION_AND_NORMALIZATION_TRANSFER_ACROSS_PIPELINES
ROOT_CAUSE_DETAIL,LOCAL_PHI1_BUILT_ON_COARSE_INTERSECTION_GRID_NI6_AND_PARTIAL_T_OVERLAP_DOES_NOT_MATCH_CANONICAL_PHI1_SHAPE_COSINE_0p696_EXPL_VAR_0p417
HYPOTHESIS_A_PIPELINE_ARTIFACT,SUPPORTED
HYPOTHESIS_B_REGIME_DEPENDENT_PHYSICS,SUPPORTED
HYPOTHESIS_C_INSUFFICIENT_NORMALIZATION,SUPPORTED
HYPOTHESIS_D_HIDDEN_SECOND_MODE,SUPPORTED
FINAL_CAUSE_LABEL,MIXED_A_PLUS_C_WITH_B_PLUS_D_CONTRIBUTION
RECONSTRUCTION_CANONICAL_EVIDENCE,improvement_14_of_14
RECONSTRUCTION_LOCAL_V1_EVIDENCE,worse_9_of_9
