"T","kappa1_local","S_peak","residual_norm","kappa1_local_coarse","abs_diff_full_vs_coarse"
"4","0.600958636588309","0.349600045040287","0.660672928758468","0.35884060504618","0.242118031542129"
"6","0.575614164626315","0.341950817738385","0.618084188717101","0.359712717282676","0.215901447343639"
"8","0.513716644478468","0.311011499245369","0.531899106239628","0.358334124261245","0.155382520217223"
"10","0.471040372871933","0.265625424732821","0.480726781239731","0.358126225927934","0.112914146943998"
"12","0.444881835780945","0.232986037937288","0.466774999753184","0.360420444100294","0.084461391680651"
"14","0.425284387685119","0.192544819951381","0.460707876532054","0.361571721735818","0.0637126659493009"
"16","0.387995719194578","0.162443432649134","0.436283793186345","0.358813909614815","0.0291818095797636"
"18","0.356148970550749","0.142095227831458","0.417187376635657","0.360826935999395","0.00467796544864607"
"20","0.341165768500562","0.118297407736058","0.378892665606588","0.357510393034356","0.0163446245337939"
"22","0.366116494804929","0.0848252860423066","0.477406611838292","0.340831574762811","0.0252849200421184"
"24","-0.0415708221699611","0.0930645821294685","0.360794402864208","-0.0479447647493671","0.00637394257940598"
"26","-0.23223880243729","0.0732255508855988","0.681277349168853","-0.214653450520535","0.0175853519167553"
"28","-0.564307849641711","0.0809671274875996","0.865369258631774","-0.449151915909969","0.115155933731742"
"30","-0.763370820464625","0.0879097809338481","1.22758059201276","-0.640977710351261","0.122393110113364"
"32","-0.851781708617334","0.0695147785421419","1.40653503376517","-0.82562885496022","0.0261528536571144"
"34","-2.02965299175098","0.00111194952316543","2.61534886107616","-1.39663195527417","0.633021036476814"
