"file_path","existed","deleted"
"Relaxation ver3/run_relaxation_perturbation_matrix.m","YES","YES"
"relaxation_canonical_function.m","YES","YES"
"reports/relaxation_perturbation/execution_status.csv","YES","YES"
"reports/relaxation_perturbation/relaxation_perturbation_grid_design.csv","YES","YES"
"reports/relaxation_perturbation/RELAXATION_PERTURBATION_INVARIANCE_TEST.md","YES","YES"
"reports/relaxation_perturbation/relaxation_perturbation_matrix.csv","YES","YES"
"reports/relaxation_perturbation/relaxation_stability_summary.csv","YES","YES"
"reports/relaxation_perturbation/relaxation_stability_summary.md","YES","YES"
"reports/relaxation_perturbation/relaxation_status.csv","YES","YES"
"reports/relaxation_perturbation/relaxation_verdict.csv","YES","YES"
