artifact_path,original_classification,action_taken,new_location
tables/canonical_reconstruction_summary.csv,canonical,PROTECTED,ACTIVE
tables/canonical_reconstruction_metrics.csv,canonical,PROTECTED,ACTIVE
tables/canonical_reconstruction_status.csv,canonical,PROTECTED,ACTIVE
reports/canonical_reconstruction.md,canonical,PROTECTED,ACTIVE
tables/phi1_enforcement_status.csv,canonical,PROTECTED,ACTIVE
reports/phi1_enforcement.md,canonical,PROTECTED,ACTIVE
tables/phi_kappa_canonical_verdict.csv,canonical,PROTECTED,ACTIVE
reports/phi_kappa_canonical_verdict.md,canonical,PROTECTED,ACTIVE
tables/parameter_robustness_stage1_canonical_summary.csv,canonical,PROTECTED,ACTIVE
reports/parameter_robustness_stage1_canonical_report.md,canonical,PROTECTED,ACTIVE
tables/relaxation_measurement_canonical_self_audit.csv,canonical,PROTECTED,ACTIVE
reports/relaxation_measurement_canonical_self_audit.md,canonical,PROTECTED,ACTIVE
tables/relaxation_canonical_definition.csv,canonical,PROTECTED,ACTIVE
reports/relaxation_canonical_definition.md,canonical,PROTECTED,ACTIVE
tables/relaxation_canonical_implementation_check.csv,canonical,PROTECTED,ACTIVE
reports/relaxation_canonical_implementation_check.md,canonical,PROTECTED,ACTIVE
tables/switching_pipeline_stability_post_enforcement_status.csv,canonical,PROTECTED,ACTIVE
reports/switching_pipeline_stability_post_enforcement.md,canonical,PROTECTED,ACTIVE
tables/kappa1_from_PT.csv,canonical,PROTECTED,ACTIVE
reports/kappa1_from_PT_report.md,canonical,PROTECTED,ACTIVE
tables/kappa1_from_PT_aligned.csv,canonical,PROTECTED,ACTIVE
reports/kappa1_from_PT_aligned_report.md,canonical,PROTECTED,ACTIVE
reports/phi1_phi2_observable_closure_fixed.md,canonical,PROTECTED,ACTIVE
tables/phi1_phi2_observable_closure_fixed.csv,canonical,PROTECTED,ACTIVE
tables/phi1_phi2_observable_closure_fixed_status.csv,canonical,PROTECTED,ACTIVE
tables/phi2_reconciliation_same_input_tests.csv,canonical,PROTECTED,ACTIVE
reports/phi2_reconciliation_canonical_summary.md,canonical,PROTECTED,ACTIVE
reports/phi2_reconciliation_report.md,canonical,PROTECTED,ACTIVE
tables/PT_kappa_relaxation_mapping.csv,canonical,PROTECTED,ACTIVE
reports/PT_kappa_relaxation_mapping.md,canonical,PROTECTED,ACTIVE
tables/PT_to_relaxation_mapping.csv,canonical,PROTECTED,ACTIVE
reports/PT_to_relaxation_mapping.md,canonical,PROTECTED,ACTIVE
tables/relaxation_full_dataset.csv,canonical,PROTECTED,ACTIVE
reports/relaxation_full_dataset.md,canonical,PROTECTED,ACTIVE
tables/tau_extracted.csv,canonical,PROTECTED,ACTIVE
reports/tau_extracted.md,canonical,PROTECTED,ACTIVE
tables/relaxation_measurement_focused_t0_norm_window_summary.csv,canonical,PROTECTED,ACTIVE
reports/relaxation_measurement_focused_t0_norm_window.md,canonical,PROTECTED,ACTIVE
tables/phi2_deformation_fit.mat,canonical,PROTECTED,ACTIVE
tables/phi2_extended_deformation_basis.csv,canonical,PROTECTED,ACTIVE
reports/phi2_extended_deformation_basis.md,canonical,PROTECTED,ACTIVE
tables/phi2_reconciliation_verdicts.csv,canonical,PROTECTED,ACTIVE
tables/phi2_reconciliation_sources.csv,canonical,PROTECTED,ACTIVE
tables/kappa2_phenomenological_audit.csv,canonical,PROTECTED,ACTIVE
reports/kappa2_phenomenological_audit.md,canonical,PROTECTED,ACTIVE
tables/kappa2_operational_signature.csv,canonical,PROTECTED,ACTIVE
reports/kappa2_operational_signature.md,canonical,PROTECTED,ACTIVE
tables/phi1_audit.csv,canonical,PROTECTED,ACTIVE
reports/phi1_audit.md,canonical,PROTECTED,ACTIVE
tables/kappa1_phi1_local_v2_status.csv,stale,ARCHIVED,archive/stale/tables/kappa1_phi1_local_v2_status.csv
reports/kappa1_phi1_local_v2.md,stale,ARCHIVED,archive/stale/reports/kappa1_phi1_local_v2.md
tables/kappa1_phi1_local_v2_20260329_234400.csv,stale,ARCHIVED,archive/stale/tables/kappa1_phi1_local_v2_20260329_234400.csv
reports/kappa1_phi1_local_v2_20260329_234400.md,stale,ARCHIVED,archive/stale/reports/kappa1_phi1_local_v2_20260329_234400.md
tables/kappa1_phi1_local_v2_20260329_234420.csv,stale,ARCHIVED,archive/stale/tables/kappa1_phi1_local_v2_20260329_234420.csv
reports/kappa1_phi1_local_v2_20260329_234420.md,stale,ARCHIVED,archive/stale/reports/kappa1_phi1_local_v2_20260329_234420.md
tables/phi1_instability_analysis.csv,stale,ARCHIVED,archive/stale/tables/phi1_instability_analysis.csv
reports/phi1_instability_analysis.md,stale,ARCHIVED,archive/stale/reports/phi1_instability_analysis.md
tables/phi1_instability_status.csv,stale,ARCHIVED,archive/stale/tables/phi1_instability_status.csv
tables/alpha_observable_debug.csv,stale,ARCHIVED,archive/stale/tables/alpha_observable_debug.csv
tables/alpha_observable_debug_full.csv,stale,ARCHIVED,archive/stale/tables/alpha_observable_debug_full.csv
reports/alpha_observable_search.md,stale,ARCHIVED,archive/stale/reports/alpha_observable_search.md
tables/alpha_observable_models.csv,stale,ARCHIVED,archive/stale/tables/alpha_observable_models.csv
tables/alpha_observable_status.csv,stale,ARCHIVED,archive/stale/tables/alpha_observable_status.csv
tables/kappa1_bridge_comparison_v2.csv,stale,ARCHIVED,archive/stale/tables/kappa1_bridge_comparison_v2.csv
tables/kappa1_bridge_comparison_v2_20260329_235900.csv,stale,ARCHIVED,archive/stale/tables/kappa1_bridge_comparison_v2_20260329_235900.csv
tables/phi1_bridge_metrics_v2.csv,stale,ARCHIVED,archive/stale/tables/phi1_bridge_metrics_v2.csv
tables/phi1_bridge_metrics_v2_20260329_235900.csv,stale,ARCHIVED,archive/stale/tables/phi1_bridge_metrics_v2_20260329_235900.csv
reports/representation_bridge_v2.md,stale,ARCHIVED,archive/stale/reports/representation_bridge_v2.md
tables/representation_bridge_status_v2.csv,stale,ARCHIVED,archive/stale/tables/representation_bridge_status_v2.csv
tables/representation_bridge_status_v2_20260329_235900.csv,stale,ARCHIVED,archive/stale/tables/representation_bridge_status_v2_20260329_235900.csv
tables/kappa1_projection_test.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/kappa1_projection_test_status.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/kappa1_projection_test.md,partial,ISOLATED,ACTIVE (MARKED)
tables/cleanup_kappa1_projection_attempt.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/cleanup_kappa1_projection_attempt.md,partial,ISOLATED,ACTIVE (MARKED)
tables/switching_migration_pilot.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/switching_migration_pilot_status.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/switching_migration_pilot.md,partial,ISOLATED,ACTIVE (MARKED)
tables/switching_migration_pilot_v2.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/switching_migration_pilot_v2_status.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/switching_migration_pilot_v2.md,partial,ISOLATED,ACTIVE (MARKED)
tables/aging_measurement_definition_audit.csv,invalid,ARCHIVED,archive/invalid/tables/aging_measurement_definition_audit.csv
tables/aging_measurement_definition_audit_status.csv,invalid,ARCHIVED,archive/invalid/tables/aging_measurement_definition_audit_status.csv
reports/aging_measurement_definition_audit.md,invalid,ARCHIVED,archive/invalid/reports/aging_measurement_definition_audit.md
tables/aging_alpha_closure_best_model.csv,invalid,ARCHIVED,archive/invalid/tables/aging_alpha_closure_best_model.csv
tables/aging_alpha_closure_master_table.csv,invalid,ARCHIVED,archive/invalid/tables/aging_alpha_closure_master_table.csv
tables/aging_alpha_closure_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_alpha_closure_models.csv
tables/aging_alpha_closure_residual_audit.csv,invalid,ARCHIVED,archive/invalid/tables/aging_alpha_closure_residual_audit.csv
