category,item,current_state,canonical_status,evidence_artifact,notes
core_physics,PT status,"PT is part of canonical reconstruction; PT-only is not hermetically sufficient.",CANONICAL,"reports/canonical_reconstruction.md;tables/canonical_reconstruction_summary.csv",PT is trusted as a canonical component, not a complete standalone model.
core_physics,phi1 status,"Phi1 source is canonical and enforced with non-canonical/mixed-source blocking.",CANONICAL,"reports/phi1_enforcement.md;tables/phi1_enforcement_status.csv",Enforcement is active on identified phi1-using pipelines.
core_physics,kappa1 status,"Kappa1 is canonical in reconstruction, but robustness is fragile and projection-validation attempts are not execution-valid.",OPEN,"reports/canonical_reconstruction.md;reports/kappa1_projection_test.md;status/parameter_robustness_stage1_canonical_status.txt",Do not treat kappa1 closure as complete.
core_physics,migration status,"Migration scope is defined, but pilot execution did not complete and preservation verdicts are invalid.",OPEN,"reports/switching_migration_pilot_v2.md;reports/switching_migration_pilot.md;tables/switching_migration_pilot_status.csv",No valid migration preservation claim is currently allowed.
core_physics,replay status,"A same-input replay exists for phi2 reconciliation, but repository-wide replay formalization/plan is not established.",PARTIAL,"reports/phi2_reconciliation_report.md;reports/phi2_reconciliation_canonical_summary.md",Replay evidence exists for one conflict class only.
repository_state,canonical reconstruction,"Strict LOTO canonical reconstruction is complete and valid with consistent verdict outputs.",CANONICAL,"reports/canonical_reconstruction.md;tables/canonical_reconstruction_summary.csv",Final model is PT_PLUS_PHI1 under the stated protocol.
repository_state,execution gate,"Wrapper-based execution gate and runnable contract are explicitly enforced.",CANONICAL,"docs/repo_execution_rules.md;reports/matlab_runnable_guardrail.md",Preflight blocking and contract rules are present.
repository_state,dependency map,"Dependency/system mapping artifacts exist but repository remains in transitional alignment.",PARTIAL,"docs/repo_map.md;docs/repo_audit_report.md;reports/structural_alignment_plan.md",Maps are present; structural cleanup is not complete.
repository_state,replay plan,"No explicit repository-level replay plan artifact was found.",OPEN,"reports/phi2_reconciliation_report.md;reports/phi2_reconciliation_canonical_summary.md",Use NO for replay-plan existence until a formal plan artifact is added.
repository_state,root_vs_run_level_consistency,"Root-level narratives and run-level policy remain in tension; consistency is not yet resolved.",OPEN,"docs/repo_map.md;docs/repo_audit_report.md;reports/run_review_audit.md",Root global reports and run-scoped evidence systems are both active.
repository_state,stale_layers,"Legacy/global root report-table patterns remain alongside canonical run-scoped policy.",STALE,"docs/repo_map.md;docs/results_system.md",Treat root-level global narratives as non-canonical when conflicting with run-level evidence.
repository_state,partial_layers,"Review/approval and run registry completeness are partial.",PARTIAL,"reports/run_review_audit.md;analysis/knowledge/unresolved_runs.csv",Many runs are pending review or unresolved.
repository_state,invalid_layers,"Known contaminated aging-measurement artifacts are explicitly marked invalid for aging use.",INVALID,"reports/integrity_invalid_artifacts_audit.md",Invalidity markers are in place and must be respected.
