"a","b","c","pearson_A","spearman_A","deltaT_peak","loo_min_pearson","loo_min_spearman","source","score_basic"
"0.85","0.5","1","0.988704306439734","1","0","0.987100409557858","1","computed_refine_extension","0.994031373843492"
"0.85","0.5","0.95","0.988591241195152","1","0","0.987034666835699","1","computed_refine_extension","0.993984305725685"
"0.9","0.5","1.05","0.988580959115001","1","0","0.98701057647114","1","computed_refine_extension","0.993976403028728"
"0.9","0.5","1","0.988560402045339","1","0","0.987011241810856","1","computed_refine_extension","0.993970368975773"
"0.85","0.5","1.05","0.988594290950493","1","0","0.986918475870016","1","computed_refine_extension","0.993961982459151"
"0.8","0.5","0.95","0.988565150822104","1","0","0.986858702922636","1","computed_refine_extension","0.993941285831159"
"0.8","0.5","1","0.988548471348272","1","0","0.986795169707453","1","computed_refine_extension","0.993923575345972"
"0.9","0.5","1.1","0.988384621102227","1","0","0.986758802808501","1","computed_refine_extension","0.993867146892368"
"0.9","0.55","1","0.988420150212221","1","0","0.986702304025388","1","computed_refine_extension","0.993866505868744"
"0.95","0.55","1.05","0.988377928359118","1","0","0.98673476227847","1","computed_refine_extension","0.993860330963429"
"0.9","0.5","0.95","0.988294528113722","1","0","0.986757816779148","1","computed_refine_extension","0.993839921789946"
"0.8","0.5","0.9","0.988351510173582","1","0","0.986664950024519","1","computed_refine_extension","0.993838443056979"
"0.9","0.55","1.05","0.98838146749415","1","0","0.986610781145727","1","computed_refine_extension","0.99383659647739"
"0.95","0.55","1","0.988284661724264","1","0","0.986694616327651","1","computed_refine_extension","0.993824321782809"
"0.95","0.5","1.05","0.988286093921713","1","0","0.98667939914604","1","computed_refine_extension","0.993821708005722"
"0.85","0.5","0.9","0.988224612410406","1","0","0.986688623319268","1","computed_refine_extension","0.993805108386975"
"0.8","0.5","1.05","0.988328023531394","1","0","0.986503122987631","1","computed_refine_extension","0.993799031656944"
"0.85","0.5","1.1","0.988286023469429","1","0","0.986515480834903","1","computed_refine_extension","0.993788903207809"
"0.95","0.5","1.1","0.988219889220272","1","0","0.986597061883697","1","computed_refine_extension","0.993785379142821"
"0.95","0.55","1.1","0.988244133550318","1","0","0.986523028265661","1","computed_refine_extension","0.993777845718227"
"0.9","0.55","0.95","0.98822403056007","1","0","0.986531900186613","1","computed_refine_extension","0.993773589205344"
"0.85","0.55","1","0.988257358987747","1","0","0.986408314874758","1","computed_refine_extension","0.993758870671276"
"0.95","0.5","1","0.988114243356183","1","0","0.986514988783669","1","computed_refine_extension","0.993737270763589"
"0.85","0.55","0.95","0.988192838417056","1","0","0.986370093094229","1","computed_refine_extension","0.993731870143963"
"1","0.55","1.05","0.988094043803338","1","0","0.986462514344035","1","computed_refine_extension","0.993720716009809"
"1","0.55","1.1","0.988091395030664","1","0","0.986450391318394","1","computed_refine_extension","0.993717496772878"
"0.9","0.55","1.1","0.988134473258402","1","0","0.986285912090264","1","computed_refine_extension","0.993697524395573"
"1","0.6","1.05","0.988073654145602","1","0","0.986312779796272","1","computed_refine_extension","0.993684652202935"
"0.85","0.55","1.05","0.988106562324993","1","0","0.986204046677803","1","computed_refine_extension","0.993672778033059"
"0.95","0.6","1.05","0.988069155492488","1","0","0.986198400568079","1","computed_refine_extension","0.993660426761362"
"0.95","0.55","0.95","0.987934267565758","1","0","0.986353090124688","1","computed_refine_extension","0.993650898294665"
"0.95","0.6","1","0.988032935426442","1","0","0.986195579366107","1","computed_refine_extension","0.993648996501154"
"0.9","0.5","1.15","0.987994773236514","1","0","0.986252196822327","1","computed_refine_extension","0.993648871335419"
"0.95","0.5","1.15","0.987942287737821","1","0","0.986297437426277","1","computed_refine_extension","0.993642173806602"
"1","0.6","1.1","0.98800588073814","1","0","0.986185125271451","1","computed_refine_extension","0.993638789275732"
"1","0.6","1","0.987904023550647","1","0","0.986175905302935","1","computed_refine_extension","0.993606388125781"
"0.8","0.5","0.85","0.987874594226088","1","0","0.986178235721891","1","computed_refine_extension","0.993598025412204"
"1","0.55","1","0.987848433003816","1","0","0.986216348104256","1","computed_refine_extension","0.993597799521996"
"1","0.55","1.15","0.987868507001401","1","0","0.986172605908469","1","computed_refine_extension","0.993595073282114"
"0.95","0.55","1.15","0.987908047432816","1","0","0.986085881033136","1","computed_refine_extension","0.993589590436472"
"1.05","0.6","1.1","0.98786350922683","1","0","0.986152180907899","1","computed_refine_extension","0.993589488949629"
"0.8","0.5","1.1","0.987925539273932","1","0","0.986006136507225","1","computed_refine_extension","0.993578889083625"
