"a","b","c","pearson_A","spearman_A","deltaT_peak","loo_min_pearson","loo_min_spearman","source","score_basic"
"1","0.5","1","0.98736","1","0","0.98567","1","reused_stability_27","0.993342"
"1","0.5","1.25","0.986746170420889","1","0","0.984996207240017","1","computed_coarse_extension","0.99302309257427"
"1.25","0.75","1.25","0.98602130111607","1","0","0.983813661161885","1","computed_coarse_extension","0.992569122567198"
"0.75","0.5","1","0.988095934263192","0.995604395604396","0","0.986185513078585","0.994505494505495","computed_coarse_extension","0.992127421356213"
"1.25","0.75","1","0.98507424639567","1","0","0.983016732155503","1","computed_coarse_extension","0.992125620349802"
"0.75","0.5","1.25","0.985005517703127","1","0","0.982522132182897","1","computed_coarse_extension","0.992006081747517"
"0.75","0.5","0.75","0.986285673198887","0.995604395604396","0","0.9843102111431","0.994505494505495","computed_coarse_extension","0.991209282649825"
"1","0.75","1","0.985679734554777","0.995604395604396","0","0.983310446210996","0.994505494505495","computed_coarse_extension","0.990827548070171"
"1","0.5","1.5","0.98181","1","0","0.97903","1","reused_stability_27","0.990349"
"1.25","0.75","1.5","0.981850685915867","1","0","0.978856501867593","1","computed_coarse_extension","0.990326506148279"
"1","0.75","1.25","0.983995278444063","0.995604395604396","0","0.981412313928002","0.994505494505495","computed_coarse_extension","0.989942584780358"
"1.5","0.75","1.5","0.980869497911553","1","0","0.97829488492802","1","computed_coarse_extension","0.98991982635907"
"1.25","0.5","1.5","0.980439330161755","1","0","0.978254510718262","1","computed_coarse_extension","0.989782701192179"
"1.5","1","1.25","0.983437258743921","0.995604395604396","0","0.980689257978934","0.994505494505495","computed_coarse_extension","0.989630567680502"
"1.25","0.5","1.25","0.983002542299878","0.995604395604396","0","0.980701568962057","0.994505494505495","computed_coarse_extension","0.989502614943913"
"1.5","0.75","1.25","0.982625225293041","0.995604395604396","0","0.980257637125198","0.994505494505495","computed_coarse_extension","0.989300633474491"
"1.75","1","1.5","0.979551172097776","1","0","0.976377536433798","1","computed_coarse_extension","0.989140858916092"
"0.75","0.5","1.5","0.97892855326778","1","0","0.975422633137144","1","computed_coarse_extension","0.988763092607763"
"1.25","1","1.25","0.981273491695377","0.995604395604396","0","0.978468867371154","0.994505494505495","computed_coarse_extension","0.988537359444382"
"1.25","1","1","0.981344429248423","0.995604395604396","0","0.978352854136328","0.994505494505495","computed_coarse_extension","0.988535438063331"
"1.75","1","1.25","0.98026529870849","0.995604395604396","0","0.977568856957043","0.994505494505495","computed_coarse_extension","0.988054899465494"
"1","0.5","0.75","0.980026755030509","0.995604395604396","0","0.977872702745219","0.994505494505495","computed_coarse_extension","0.988044105519735"
"1.5","1","1.5","0.98025","0.9956","0","0.97699","0.99451","reused_stability_27","0.987933"
"2","1.25","1.5","0.976858146056205","1","0","0.973047374497184","1","computed_coarse_extension","0.987666918716298"
"1.25","0.5","1","0.979017623100855","0.995604395604396","0","0.976195282854124","0.994505494505495","computed_coarse_extension","0.98740588196262"
"1","0.75","1.5","0.978591757922669","0.995604395604396","0","0.975173243316538","0.994505494505495","computed_coarse_extension","0.987073714501647"
"1.5","0.75","1.75","0.974782979808937","1","0","0.970966404841634","1","computed_coarse_extension","0.986628174911008"
"1.5","1.25","1.25","0.977267784801185","0.995604395604396","0","0.974118372184702","0.994505494505495","computed_coarse_extension","0.986465548338834"
"1.75","1.25","1.5","0.977356732319454","0.995604395604396","0","0.973754540711078","0.994505494505495","computed_coarse_extension","0.98641946629959"
"1.25","0.75","1.75","0.974504681559791","1","0","0.970252178627717","1","computed_coarse_extension","0.986401840193481"
"1.5","0.75","1","0.977067947999824","0.995604395604396","0","0.973992029781638","0.994505494505495","computed_coarse_extension","0.986380328817813"
"1.75","1","1.75","0.974027848893263","1","0","0.969795341949925","1","computed_coarse_extension","0.986167423057964"
"1.25","1","1.5","0.976736818782921","0.995604395604396","0","0.973319942946263","0.994505494505495","computed_coarse_extension","0.986146572685667"
"1.75","0.75","1.5","0.975819302555376","0.995604395604396","0","0.97288447158733","0.994505494505495","computed_coarse_extension","0.985784223545617"
"0.5","0.5","0.75","0.981561990380561","0.986813186813187","0","0.97851522850778","0.983516483516483","computed_coarse_extension","0.98555625820034"
"0.5","0.5","1","0.98152","0.98681","0","0.97854","0.98352","reused_stability_27","0.9855475"
"1.5","0.5","1.5","0.975","0.9956","0","0.972","0.99451","reused_stability_27","0.98536"
"2","1","1.5","0.974804717010524","0.995604395604396","0","0.971727657769816","0.994505494505495","computed_coarse_extension","0.985248485118659"
"1","0.75","0.75","0.980950211912534","0.986813186813187","0","0.977851548476771","0.983516483516483","computed_coarse_extension","0.98523998865373"
"1.5","1","1","0.9807","0.98681","0","0.97763","0.98352","reused_stability_27","0.9851195"
"2","1.25","1.75","0.972022369802425","1","0","0.967347810673202","1","computed_coarse_extension","0.985076273075368"
"1.25","0.5","1.75","0.973990335994476","0.995604395604396","0","0.970580251895582","0.994505494505495","computed_coarse_extension","0.984774689638998"
"1.75","0.75","1.25","0.973931921200426","0.995604395604396","0","0.970337171329461","0.994505494505495","computed_coarse_extension","0.984708549087558"
"1","0.5","1.75","0.974127173618977","0.995604395604396","0","0.969965288562072","0.994505494505495","computed_coarse_extension","0.984692748259646"
"1.5","1.25","1.5","0.973693930042242","0.995604395604396","0","0.97018374983432","0.994505494505495","computed_coarse_extension","0.984606467441075"
"1.75","1.25","1.25","0.979459602523511","0.986813186813187","0","0.976082296603692","0.983516483516483","computed_coarse_extension","0.984438955462407"
"0.75","0.75","1","0.979157390911305","0.986813186813187","0","0.976055867125858","0.983516483516483","computed_coarse_extension","0.984343006083178"
"1.5","1","1.75","0.973423220478228","0.995604395604396","0","0.969044374557012","0.994505494505495","computed_coarse_extension","0.984297379516409"
"1.75","0.75","1.75","0.971796015094338","0.995604395604396","0","0.968672852548172","0.994505494505495","computed_coarse_extension","0.983734913499474"
"0.5","0.5","1.25","0.977826587969496","0.986813186813187","0","0.974296156956703","0.983516483516483","computed_coarse_extension","0.983591823166805"
"2","1","1.75","0.971362662396692","0.995604395604396","0","0.967496272459095","0.994505494505495","computed_coarse_extension","0.983369591672365"
"1.5","0.5","1.25","0.973905167873352","0.991208791208791","0","0.970322700776257","0.989010989010989","computed_coarse_extension","0.983159167440334"
"1.75","1.25","1.75","0.971167516538023","0.995604395604396","0","0.966611762205562","0.994505494505495","computed_coarse_extension","0.983134145864058"
"0.75","0.75","1.25","0.976597668094877","0.986813186813187","0","0.973228937003789","0.983516483516483","computed_coarse_extension","0.983009703213836"
"0.75","0.75","0.75","0.976819867583352","0.986813186813187","0","0.972803414266069","0.983516483516483","computed_coarse_extension","0.982991258512835"
"1","0.75","1.75","0.970762968055559","0.995604395604396","0","0.9660538109866","0.994505494505495","computed_coarse_extension","0.982901191075526"
"0.75","0.5","1.75","0.970808497356017","0.995604395604396","0","0.965932797530634","0.994505494505495","computed_coarse_extension","0.98289064717447"
"2","1.25","1.25","0.976420130134526","0.986813186813187","0","0.972756642983736","0.983516483516483","computed_coarse_extension","0.98286198302172"
"1.75","1.5","1.5","0.969749946993484","0.995604395604396","0","0.966053220159081","0.994505494505495","computed_coarse_extension","0.9825971665914"
"1.5","1.25","1","0.975682253028713","0.986813186813187","0","0.971922166664761","0.983516483516483","computed_coarse_extension","0.982473724626182"
"1","1","1","0.97506","0.98681","0","0.97164","0.98352","reused_stability_27","0.9822295"
"1.25","1","1.75","0.96936427293372","0.995604395604396","0","0.964764644138157","0.994505494505495","computed_coarse_extension","0.982223749169286"
"1.25","0.75","0.75","0.974634449802645","0.986813186813187","0","0.971733823946037","0.983516483516483","computed_coarse_extension","0.982121715114617"
"1.75","1.25","1","0.974890215692587","0.986813186813187","0","0.970726489530804","0.983516483516483","computed_coarse_extension","0.981996977998552"
"1.5","0.75","2","0.965918715144854","1","0","0.960517303825538","1","computed_coarse_extension","0.981879075308564"
"2","1.5","1.25","0.974477863679664","0.986813186813187","0","0.970388478564022","0.983516483516483","computed_coarse_extension","0.981805670201319"
"0.5","0.5","0.5","0.97473","0.98681","0","0.9699","0.98352","reused_stability_27","0.9817825"
"1","1","1.25","0.973823342989407","0.986813186813187","0","0.970472210913162","0.983516483516483","computed_coarse_extension","0.98162606046407"
"1.5","0.5","1.75","0.970611296414569","0.991208791208791","0","0.967500415205783","0.989010989010989","computed_coarse_extension","0.981606548888604"
"1.75","1","2","0.96543895734721","1","0","0.959705755007528","1","computed_coarse_extension","0.981572838205668"
"2","1.5","1.75","0.967991823261725","0.995604395604396","0","0.963203126520448","0.994505494505495","computed_coarse_extension","0.981499710744146"
"0.75","0.5","0.5","0.973845708747531","0.986813186813187","0","0.969239732479807","0.983516483516483","computed_coarse_extension","0.981386274504836"
"1.25","0.75","2","0.96505642281227","1","0","0.959190864045363","1","computed_coarse_extension","0.981355099652754"
"2","1.5","1.5","0.973484175442909","0.986813186813187","0","0.96947020362493","0.983516483516483","computed_coarse_extension","0.981323908742474"
"1.25","1","0.75","0.973582169661573","0.986813186813187","0","0.969172368838764","0.983516483516483","computed_coarse_extension","0.98129374005084"
"1.75","0.75","2","0.964078344463693","1","0","0.959359026036612","1","computed_coarse_extension","0.98109530854643"
"1.75","1","1","0.972887928010412","0.986813186813187","0","0.969205955580643","0.983516483516483","computed_coarse_extension","0.981092184903868"
"1.5","1.25","1.75","0.966881415122774","0.995604395604396","0","0.96232196161043","0.994505494505495","computed_coarse_extension","0.980990355320457"
"2","1","2","0.963932561882262","1","0","0.958589933842977","1","computed_coarse_extension","0.980897755333274"
"1.75","1.5","1.25","0.9723360342133","0.986813186813187","0","0.968729689037452","0.983516483516483","computed_coarse_extension","0.980831363456096"
"2","1.25","2","0.963828708317942","1","0","0.957751163882586","1","computed_coarse_extension","0.9806988452719"
"2","0.75","1.75","0.965789394206154","0.995604395604396","0","0.962115001777249","0.994505494505495","computed_coarse_extension","0.980621357078835"
"0.5","0.5","1.5","0.97172","0.98681","0","0.9672","0.98352","reused_stability_27","0.9803395"
"0.75","0.75","1.5","0.971027713762377","0.986813186813187","0","0.966813836901866","0.983516483516483","computed_coarse_extension","0.980055696893702"
"1.25","0.5","2","0.965020490443829","0.995604395604396","0","0.95995459467981","0.994505494505495","computed_coarse_extension","0.979958604530649"
"1.25","1.25","1.25","0.969888850814416","0.986813186813187","0","0.966326054702834","0.983516483516483","computed_coarse_extension","0.979616481569507"
"1","0.5","2","0.964581021314086","0.995604395604396","0","0.958771198700193","0.994505494505495","computed_coarse_extension","0.979590084595803"
"1.5","1","2","0.964228992427383","0.995604395604396","0","0.958290709771938","0.994505494505495","computed_coarse_extension","0.979388378144141"
"1","1","0.75","0.970207245996462","0.986813186813187","0","0.964670207074799","0.983516483516483","computed_coarse_extension","0.979380830598514"
"1.75","1.5","1.75","0.963553283580838","0.995604395604396","0","0.9589616860505","0.994505494505495","computed_coarse_extension","0.97931986074589"
"1","1","1.5","0.96896","0.98681","0","0.96495","0.98352","reused_stability_27","0.9790615"
"1.5","0.5","2","0.962786181259469","0.995604395604396","0","0.958715849379801","0.994505494505495","computed_coarse_extension","0.979040562715339"
"1.75","1.25","2","0.962337731033571","0.995604395604396","0","0.956294716253591","0.994505494505495","computed_coarse_extension","0.978421801022328"
"1.75","0.5","1.75","0.964247698079744","0.991208791208791","0","0.960424066024585","0.989010989010989","computed_coarse_extension","0.978282199551917"
"2","1.75","1.25","0.966770045673034","0.986813186813187","0","0.962612470370161","0.983516483516483","computed_coarse_extension","0.977938123160558"
"1","0.75","2","0.961278283245409","0.995604395604396","0","0.954936230994092","0.994505494505495","computed_coarse_extension","0.97783226963398"
"0.75","0.5","2","0.961240552998381","0.995604395604396","0","0.954724688336366","0.994505494505495","computed_coarse_extension","0.977778642028326"
"2","0.75","2","0.959775233096281","0.995604395604396","0","0.955863166760982","0.994505494505495","computed_coarse_extension","0.977566741742619"
"1.25","1.25","1.5","0.965824287394085","0.986813186813187","0","0.961897310587708","0.983516483516483","computed_coarse_extension","0.977511363720383"
"2","1","1.25","0.971880685721774","0.978021978021978","0","0.967998168813451","0.972527472527473","computed_coarse_extension","0.977471531786915"
"2","1.75","1.75","0.95958679485127","0.995604395604396","0","0.954894607339561","0.994505494505495","computed_coarse_extension","0.977316498384832"
"1.25","1","2","0.960102749261606","0.995604395604396","0","0.953899879279996","0.994505494505495","computed_coarse_extension","0.97727233909602"
"0.5","0.75","1","0.966074918212971","0.986813186813187","0","0.959888724777362","0.983516483516483","computed_coarse_extension","0.977184835803979"
"2","1.75","1.5","0.965147791964225","0.986813186813187","0","0.961180301827006","0.983516483516483","computed_coarse_extension","0.977165013339284"
"2","1.5","2","0.959598989306637","0.995604395604396","0","0.953412119549155","0.994505494505495","computed_coarse_extension","0.977023659163361"
"2","0.75","1.5","0.966954734182286","0.982417582417582","0","0.962781859928217","0.978021978021978","computed_coarse_extension","0.976488946086483"
"0.75","0.75","0.5","0.964690338358472","0.986813186813187","0","0.958039678178526","0.983516483516483","computed_coarse_extension","0.976399652527862"
"0.5","0.75","1.25","0.964059982158572","0.986813186813187","0","0.958670203157219","0.983516483516483","computed_coarse_extension","0.976336650663631"
"1.25","1.25","1","0.969748544367591","0.978021978021978","0","0.965135201673327","0.972527472527473","computed_coarse_extension","0.976259295952635"
"1.5","1.25","2","0.957942071584666","0.995604395604396","0","0.951830701414541","0.994505494505495","computed_coarse_extension","0.976210300219846"
"0.75","0.75","1.75","0.963428183733617","0.986813186813187","0","0.957940971285395","0.983516483516483","computed_coarse_extension","0.97600126476178"
"1.5","1.5","1","0.96364","0.98681","0","0.95742","0.98352","reused_stability_27","0.9759595"
"1.75","0.5","1.5","0.965767489115978","0.982417582417582","0","0.961487663979566","0.978021978021978","computed_coarse_extension","0.975873933376861"
"1.5","1.5","1.5","0.96187","0.98681","0","0.95789","0.98352","reused_stability_27","0.9755225"
"1","1","1.75","0.961736084640425","0.986813186813187","0","0.956526792559813","0.983516483516483","computed_coarse_extension","0.975210799288705"
"1.75","0.5","2","0.95812904680171","0.991208791208791","0","0.954076200127751","0.989010989010989","computed_coarse_extension","0.97517703098914"
"0.75","1","1.25","0.961313726425499","0.986813186813187","0","0.955192361509901","0.983516483516483","computed_coarse_extension","0.974817205614245"
"1.75","1.5","2","0.955001373063607","0.995604395604396","0","0.948928753330639","0.994505494505495","computed_coarse_extension","0.974747701046748"
"0.5","0.5","1.75","0.963887374224623","0.982417582417582","0","0.958051088353185","0.978021978021978","computed_coarse_extension","0.974622583784178"
"1.75","1.5","1","0.969158000894296","0.973626373626374","0","0.964511313403531","0.967032967032967","computed_coarse_extension","0.974418893718226"
"1.5","0.5","1","0.96309","0.98242","0","0.95798","0.97802","reused_stability_27","0.97437"
