"a","b","c","source","pearson_A","spearman_A","deltaT_peak","loo_min_pearson","loo_min_spearman","beta","power_r2","resid_rms","resid_corr_T","resid_sign_changes","corr_R_pearson","corr_R_spearman","R_overlap_n","perturb_sens_0p05","score_final"
"0.95","0.55","1.1","computed_refine_extension","0.988244133550318","1","0","0.986523028265661","1","0.725314359900332","0.975097630785359","0.000111521835272136","0.16495536613394","5","0.86286959682311","1","4","0.000185637636164508","0.980239961758819"
"0.95","0.55","1.05","computed_refine_extension","0.988377928359118","1","0","0.98673476227847","1","0.758127586865248","0.974495412911668","0.00011286225474663","0.178038725828397","5","0.863375137747288","1","4","0.000152515406417123","0.980236884777963"
"0.9","0.55","1.05","computed_refine_extension","0.98838146749415","1","0","0.986610781145727","1","0.752396531033636","0.974821193643836","0.000112139119764046","0.147618242866422","5","0.862839406192388","1","4","0.000226277905247781","0.980235416025868"
"0.9","0.55","1","computed_refine_extension","0.988420150212221","1","0","0.986702304025388","1","0.787787634337415","0.974233854187077","0.000113439500088596","0.16064278936796","5","0.863527063466578","1","4","0.000204735215913669","0.980211234325231"
"0.95","0.55","1","computed_refine_extension","0.988284661724264","1","0","0.986694616327651","1","0.793988913189202","0.973709608503528","0.000114587725904748","0.191935662970683","5","0.864075417937222","1","4","0.000239587111277972","0.980131186270962"
"0.85","0.55","1","computed_refine_extension","0.988257358987747","1","0","0.986408314874758","1","0.781485316305648","0.97426854947931","0.00011336309862625","0.12891946361702","5","0.862967000083613","1","4","0.000356191395278075","0.980096350950079"
"0.9","0.55","0.95","computed_refine_extension","0.98822403056007","1","0","0.986531900186613","1","0.826605522531123","0.973456729365657","0.000115137498977318","0.174585562886564","5","0.864431221046998","1","4","0.000259882270037685","0.980081977338332"
"0.85","0.55","0.95","computed_refine_extension","0.988192838417056","1","0","0.986370093094229","1","0.819756018019808","0.973677651861959","0.000114657346906714","0.141728692404121","5","0.863858667321577","1","4","0.000329637120438098","0.980046514977831"
"1","0.55","1.05","computed_refine_extension","0.988094043803338","1","0","0.986462514344035","1","0.763763641265684","0.973714924093278","0.000114576141213575","0.207580502461656","4","0.863900663961954","1","4","0.000250668748640733","0.980042602884933"
"0.85","0.5","1","computed_refine_extension","0.988704306439734","1","0","0.987100409557858","1","0.796102316704863","0.975188771972868","0.000111317566561969","0.156143133217331","5","0.856103333931914","1","4","0.000193953534333779","0.979898483706817"
"0.85","0.5","1.05","computed_refine_extension","0.988594290950493","1","0","0.986918475870016","1","0.759926517399443","0.975633385508766","0.00011031566060707","0.142991881195341","5","0.855544202933601","1","4","0.000237122170079496","0.979880001613204"
"0.9","0.5","1.05","computed_refine_extension","0.988580959115001","1","0","0.98701057647114","1","0.765790872267203","0.975314546942323","0.000111035058329734","0.174024994247303","5","0.856104663402719","1","4","0.000144916746413237","0.979878355007699"
"0.9","0.5","1.1","computed_refine_extension","0.988384621102227","1","0","0.986758802808501","1","0.732281652784168","0.975792422458195","0.000109955065024636","0.160786364280889","5","0.855726134101977","1","4","0.000219932647413112","0.979850014158628"
"0.85","0.5","0.95","computed_refine_extension","0.988591241195152","1","0","0.987034666835699","1","0.83583158160625","0.974576703100413","0.000112682249555294","0.170300667666229","5","0.856885111624894","1","4","0.000240180052380179","0.979820818776134"
"0.9","0.5","1","computed_refine_extension","0.988560402045339","1","0","0.987011241810856","1","0.802455621294544","0.974671827039663","0.00011247124575305","0.188157104134381","5","0.856682070974092","1","4","0.00020334918358953","0.979810225803308"
"0.8","0.5","0.95","computed_refine_extension","0.988565150822104","1","0","0.986858702922636","1","0.828805143619655","0.974781333275859","0.000112227847935781","0.136590558697007","5","0.856277576450375","1","4","0.000264448477853341","0.979779364829168"
"0.8","0.5","1","computed_refine_extension","0.988548471348272","1","0","0.986795169707453","1","0.789645972102016","0.975208660423509","0.000111272942052236","0.123708797657557","5","0.855515020807911","1","4","0.000318940391435762","0.979779212138591"
"0.85","0.5","1.1","computed_refine_extension","0.988286023469429","1","0","0.986515480834903","1","0.726854244660891","0.975946409140805","0.000109604789835967","0.13081260547963","5","0.855184765118648","1","4","0.000355105859077875","0.979779034330974"
"0.95","0.5","1.1","computed_refine_extension","0.988219889220272","1","0","0.986597061883697","1","0.737627505071656","0.975218978187061","0.000111249784622981","0.190203565286504","4","0.85626090847874","1","4","0.000192374732089151","0.979734718701211"
"0.8","0.5","1.05","computed_refine_extension","0.988328023531394","1","0","0.986503122987631","1","0.753976043213096","0.975502168833757","0.000110612292271092","0.111880882591409","5","0.854976239137784","1","4","0.000441024443952642","0.979695848474125"
"0.8","0.5","0.9","computed_refine_extension","0.988351510173582","1","0","0.986664950024519","1","0.871982362571971","0.974181862968503","0.000113553892161314","0.1505851847663","5","0.857289971345807","1","4","0.000344195523858537","0.979681785958648"
"0.95","0.5","1.05","computed_refine_extension","0.988286093921713","1","0","0.98667939914604","1","0.771558294447949","0.974534365250827","0.000112776036360591","0.204157713232572","4","0.856656758903072","1","4","0.000240523826189931","0.979676434182839"
