rank_overall,rank_canonical,rank_hermetic,model_name,formula,cohort_n,source_run_or_report,loocv_rmse,baseline_rmse,delta_rmse,pearson,transition_metric,comparability_flag,verdict,notes
1,,2,hermetic_interaction_lowest_loocv,R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,11,tables/aging_hermetic_closure_models.csv,5.68199255914414,6.98804575007817,-1.30605319093397,0.982939789310599,mean_abs_res_22_24K=9.186 vs ref 9.667 (-4.98pct rel ref),n11_alpha_overlap_STRICT_LOOCV_OLS,BEST_LOOCV_N11,Lowest LOOCV in repo tables on shared n=11 alpha cohort; 24I: INTERACTION_TERM_SUPPORTED=PARTIAL (fails >=10pct transition vs alpha-base)
2,,,alpha_closure_abs_alpha,R ~ spread90_50 + kappa1 + abs(alpha),11,tables/aging_alpha_closure_models.csv,5.74277144560232,10.9809226364879,-5.23815119128558,0.984986873057356,MAE_abs_res_22_24K=8.023 vs ref 11.407 (aging_alpha_closure_residual_audit.csv),n11_overlap_STRICT,STRONG_ALTERNATIVE_BEST_SWEEP,Best in full 24F model table; delta_rmse vs PT+k1 ref 10.981
3,,1,hermetic_abs_alpha_res_dual_threshold,R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),11,tables/aging_hermetic_closure_models.csv,6.35176881617559,6.98804575007817,-0.63627693390258,0.989016125291927,mean_abs_res_22_24K=6.379 vs ref 9.667 (-34pct rel ref),n11_alpha_overlap_STRICT,BEST_HERMETIC_BY_PROJECT_RULE,24I HERMETIC_CLOSURE_ACHIEVED=YES via RESIDUAL_DEFORMATION_TERM; dual threshold vs alpha-base not vs PT+k1 only
4,,,alpha_level_linear,R ~ spread90_50 + kappa1 + alpha,11,tables/aging_kappa2_models.csv,6.98804575007817,28.9561378712478,-21.9680927941696,0.982177433124039,mean_abs_res_22_24K=9.667 (hermetic ref),n11_overlap_STRICT,ALPHA_BASE_REFERENCE,Used as reference row in 24I; 24G cites as best LOOCV among models in that script's table
5,1,,canonical_pt_plus_kappa1_n11,R ~ spread90_50 + kappa1,11,tables/aging_kappa2_models.csv,10.9809226364879,28.9561378712478,-17.9752152343679,0.919275527521051,MAE_22_24K=11.407 per 24F audit,n11_overlap_STRICT,BEST_SIMPLE_DEFENSIBLE_N11,Canonical interpretable closure without alpha; comparable across 24F/24G/24I chain
6,,,spread_plus_kappa2,R ~ spread90_50 + kappa2,11,tables/aging_kappa2_models.csv,10.64863776001,28.9561378712478,-18.3075001117678,0.935214843873117,see reports/aging_kappa2_report.md,n11_overlap_STRICT,SECOND_MODE_BEATS_K1_ALONE_LOOCV,Does not beat alpha-augmented models; 24G still NO on kappa2 hypothesis tests
7,2,,canonical_pt_plus_kappa1_n10,R ~ spread90_50 + kappa1,10,tables/aging_prediction_models.csv + reports/aging_prediction_report.md,11.9148173531162,30.6256667424692,-18.710849389353,0.9117808799152,mean_abs_res_22_24K=11.858 (report prose),n10_trajectory_merge_NOT_APPLES_N11,HEADLINE_AGENT24B,Supersedes older cohort if citing trajectory tests; RMSE not directly comparable to n=11 column
8,,,pt_plus_k1_plus_ds,R ~ spread90_50 + kappa1 + ds,10,tables/aging_prediction_models.csv,13.1870860250649,30.6256667424692,-17.4385807174043,0.886156023357262,not in root CSV,n10_only,TRAJECTORY_ADDON_NULL,Worse than row7 on same cohort; FULL_CLOSURE_ACHIEVED=PARTIAL in 24B sense
9,3,,pt_spread_only,R ~ spread90_50,11,tables/aging_kappa2_models.csv,13.6377158944244,28.9561378712478,-15.3184219768234,0.870998993279462,N/A,n11_overlap_STRICT,BEST_MINIMAL_PURE_PT,Observable-first; kappa1 adds large LOOCV gain
10,,,pt_k1_k2_tensor,R ~ spread90_50 + kappa1 + kappa2,11,tables/aging_kappa2_models.csv,13.5241954010708,28.9561378712478,-15.431942469469,0.869772557575108,kappa2 worse in transition vs alpha in 24G text,n11_overlap_STRICT,KAPPA2_MAIN_TEST_NEGATIVE,24G verdict block all NO
,,,alpha_res_on_pt_kappa1,R ~ spread90_50 + kappa1 + alpha_res,11,tables/aging_alpha_closure_models.csv,11.3560617027772,10.9809226364879,0.3751390652893,0.908003598357815,N/A,n11_overlap_STRICT,DOES_NOT_BEAT_PT_K1,alpha_res as linear add to PT+k1 only
,,,kappa1_only_n11,R ~ kappa1,11,reports/R_state_report.md,29.8417345326736,28.9561378712478,0.8855966614058,-0.0224341522085075,N/A,n11_state_only,STATE_WITHOUT_PT_FAILS,LOOCV above naive mean benchmark per same report table
,,,kappa1_only_n4,R ~ kappa1,4,tables/aging_kappa1_models.csv,73.4961456172445,51.500750647923,21.9643949693215,-0.425112647197127,N/A,n4_disjoint,NON_COMPARABLE,24D diagnostic only
