"row_type","test_id","variant_label","axis","choice","n_supported","n_failed","n_overlap_with_baseline","observable_median","observable_corr_vs_baseline","observable_rel_change_median","observable_rmse","observable_nrmse","rank_stability_spearman","ordering_kendall_tau","monotonicity_delta_vs_baseline","trace_corr_median","trace_nrmse_median","shape_similarity_median","scale_deviation_median","trend_distortion_median","low_frequency_bias_median","scalar_stable","trace_stable","variant_stable","note","VALID_FOR_AGING","DEFINITION_CONTAMINATION","SHOULD_BE_USED"
"variant","variant_01","baseline_canonical","baseline","canonical_default","0","19","0","NaN","1","0","0","0","1","1","0","1","0","1","0","0","0","YES","YES","YES","baseline;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_02","t0_minus_dt","t0","t0_shift=-tau_min","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_03","t0_plus_dt","t0","t0_shift=+tau_min","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_04","window_start_earlier","window","window_start=0.5*tau_min","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_05","window_start_later","window","window_start=1.5*tau_min","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_06","window_end_earlier","window","window_end=0.8*canonical_end","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_07","window_end_later","window","window_end=1.2*canonical_end","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_08","normalization_initial_amplitude","normalization","y/y0","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_09","normalization_tail_referenced","normalization","(y-y_end)/(y0-y_end)","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_10","baseline_tail_subtracted","baseline","y - mean(last10%)","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_11","baseline_local_detrend","baseline","local linear detrend on last20%","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_12","sampling_downsample_x2","sampling","downsample x2","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_13","sampling_downsample_x4","sampling","downsample x4","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:19","NO","YES","NO"
"variant","variant_14","sampling_downsample_x2_smooth5","sampling","downsample x2 + movmedian(5)","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","insufficient_overlap;NO_T0_FOUND:18;NO_VALID_END_RULE:1","NO","YES","NO"
"axis_summary","axis_t0","axis_t0","t0","aggregate","0","38","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","n_variants=2;all_scalar=NO;all_trace=NO","NO","YES","NO"
"axis_summary","axis_window","axis_window","window","aggregate","0","76","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","n_variants=4;all_scalar=NO;all_trace=NO","NO","YES","NO"
"axis_summary","axis_normalization","axis_normalization","normalization","aggregate","0","38","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","n_variants=2;all_scalar=NO;all_trace=NO","NO","YES","NO"
"axis_summary","axis_baseline","axis_baseline","baseline","aggregate","0","57","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","n_variants=2;all_scalar=NO;all_trace=NO","NO","YES","NO"
"axis_summary","axis_sampling","axis_sampling","sampling","aggregate","0","57","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","n_variants=3;all_scalar=NO;all_trace=NO","NO","YES","NO"
"global_summary","global_trace","global_trace","structure","aggregate","0","247","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","MEASUREMENT FAILURE","NO","YES","NO"
"global_summary","observable_definition","observable_definition","scalar","baseline","0","19","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NO","NO","NO","have_robustfit=YES","NO","YES","NO"
