model,category,n,loocv_rmse,pearson_y_yhat,spearman_y_yhat
R ~ 1,baseline,11,28.9561378712478,-1,-1
R ~ spread90_50,PT,11,13.6377158944244,0.870998993279462,0.9
R ~ kappa1,state,11,29.8417345326736,-0.0224341522085075,0.00909090909090909
R ~ kappa2,state,11,30.5065965993025,-0.843560682053589,-0.590909090909091
R ~ spread90_50 + kappa1,PT+state,11,10.9809226364879,0.919275527521051,0.872727272727273
R ~ spread90_50 + kappa2,PT+state,11,10.64863776001,0.935214843873117,0.9
R ~ kappa1 + kappa2,state2D,11,38.7108730222282,-0.352197035606204,-0.227272727272727
R ~ spread90_50 + kappa1 + kappa2,PT+state2D,11,13.5241954010708,0.869772557575108,0.872727272727273
R ~ spread90_50 + abs_kappa2,PT+state,11,17.6929257481638,0.851428083786995,0.745454545454545
R ~ spread90_50 + kappa1 + abs_kappa2,PT+state2D,11,18.8196734835113,0.792795846497682,0.836363636363636
R ~ spread90_50 + kappa1 + alpha,PT+state+alpha,11,6.9880457500791,0.982177433124038,0.909090909090909
