artifact_path,artifact_type,marker_present,action_taken,notes
run_aging_measurement_definition_audit.m,script,YES,FIXED,Inserted INVALID_FOR_AGING and DEFINITION_CONTAMINATION header block
tables/aging_measurement_definition_audit.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns
tables/aging_measurement_definition_audit_status.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns
reports/aging_measurement_definition_audit.md,report,YES,FIXED,Added INVALID AGING ANALYSIS section with definition mismatch explanation
results/relaxation/runs/run_2026_03_30_124149_aging_measurement_definition_audit/run_manifest.json,run,YES,FIXED,Created/updated run manifest with valid_for_aging=false definition_contamination=true
results/relaxation/runs/run_2026_03_30_133703_aging_measurement_definition_audit/run_manifest.json,run,YES,FIXED,Created/updated run manifest with valid_for_aging=false definition_contamination=true
results/relaxation/runs/run_2026_03_30_124149_aging_measurement_definition_audit/tables/aging_measurement_definition_audit.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns in run copy
results/relaxation/runs/run_2026_03_30_124149_aging_measurement_definition_audit/tables/aging_measurement_definition_audit_status.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns in run copy
results/relaxation/runs/run_2026_03_30_124149_aging_measurement_definition_audit/reports/aging_measurement_definition_audit.md,report,YES,FIXED,Added INVALID AGING ANALYSIS section in run copy
results/relaxation/runs/run_2026_03_30_133703_aging_measurement_definition_audit/tables/aging_measurement_definition_audit.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns in run copy
results/relaxation/runs/run_2026_03_30_133703_aging_measurement_definition_audit/tables/aging_measurement_definition_audit_status.csv,table,YES,FIXED,Added VALID_FOR_AGING=NO DEFINITION_CONTAMINATION=YES SHOULD_BE_USED=NO columns in run copy
results/relaxation/runs/run_2026_03_30_133703_aging_measurement_definition_audit/reports/aging_measurement_definition_audit.md,report,YES,FIXED,Added INVALID AGING ANALYSIS section in run copy
