model,T_K,R,yhat_loocv,residual
R ~ spread90_50 + kappa1,6,9.55842193548671,8.27832298960492,1.28009894588179
R ~ spread90_50 + kappa1,8,5.10324271265972,11.77580479149,-6.67256207883027
R ~ spread90_50 + kappa1,10,2.28094749153087,5.65031933266367,-3.3693718411328
R ~ spread90_50 + kappa1,12,0.800786706765585,3.0783467419406,-2.27756003517501
R ~ spread90_50 + kappa1,14,0.372010793029286,-3.17593926035664,3.54795005338593
R ~ spread90_50 + kappa1,16,0.703870184987391,-4.92757578218396,5.63144596717135
R ~ spread90_50 + kappa1,18,1.50561531730532,-5.59907098627089,7.10468630357621
R ~ spread90_50 + kappa1,20,3.19806276575443,-2.70669010944694,5.90475287520137
R ~ spread90_50 + kappa1,22,7.00173291822134,23.8951212838049,-16.8933883655835
R ~ spread90_50 + kappa1,24,35.1894881379254,41.1099821255422,-5.92049398761681
R ~ spread90_50 + kappa1,26,91.9735525900868,63.4498261447332,28.5237264453536
R ~ spread90_50 + kappa1 + kappa2,6,9.55842193548671,9.42292304498819,0.135498890498521
R ~ spread90_50 + kappa1 + kappa2,8,5.10324271265972,11.9841119364329,-6.88086922377322
R ~ spread90_50 + kappa1 + kappa2,10,2.28094749153087,5.95235244605331,-3.67140495452244
R ~ spread90_50 + kappa1 + kappa2,12,0.800786706765585,1.71921900585323,-0.918432299087648
R ~ spread90_50 + kappa1 + kappa2,14,0.372010793029286,-3.62481320939374,3.99682400242303
R ~ spread90_50 + kappa1 + kappa2,16,0.703870184987391,-5.13396594195891,5.8378361269463
R ~ spread90_50 + kappa1 + kappa2,18,1.50561531730532,-5.68875238719758,7.1943677045029
R ~ spread90_50 + kappa1 + kappa2,20,3.19806276575443,-1.69197277797301,4.89003554372744
R ~ spread90_50 + kappa1 + kappa2,22,7.00173291822134,27.5025002678484,-20.500767349627
R ~ spread90_50 + kappa1 + kappa2,24,35.1894881379254,42.4314629433608,-7.24197480543537
R ~ spread90_50 + kappa1 + kappa2,26,91.9735525900868,55.2067054011631,36.7668471889237
R ~ spread90_50 + kappa1 + alpha,6,9.55842193548671,6.75078806607086,2.80763386941585
R ~ spread90_50 + kappa1 + alpha,8,5.10324271265972,8.12311998077412,-3.0198772681144
R ~ spread90_50 + kappa1 + alpha,10,2.28094749153087,5.06884679174751,-2.78789930021664
R ~ spread90_50 + kappa1 + alpha,12,0.800786706765585,2.16010667177142,-1.35931996500583
R ~ spread90_50 + kappa1 + alpha,14,0.372010793029286,-0.841197033616616,1.2132078266459
R ~ spread90_50 + kappa1 + alpha,16,0.703870184987391,-1.88206935955231,2.5859395445397
R ~ spread90_50 + kappa1 + alpha,18,1.50561531730532,-2.49924536444332,4.00486068174864
R ~ spread90_50 + kappa1 + alpha,20,3.19806276575443,6.01970961951132,-2.82164685375689
R ~ spread90_50 + kappa1 + alpha,22,7.00173291822134,17.0020853392409,-10.0003524210196
R ~ spread90_50 + kappa1 + alpha,24,35.1894881379254,25.8556064124213,9.33388172550411
R ~ spread90_50 + kappa1 + alpha,26,91.9735525900868,109.03960264,-17.066050049913
