run_id,approx_date,agent_label,primary_report_path,primary_table_paths,target_y,cohort_n,temperatures_K,headline_comparison,reference_loocv_rmse,best_or_key_loocv_rmse,pearson_if_headline,special_tags,status_notes
run_2026_03_26_003942_aging_prediction_agent24b,2026-03-26,Agent 24B,reports/aging_prediction_report.md,tables/aging_prediction_models.csv;tables/aging_prediction_ablation.csv;tables/aging_prediction_best_model.csv,R_T_interp,10,"6-26 grid omitting first T for trajectory deltas per script",R ~ spread90_50 + kappa1 vs trajectory add-ons,30.626,11.915,0.912,PT+state+trajectory_ablation;mirrors_run_results_cross_experiment,COMPLETE for n=10 cohort; trajectory ds does not beat PT+state; not same n as alpha overlap (11)
run_2026_03_26_012433_aging_kappa2_closure,2026-03-26,Agent 24G,reports/aging_kappa2_report.md,tables/aging_kappa2_models.csv;tables/aging_kappa2_best_model.csv;tables/aging_kappa2_master_table.csv,R_T_interp,11,6;8;10;12;14;16;18;20;22;24;26,R ~ spread90_50 + kappa1 + kappa2 vs ref PT+kappa1,10.981,13.524,0.870,kappa2_sweep;barrier_to_relaxation_merge,COMPLETE; headline best LOOCV in table is PT+k1+alpha not kappa2 path — see meta-audit (stronger models in 24F/24I)
run_2026_03_26_012056_aging_alpha_closure_alpha_residual,2026-03-26,Agent 24F,reports/aging_alpha_closure_report.md,tables/aging_alpha_closure_models.csv;tables/aging_alpha_closure_best_model.csv;tables/aging_alpha_closure_master_table.csv;tables/aging_alpha_closure_residual_audit.csv,R_T_interp,11,same grid,abs(alpha) vs alpha_res augmentations of PT+kappa1,10.981,5.743,0.985,alpha_decomposition_lineage;transition_MAE_audit,COMPLETE; first MATLAB pass figure glitch noted in report — numerics authoritative in CSV
compute_aging_hermetic_agent24i_ps1,2026-03-26,Agent 24I,reports/aging_hermetic_closure_report.md,tables/aging_hermetic_closure_models.csv;tables/aging_hermetic_closure_residuals.csv,R_T_interp,11,same grid,extensions of R~spread+k1+alpha,6.988,5.682,0.983,hermetic_dual_threshold_rule;PS1_or_MATLAB_twin,COMPLETE; closure YES per report uses extension meeting RMSE>=3pct AND transition>=10pct vs alpha-base
run_2026_03_26_005343_aging_kappa1_prediction_agent24d,2026-03-26,Agent 24D,reports/aging_kappa1_prediction.md,tables/aging_kappa1_models.csv;tables/aging_kappa1_loocv.csv,R from clock table,4,14;18;22;26,kappa1-only family vs baseline,51.501,73.496,-0.425,narrow_overlap_diagnostic,COMPLETE; NOT comparable to n=11 PT merge — different cohort by design
agent23a_R_vs_state,2026-03-26,Agent 23A,reports/R_state_report.md,(mirrored from PS1 — no root tables/ mirror listed),R_T_interp,11,same grid as barrier merge,state coordinates univariate/multivariate,28.956,29.842,0.418,exploratory_correlation_LOOCV,COMPLETE; AGING_LINKED_TO_STATE flag uses rho rule though best LOOCV kappa1 > naive mean — interpret cautiously
run_2026_03_26_000112_R_trajectory,2026-03-26,Agent 23B,reports/R_trajectory_report.md,(run-local tables under results/ if present),R_T_interp,10,subset with finite delta_theta and PT scores,R ~ delta_theta + kappa1 vs PT SVD baseline,30.626,28.606,0.856,trajectory_features;pt_svd_baseline_different_from_spread90_50,COMPLETE; supersedes for headline only where 24B uses spread90_50 — PT parameterization differs from 23B
aging_clock_ratio_analysis,2026-03-14,(structured aging run per reports),results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis,(table_clock_ratio.csv cited in downstream reports),R_tau_FM_over_tau_dip,unspecified in root tables,lineage for R_T_interp,canonical_R_lineage,N/A,N/A,N/A,upstream_R_T_interp,REFERENCED_ONLY — path in reports; not re-audited row counts here
barrier_to_relaxation_mechanism,2026-03-25,(cross_experiment),results/cross_experiment/runs/run_2026_03_25_031904_barrier_to_relaxation_mechanism,barrier_descriptors.csv cited,PT descriptors + R_T_interp,N/A,N/A,feeds spread90_50 row_valid,upstream_merge,N/A,N/A,PT_backbone_for_aging_chains,REFERENCED_ONLY
latent_to_observable_dictionary,N/A,meta,tables/latent_to_observable_replacement_table.csv,tables/latent_to_observable_replacement_table.csv,n/a,n/a,n/a,prose mapping observables to latent,n/a,n/a,n/a,observable_first_language,QUALITATIVE — not LOOCV ranks; supports observable-first narrative
