model,category,n,loocv_rmse,pearson_y_yhat,spearman_y_yhat,T_K_list,n_overlap,loocv_rmse_overlap,pearson_overlap,spearman_overlap,T_K_list_overlap
R ~ 1,baseline,11,28.9561378712478,-1,-1,6;8;10;12;14;16;18;20;22;24;26,11,28.9561378712478,-1,-1,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50,baseline,11,13.6377158944244,0.870998993279462,0.9,6;8;10;12;14;16;18;20;22;24;26,11,13.6377158944244,0.870998993279462,0.9,6;8;10;12;14;16;18;20;22;24;26
R ~ kappa1,baseline,11,29.8417345326736,-0.0224341522085075,0.00909090909090909,6;8;10;12;14;16;18;20;22;24;26,11,29.8417345326736,-0.0224341522085075,0.00909090909090909,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1,PT+state_ref,11,10.9809226364879,0.919275527521051,0.872727272727273,6;8;10;12;14;16;18;20;22;24;26,11,10.9809226364879,0.919275527521051,0.872727272727273,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + alpha_res,alpha_augmented,11,11.3560617027772,0.908003598357815,0.854545454545454,6;8;10;12;14;16;18;20;22;24;26,11,11.3560617027772,0.908003598357815,0.854545454545454,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + abs(alpha_res),alpha_augmented,11,11.35467878226,0.907305169548003,0.772727272727273,6;8;10;12;14;16;18;20;22;24;26,11,11.35467878226,0.907305169548003,0.772727272727273,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + alpha,alpha_augmented,11,6.9880457500791,0.982177433124038,0.909090909090909,6;8;10;12;14;16;18;20;22;24;26,11,6.9880457500791,0.982177433124038,0.909090909090909,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + abs(alpha),alpha_augmented,11,5.74277144560232,0.984986873057356,0.781818181818182,6;8;10;12;14;16;18;20;22;24;26,11,5.74277144560232,0.984986873057356,0.781818181818182,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + kappa2,state_extra,11,13.5241954010708,0.869772557575108,0.872727272727273,6;8;10;12;14;16;18;20;22;24;26,11,13.5241954010708,0.869772557575108,0.872727272727273,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + alpha_geom,alpha_geom,11,10.7542048457209,0.945442702926166,0.772727272727273,6;8;10;12;14;16;18;20;22;24;26,11,10.7542048457209,0.945442702926166,0.772727272727273,6;8;10;12;14;16;18;20;22;24;26
R ~ spread90_50 + kappa1 + alpha_geom + alpha_res,alpha_geom,11,13.6791967005444,0.965636381505893,0.863636363636364,6;8;10;12;14;16;18;20;22;24;26,11,13.6791967005444,0.965636381505893,0.863636363636364,6;8;10;12;14;16;18;20;22;24;26
