inclusion_set,scalar_name,variant,rmse_all,nrmse_all,fro_rel_error,variance_explained,worst_column_rmse,worst_T_K,map_pearson_corr
default_replay,A_obs,raw,6.29991204606567e-07,0.0334520130252688,0.0334520130252688,0.998880962824557,1.04497231365279e-06,37,0.998402652025803
default_replay,A_proj_nonSVD,raw,5.40617405504615e-07,0.0287063380542295,0.0287063380542295,0.999175946155516,6.72219035636831e-07,19,0.99869916276507
default_replay,m0_svd,raw,5.40615473558601e-07,0.0287062354694906,0.0287062354694906,0.99917595204517,6.72227294519476e-07,19,0.998699067627753
default_replay,projection_mean_curve,raw,5.40617622437854e-07,0.0287063495732055,0.0287063495732055,0.999175945494181,6.72219364343192e-07,19,0.998699234334902
default_replay,A_obs,sign_flip_if_negative_mean,6.29991204606567e-07,0.0334520130252688,0.0334520130252688,0.998880962824557,1.04497231365279e-06,37,0.998402652025803
default_replay,A_proj_nonSVD,sign_flip_if_negative_mean,5.40617405504615e-07,0.0287063380542295,0.0287063380542295,0.999175946155516,6.72219035636831e-07,19,0.99869916276507
default_replay,m0_svd,sign_flip_if_negative_mean,5.40615473558601e-07,0.0287062354694906,0.0287062354694906,0.99917595204517,6.72227294519476e-07,19,0.998699067627753
default_replay,projection_mean_curve,sign_flip_if_negative_mean,5.40617622437854e-07,0.0287063495732055,0.0287063495732055,0.999175945494181,6.72219364343192e-07,19,0.998699234334902
default_replay,A_obs,abs_diagnostic,6.29991204606567e-07,0.0334520130252688,0.0334520130252688,0.998880962824557,1.04497231365279e-06,37,0.998402652025803
default_replay,A_proj_nonSVD,abs_diagnostic,6.12766164974451e-07,0.0325373776368364,0.0325373776368364,0.998941319056518,9.8874803424713e-07,37,0.998491603351335
default_replay,m0_svd,abs_diagnostic,6.12915979068238e-07,0.0325453326415732,0.0325453326415732,0.998940801323249,9.89498458480931e-07,37,0.998490094304513
default_replay,projection_mean_curve,abs_diagnostic,6.12426242778925e-07,0.0325193280487959,0.0325193280487959,0.998942493303255,9.87065077471131e-07,37,0.998492840547964
default_replay,A_obs,zscore_diagnostic,1.59331417254588e-05,0.846036675807815,0.846036675807815,0.284221943188061,1.6324057867161e-05,33,0.947353795883011
default_replay,A_proj_nonSVD,zscore_diagnostic,1.59310515366695e-05,0.845925688508163,0.845925688508163,0.28440972952199,1.59350165796233e-05,19,0.947666704026524
default_replay,m0_svd,zscore_diagnostic,1.59310514096852e-05,0.845925681765401,0.845925681765401,0.284409740929742,1.59368531349889e-05,19,0.947666723032108
default_replay,projection_mean_curve,zscore_diagnostic,1.59310514643969e-05,0.845925684670545,0.845925684670545,0.284409736014669,1.59359983345279e-05,19,0.947666714843482
strict_default_no_quality_flag,A_obs,raw,6.29991204606567e-07,0.0334520130252688,0.0334520130252688,0.998880962824557,1.04497231365279e-06,37,0.998402652025803
