variant_id,baseline,window,grid,inclusion
AR03_B1_W1_G1_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,FULL_TRACE,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B2_W1_G1_I1,MEDIAN_FIRST_5_PERCENT,FULL_TRACE,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B3_W1_G1_I1,MEAN_FIRST_5_PERCENT,FULL_TRACE,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B4_W1_G1_I1,MEDIAN_FIRST_10_PERCENT,FULL_TRACE,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B1_W2_G1_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,TRIM_FIRST_5_PERCENT,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B1_W3_G1_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,TRIM_FIRST_10_PERCENT,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B1_W4_G1_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,TRIM_LAST_10_PERCENT,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B1_W1_G1_I2,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,FULL_TRACE,CANONICAL_GRID,INCLUDE_ALL_VALID_CREATION_CURVES
AR03_B1_W1_G2_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,FULL_TRACE,HALF_DENSITY_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B2_W1_G2_I1,MEDIAN_FIRST_5_PERCENT,FULL_TRACE,HALF_DENSITY_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B1_W2_G2_I1,ROBUST_EARLY_WINDOW_MEDIAN_EXCLUDING_FIRST_POINT,TRIM_FIRST_5_PERCENT,HALF_DENSITY_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
AR03_B2_W2_G1_I1,MEDIAN_FIRST_5_PERCENT,TRIM_FIRST_5_PERCENT,CANONICAL_GRID,STRICT_DEFAULT_NO_QUALITY_FLAG
