inclusion_set,scalar_name,variant,loto_rmse_mean,loto_rmse_median,loto_rmse_max,worst_held_T_K
default_replay,A_obs,raw,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
default_replay,A_proj_nonSVD,raw,6.21065284792398e-07,6.41166657552753e-07,7.49608477133983e-07,19
default_replay,m0_svd,raw,6.21062918781779e-07,6.41167549104926e-07,7.4959544648101e-07,19
default_replay,projection_mean_curve,raw,6.21065436775646e-07,6.41164942720115e-07,7.49601372528009e-07,19
default_replay,A_obs,sign_flip_if_negative_mean,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
default_replay,A_proj_nonSVD,sign_flip_if_negative_mean,6.21065284792398e-07,6.41166657552753e-07,7.49608477133983e-07,19
default_replay,m0_svd,sign_flip_if_negative_mean,6.21062918781779e-07,6.41167549104926e-07,7.4959544648101e-07,19
default_replay,projection_mean_curve,sign_flip_if_negative_mean,6.21065436775646e-07,6.41164942720115e-07,7.49601372528009e-07,19
default_replay,A_obs,abs_diagnostic,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
default_replay,A_proj_nonSVD,abs_diagnostic,6.74898055451555e-07,6.4661880353057e-07,9.88805969165831e-07,37
default_replay,m0_svd,abs_diagnostic,6.74989203925678e-07,6.4661691014692e-07,9.89556696441993e-07,37
default_replay,projection_mean_curve,abs_diagnostic,6.74686541825428e-07,6.46617705436736e-07,9.87122335913974e-07,37
default_replay,A_obs,zscore_diagnostic,1.83991758949869e-05,1.77904738485268e-05,2.23378180232358e-05,37
default_replay,A_proj_nonSVD,zscore_diagnostic,1.8444961381476e-05,1.77802498575381e-05,2.37963338378411e-05,37
default_replay,m0_svd,zscore_diagnostic,1.84448494356496e-05,1.77799463062072e-05,2.37942771621408e-05,37
default_replay,projection_mean_curve,zscore_diagnostic,1.84448341983169e-05,1.77799917593757e-05,2.37934766264018e-05,37
strict_default_no_quality_flag,A_obs,raw,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
strict_default_no_quality_flag,A_proj_nonSVD,raw,6.21065284792398e-07,6.41166657552753e-07,7.49608477133983e-07,19
strict_default_no_quality_flag,m0_svd,raw,6.21062918781779e-07,6.41167549104926e-07,7.4959544648101e-07,19
strict_default_no_quality_flag,projection_mean_curve,raw,6.21065436775646e-07,6.41164942720115e-07,7.49601372528009e-07,19
strict_default_no_quality_flag,A_obs,sign_flip_if_negative_mean,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
strict_default_no_quality_flag,A_proj_nonSVD,sign_flip_if_negative_mean,6.21065284792398e-07,6.41166657552753e-07,7.49608477133983e-07,19
strict_default_no_quality_flag,m0_svd,sign_flip_if_negative_mean,6.21062918781779e-07,6.41167549104926e-07,7.4959544648101e-07,19
strict_default_no_quality_flag,projection_mean_curve,sign_flip_if_negative_mean,6.21065436775646e-07,6.41164942720115e-07,7.49601372528009e-07,19
strict_default_no_quality_flag,A_obs,abs_diagnostic,6.90132027586325e-07,6.62118974772859e-07,1.04505544551917e-06,37
strict_default_no_quality_flag,A_proj_nonSVD,abs_diagnostic,6.74898055451555e-07,6.4661880353057e-07,9.88805969165831e-07,37
strict_default_no_quality_flag,m0_svd,abs_diagnostic,6.74989203925678e-07,6.4661691014692e-07,9.89556696441993e-07,37
strict_default_no_quality_flag,projection_mean_curve,abs_diagnostic,6.74686541825428e-07,6.46617705436736e-07,9.87122335913974e-07,37
strict_default_no_quality_flag,A_obs,zscore_diagnostic,1.83991758949869e-05,1.77904738485268e-05,2.23378180232358e-05,37
strict_default_no_quality_flag,A_proj_nonSVD,zscore_diagnostic,1.8444961381476e-05,1.77802498575381e-05,2.37963338378411e-05,37
strict_default_no_quality_flag,m0_svd,zscore_diagnostic,1.84448494356496e-05,1.77799463062072e-05,2.37942771621408e-05,37
strict_default_no_quality_flag,projection_mean_curve,zscore_diagnostic,1.84448341983169e-05,1.77799917593757e-05,2.37934766264018e-05,37
all_trace_valid,A_obs,raw,6.93724645333519e-07,6.72230191060657e-07,1.04620692175411e-06,37
all_trace_valid,A_proj_nonSVD,raw,6.37866187143607e-07,6.49728246669976e-07,7.96393559049939e-07,9
all_trace_valid,m0_svd,raw,6.37864491686252e-07,6.49723495358844e-07,7.96390941821597e-07,9
all_trace_valid,projection_mean_curve,raw,6.37866110291344e-07,6.49727173761788e-07,7.96393874681964e-07,9
all_trace_valid,A_obs,sign_flip_if_negative_mean,6.93724645333519e-07,6.72230191060657e-07,1.04620692175411e-06,37
all_trace_valid,A_proj_nonSVD,sign_flip_if_negative_mean,6.37866187143607e-07,6.49728246669976e-07,7.96393559049939e-07,9
all_trace_valid,m0_svd,sign_flip_if_negative_mean,6.37864491686252e-07,6.49723495358844e-07,7.96390941821597e-07,9
all_trace_valid,projection_mean_curve,sign_flip_if_negative_mean,6.37866110291344e-07,6.49727173761788e-07,7.96393874681964e-07,9
all_trace_valid,A_obs,abs_diagnostic,6.93724645333519e-07,6.72230191060657e-07,1.04620692175411e-06,37
all_trace_valid,A_proj_nonSVD,abs_diagnostic,6.79533655758536e-07,6.6777063858264e-07,9.88681206087502e-07,37
all_trace_valid,m0_svd,abs_diagnostic,6.79631039012406e-07,6.67771989045061e-07,9.89438608102829e-07,37
all_trace_valid,projection_mean_curve,abs_diagnostic,6.79489372661444e-07,6.67770892163684e-07,9.88007043756825e-07,37
all_trace_valid,A_obs,zscore_diagnostic,1.44936588678586e-05,1.42627454201448e-05,1.56239966239654e-05,29
all_trace_valid,A_proj_nonSVD,zscore_diagnostic,1.45069278237194e-05,1.40892945094128e-05,1.59329220978631e-05,37
all_trace_valid,m0_svd,zscore_diagnostic,1.45069035917581e-05,1.40902458695687e-05,1.59316242897498e-05,37
all_trace_valid,projection_mean_curve,zscore_diagnostic,1.45069182696785e-05,1.40896724639817e-05,1.59317283557437e-05,37
