metric_key,metric_value
TASK_COMPLETED,YES
RELAXATION_MODULE_ONLY,YES
SWITCHING_USED,NO
X_USED,NO
AX_FIT_RUN,NO
POWERLAW_FIT_RUN,NO
NEW_MODEL_FIT_RUN,NO
AR01_ARTIFACTS_FOUND,YES
AR02_ARTIFACTS_FOUND,YES
AR03_ARTIFACTS_FOUND,YES
AR03_VERIFIED_FROM_ARTIFACTS,YES
CLAIM_MATRIX_WRITTEN,YES
SCALAR_HIERARCHY_WRITTEN,YES
CONFUSION_AUDIT_WRITTEN,YES
NEXT_LINEAGE_TASK_DOCUMENTED,YES
SAFE_TO_USE_A_OBS_MAIN_TEXT,PARTIAL
SAFE_TO_USE_M0_LOO_RECONSTRUCTION_SUPPLEMENT,YES
SAFE_TO_CLAIM_M0_LOO_ROBUST_RANK1_COORDINATE,YES
SAFE_TO_CLAIM_M0_UNIQUE_PHYSICAL_AMPLITUDE,NO
SAFE_TO_CLAIM_AT_OLD_EQUALS_M0,NO
READY_FOR_AT_OLD_M0_LINEAGE_RECONCILIATION,YES
READY_FOR_AX_REINTERPRETATION,NO
