task_id,evidence_key,value,source_path,notes
AR01,primary_map_source,"RF3R2 repaired curve samples + curve index + RCON_02B amplitude columns",tables/relaxation/relaxation_activity_representation_01_input_inventory.csv,nGrid=320 per status
AR01,inclusion_set_primary,"strict_default_no_quality_flag: trace_valid_for_relaxation AND valid_for_default_replay AND NOT is_quality_flagged",reports/relaxation/relaxation_activity_representation_01_scalar_ranking.md,Matches RLX03 default policy where applicable
AR01,compared_scalars,"A_obs; A_proj_nonSVD; m0_svd; projection_mean_curve",tables/relaxation/relaxation_activity_representation_01_scalar_definitions.csv,Legacy A_T not in table
AR01,best_in_sample_reconstruction_scalar,m0_svd,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,Expected rank-1 optimality with full-map psi
AR01,best_heldout_loto_scalar,m0_svd,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,LOTO on fixed-column scalars
AR01,recommended_main_text_scalar,A_obs,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,Directness emphasis
AR01,recommended_supplement_scalars,"m0_svd; projection_mean_curve; A_proj_nonSVD",tables/relaxation/relaxation_activity_representation_01_verdicts.csv,Semicolon-separated in source
AR01,unique_best_scalar_verdict,NO,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,SAFE_TO_CLAIM_UNIQUE_BEST_RELAXATION_SCALAR
AR01,baseline_window_robustness,NO,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,Superseded for map sweep by AR03
AR02,loo_svd_fold_count_effective,8,tables/relaxation/relaxation_activity_representation_02_loo_svd_fold_metrics.csv,One row per held-out temperature
AR02,loo_svd_all_folds_valid,YES,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,
AR02,m0_loo_vs_full_m0_correlation,-1 Pearson / Spearman,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,Global sign convention difference diagnostic
AR02,M0_LOO_SIGN_STABLE,YES,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,Verdict uses |-corr|=1 interpretation
AR02,M0_LOO_HELDOUT_RECONSTRUCTION_BEST,YES,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,Among non-leaky methods on summary means
AR02,map_variants_catalogued,2,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,map_variant_inventory
AR02,map_variants_analyzed,1,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,primary_RF3R2_repaired only
AR02,baseline_window_robustness_done,NO,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,BLOCKED_BY_MISSING_VARIANTS YES in verdict
AR02,map_ranking_stability_across_variants,UNKNOWN,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,Single analyzed variant
AR03,variants_requested,12,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,
AR03,variants_effective,12,tables/relaxation/relaxation_activity_representation_03_status.csv,No early-exit skip in status summary
AR03,best_scalar_overall,m0_LOO_SVD_projection,tables/relaxation/relaxation_activity_representation_03_ranking_summary.csv,All rows agree on best_scalar
AR03,m0_loo_best_all_variants,YES,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,M0_LOO_ALWAYS_BEST
AR03,ranking_flips_vs_reference,NO,reports/relaxation/relaxation_activity_representation_03_robustness_audit.md,Reference AR03_B1_W1_G1_I1
AR03,ranking_stability_verdict,YES,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,SCALAR_RANKING_STABLE_ACROSS_VARIANTS
AR03,unique_best_claimable_verdict,YES,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,Across tested variants only; differs from AR01 global uniqueness key
AR03,log_time_grid_g3_included,NO,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,Explicitly excluded from variant set
AR03,caveat_scope,"12 predefined B/W/G/I combinations on RF3R2; not proof for arbitrary maps",reports/relaxation/relaxation_activity_representation_03_robustness_audit.md,Publication wording should retain scope
