metric_key,metric_value
TASK_COMPLETED,YES
RELAXATION_MODULE_ONLY,YES
SWITCHING_USED,NO
X_USED,NO
AX_FIT_RUN,NO
POWERLAW_FIT_RUN,NO
CROSS_MODULE_CLAIM_CREATED,NO
OLD_AT_TABLE_FOUND,NO
OLD_AT_SOURCE_MAP_FOUND,UNKNOWN
OLD_AT_RECOMPUTED,NO
CURRENT_M0_SVD_TABLE_FOUND,YES
COMMON_TEMPERATURES_FOUND,NO
ROW_LEVEL_NUMERIC_COMPARISON_DONE,NO
AT_EQUALS_M0_BY_DEFINITION,NO
AT_EQUALS_M0_NUMERICALLY,NO
AT_EQUIVALENT_TO_M0_UP_TO_SIGN,UNKNOWN
AT_EQUIVALENT_TO_M0_UP_TO_SCALE,UNKNOWN
AT_EQUIVALENT_TO_M0_UP_TO_AFFINE,UNKNOWN
AT_MONOTONIC_WITH_M0,UNKNOWN
AT_AND_M0_DIFFER_BY_SOURCE_OBJECT,YES
AT_AND_M0_DIFFER_BY_TEMPERATURE_MASK,PARTIAL
AT_AND_M0_DIFFER_BY_TIME_GRID,PARTIAL
AT_AND_M0_DIFFER_BY_TRACE_SELECTION,PARTIAL
AT_AND_M0_DIFFER_BY_BASELINE_OR_SMOOTHING,PARTIAL
EXACT_IDENTITY_CLAIM_SAFE,NO
SAME_CONCEPTUAL_FAMILY_CLAIM_SAFE,YES
READY_FOR_AX_REINTERPRETATION,NO
LINEAGE_06_JUSTIFIED,PARTIAL
