path,exists,source_task,artifact_type,canonical_status,relaxation_only_or_cross_module,main_result,caveat,next_action
tables/relaxation/relaxation_RF3R2_repaired_curve_samples.csv,YES,RF3R2_build,canonical_input,CANONICAL_INPUT_RLX,R_ONLY,Primary repaired delta_m time series grid.,Large gitignored table; verify checksum policy.,Maintain provenance row in manifests.
tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,YES,RF3R2_build,canonical_input,CANONICAL_INPUT_RLX,R_ONLY,Trace metadata replay flags.,Quality flags restrict strict inclusion.,Document inclusion labels for reproduction.
tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,YES,RCON_02B,scalar_bundle,CANONICAL_SCALAR_TABLE_RLX,R_ONLY,A_obs A_proj_nonSVD SVD_score_mode1 per temperature.,Columns alias contract required.,Keep naming bridge table updated with contract doc.
reports/relaxation/relaxation_activity_final_closure_07.md,YES,CLOSURE_07,figure_report,CLOSURE_PACKAGE,R_ONLY,Freezes scalar roles and claim boundaries.,Does not execute AX.,Reference for all future Relaxation prose.
tables/relaxation/relaxation_activity_final_closure_07_scalar_dictionary.csv,YES,CLOSURE_07,scalar_definition,CLOSURE_PACKAGE,R_ONLY,Definitions per scalar symbol.,Two-coordinate framing explicit.,Merge into naming contract 08A as authoritative extension.
tables/relaxation/relaxation_AT_canon_lineage_06_scalar_comparison.csv,YES,LINEAGE_06,lineage_analysis,CANONICAL_DEFINITION_BRIDGE,R_ONLY,Affine class vs m0 family.,Eight temperature strict mask Lineage-06.,Scope warning in cross-module briefs.
Relaxation ver3/diagnostics/run_relaxation_AT_canon_lineage_06.m,YES,LINEAGE_06,script_executable,CANONICAL_SCRIPT_RLX,R_ONLY,Rebuild A_T_canon definition path.,MATLAB name length limit documented.,No edit unless tooling policy changes.
run_relaxation_activity_representation_01.m,YES,AR01,representation_analysis,ARCHIVED_RLX,R_ONLY,Rank-1 reconstruction ranking.,Superseded by AR02 AR03 for LOO story.,Keep archived as lineage runner reference.
run_relaxation_activity_representation_02.m,YES,AR02,representation_analysis,ARCHIVED_RLX,R_ONLY,LOO SVD stability metrics.,Baseline robustness gap closed later by AR03.,Same.
run_relaxation_activity_representation_03.m,YES,AR03,robustness_analysis,ARCHIVED_RLX,R_ONLY,Twelve variant ranking stability.,Uniqueness scoped to variants.,Same.
tables/relaxation/relaxation_activity_consolidation_04_claim_safety_matrix.csv,YES,C04,scalar_definition,CLOSURE_SUPPORT,R_ONLY,Early safety matrix.,Align wording with 08A contract.,Cross-check rows vs naming aliases table.
Relaxation ver3/run_relaxation_RF5A_RF3R2_primary_rank1_and_m0.m,YES,RF5A_track,diagnostic_script,LEGACY_AND_DIAGNOSTIC_RLX,R_ONLY,RF5A rank1 probe versus RF3R2 pipeline.,Not merged into AR closure numerical verdict.,Legacy gap map task RF5A canon review.
Relaxation ver3/run_relaxation_switching_scaling_01.m,YES,SCALING_BRIDGE,cross_module_script,NON_CANONICAL_GM,MIXED,Relaxation scaling bridge prototype.,Cross-module governance required.,Route future work through AX governance doc only.
Relaxation ver3/run_relaxation_tau_RF3R2_narrow_replay.m,YES,tau_track,diagnostic_script,UNCERTAIN_CANON,R_ONLY,Narrow tau replay visualization.,Tau-beta canon separate from amplitude closure.,Schedule Relaxation-only tau-beta status survey task.
