variant_id,scalar,rmse_in_sample,rmse_loo
AR03_B1_W1_G1_I1,m0_LOO_SVD_projection,5.40615488717536e-07,6.21057880483923e-07
AR03_B1_W1_G1_I1,m0_svd_full_reference,3.7653213182827e-05,3.20763470610612e-05
AR03_B1_W1_G1_I1,A_proj_nonSVD,5.40617405504615e-07,6.21065284792398e-07
AR03_B1_W1_G1_I1,A_obs,6.29991204606567e-07,6.90132027586325e-07
AR03_B2_W1_G1_I1,m0_LOO_SVD_projection,5.14792808164445e-07,5.94446407238683e-07
AR03_B2_W1_G1_I1,m0_svd_full_reference,3.03314016736041e-05,2.58616679320658e-05
AR03_B2_W1_G1_I1,A_proj_nonSVD,8.11307199579708e-07,9.21618907145578e-07
AR03_B2_W1_G1_I1,A_obs,8.04788764097069e-07,9.15065952175014e-07
AR03_B3_W1_G1_I1,m0_LOO_SVD_projection,5.06551184622748e-07,5.83397291871011e-07
AR03_B3_W1_G1_I1,m0_svd_full_reference,3.05599078710911e-05,2.60512314501724e-05
AR03_B3_W1_G1_I1,A_proj_nonSVD,7.07622003487524e-07,7.98869521972606e-07
AR03_B3_W1_G1_I1,A_obs,7.17015169234141e-07,8.12039550885522e-07
AR03_B4_W1_G1_I1,m0_LOO_SVD_projection,5.12634373975112e-07,5.91600028188125e-07
AR03_B4_W1_G1_I1,m0_svd_full_reference,2.82097006746488e-05,2.40686136618694e-05
AR03_B4_W1_G1_I1,A_proj_nonSVD,7.91742619703688e-07,8.68856594061285e-07
AR03_B4_W1_G1_I1,A_obs,7.83008790796377e-07,8.57737443255456e-07
AR03_B1_W2_G1_I1,m0_LOO_SVD_projection,5.34173114220475e-07,6.13212016307521e-07
AR03_B1_W2_G1_I1,m0_svd_full_reference,3.80585305597712e-05,3.24257101042954e-05
AR03_B1_W2_G1_I1,A_proj_nonSVD,5.34352949871088e-07,6.13431117795197e-07
AR03_B1_W2_G1_I1,A_obs,6.31089196475324e-07,6.86711330244625e-07
AR03_B1_W3_G1_I1,m0_LOO_SVD_projection,5.20650118836042e-07,5.99483480044411e-07
AR03_B1_W3_G1_I1,m0_svd_full_reference,3.84051544901645e-05,3.27162429125763e-05
AR03_B1_W3_G1_I1,A_proj_nonSVD,5.21089797697577e-07,5.99970690416247e-07
AR03_B1_W3_G1_I1,A_obs,6.19058252173355e-07,6.73278759449666e-07
AR03_B1_W4_G1_I1,m0_LOO_SVD_projection,5.38027599224868e-07,6.15807542347481e-07
AR03_B1_W4_G1_I1,m0_svd_full_reference,3.72353050092554e-05,3.1724010354229e-05
AR03_B1_W4_G1_I1,A_proj_nonSVD,5.38613520911404e-07,6.16435397065836e-07
AR03_B1_W4_G1_I1,A_obs,6.31938217044626e-07,6.88011511822937e-07
AR03_B1_W1_G1_I2,m0_LOO_SVD_projection,6.06781188018498e-07,6.37863868972449e-07
AR03_B1_W1_G1_I2,m0_svd_full_reference,3.24572621671577e-05,2.74894112231221e-05
AR03_B1_W1_G1_I2,A_proj_nonSVD,6.06782338839459e-07,6.37866187143607e-07
AR03_B1_W1_G1_I2,A_obs,6.70421380789929e-07,6.93724645333519e-07
AR03_B1_W1_G2_I1,m0_LOO_SVD_projection,5.69697292830102e-07,6.51684597934887e-07
AR03_B1_W1_G2_I1,m0_svd_full_reference,4.5445383085206e-05,3.87040350825206e-05
AR03_B1_W1_G2_I1,A_proj_nonSVD,5.70642011788847e-07,6.52883103281363e-07
AR03_B1_W1_G2_I1,A_obs,6.47725803711601e-07,7.11591868966886e-07
AR03_B2_W1_G2_I1,m0_LOO_SVD_projection,5.329962748666e-07,6.12973218659764e-07
AR03_B2_W1_G2_I1,m0_svd_full_reference,3.81278297333404e-05,3.24890548908659e-05
AR03_B2_W1_G2_I1,A_proj_nonSVD,8.38191880007858e-07,9.49968516680164e-07
AR03_B2_W1_G2_I1,A_obs,8.27308093098079e-07,9.3906487215266e-07
AR03_B1_W2_G2_I1,m0_LOO_SVD_projection,5.32651381703632e-07,6.08345411662634e-07
AR03_B1_W2_G2_I1,m0_svd_full_reference,4.58551672037428e-05,3.90590633732199e-05
AR03_B1_W2_G2_I1,A_proj_nonSVD,5.33515848554233e-07,6.09306924019367e-07
AR03_B1_W2_G2_I1,A_obs,6.37973673998479e-07,6.87934193239523e-07
AR03_B2_W2_G1_I1,m0_LOO_SVD_projection,5.14987608000956e-07,5.93568229790779e-07
AR03_B2_W2_G1_I1,m0_svd_full_reference,3.0618960354123e-05,2.61104557153655e-05
AR03_B2_W2_G1_I1,A_proj_nonSVD,8.26273543355107e-07,9.38313304781758e-07
AR03_B2_W2_G1_I1,A_obs,8.21193382490408e-07,9.33173238554137e-07
