verdict_key,verdict_value
RLX_ACTIVITY_REPRESENTATION_02_COMPLETE,YES
RELAXATION_ONLY_NO_SWITCHING_USED,YES
PRIMARY_MAP_SOURCE_IDENTIFIED,YES
LOO_SVD_DONE,YES
LOO_SVD_ALL_FOLDS_VALID,YES
LOO_SVD_ORIENTATION_STABLE,YES
M0_LOO_CORRELATES_WITH_FULL_M0,YES
M0_LOO_SIGN_STABLE,YES
M0_LOO_SCALE_STABLE,YES
M0_LOO_HELDOUT_RECONSTRUCTION_BEST,YES
M0_LOO_HELDOUT_RECONSTRUCTION_NEAR_BEST,YES
AOBS_HELDOUT_RECONSTRUCTION_BEST,NO
APROJ_HELDOUT_RECONSTRUCTION_BEST,NO
PROJECTION_MEAN_HELDOUT_RECONSTRUCTION_BEST,NO
FULL_DATA_M0_MARKED_LEAKY_REFERENCE,YES
SVD_M0_BASIS_STABILITY_OK,YES
SVD_M0_PRIMARY_SCALAR_SAFE_AFTER_LOO,PARTIAL
MAP_VARIANT_SEARCH_DONE,YES
MAP_VARIANTS_FOUND,2
MAP_VARIANTS_ANALYZED,1
BASELINE_WINDOW_ROBUSTNESS_DONE,NO
BASELINE_WINDOW_ROBUSTNESS_BLOCKED_BY_MISSING_VARIANTS,YES
SCALAR_RANKING_STABLE_ACROSS_MAP_VARIANTS,UNKNOWN
SCALAR_RANKING_STABLE_ACROSS_INCLUSION_SETS,PARTIAL
SCALAR_RANKING_DEPENDS_ON_MAP_DEFINITION,UNKNOWN
BEST_NONLEAKY_HELDOUT_SCALAR,m0_LOO_SVD_projection
BEST_MAP_ROBUST_SCALAR,UNKNOWN
BEST_DIRECT_SCALAR,A_obs
BEST_COMPROMISE_SCALAR_AFTER_ROBUSTNESS,A_proj_nonSVD
RECOMMENDED_MAIN_TEXT_SCALAR_AFTER_02,A_obs
RECOMMENDED_SUPPLEMENT_SCALARS_AFTER_02,m0_LOO_SVD_projection;m0_svd_RC_reference;A_proj_nonSVD
SAFE_TO_CLAIM_UNIQUE_BEST_RELAXATION_SCALAR_AFTER_02,NO
NEED_FOLLOWUP_BASELINE_WINDOW,YES
NEED_FOLLOWUP_RERUN_ALTERNATIVE_MAPS,YES
NEED_FOLLOWUP_PUBLICATION_DECISION_ONLY,PARTIAL
DIAGNOSTIC_corr_m0_LOO_full_m0,-1.000000
DIAGNOSTIC_spearman_m0_LOO_full_m0,-1.000000
DIAGNOSTIC_sign_agreement_fraction,0.000000
DIAGNOSTIC_median_abs_scale_ratio_LOO_over_full,0.999895
