flag_name,source_file,meaning,allowed_use,blocks_row,notes
trace_valid_for_relaxation,tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,Trace_passed_RF3R2_relaxation_eligibility_gates,"Filter_or_audit_trace_lists_NO_equals_contract_scalar",NO,All_sample_rows_read_show_YES
invalid_reason,tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,Text_reason_when_trace_invalid,"Diagnostics_only",NO,Sample_rows_show_NaN_when_valid
is_quality_flagged,tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,Additional_quality_mark_on_trace,"Labeling_and_audit_not_sole_exclusion_without_protocol",NO,Can_be_YES_while_valid_for_default_replay_NO
valid_for_default_replay,tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,Default_narrow_replay_admission,"Use_as_protocol_gate_for_default_replay_figures",YES_for_default_replay_set,Many_traces_NO_true_with_trace_still_valid_for_relaxation_YES
quality_flag,tables/relaxation/relaxation_RF3R2_repaired_curve_samples.csv,Per_sample_quality_mark_in_long_table,"Sample_level_diagnostics",NO,YES_NO_in_header_row
valid_for_default_replay,tables/relaxation/relaxation_RF3R2_repaired_curve_samples.csv,Per_sample_replay_admission,"Align_sample_rows_to_index_protocol",NO,Consistent_with_index_per_trace
rf3r2_sample_mask_policy,tables/relaxation/relaxation_RF3R2_repaired_curve_index.csv,Mask_policy_string_e_g_sample_index_ge_10,"Reproducibility_and_build_audit",NO,Value_sample_index_ge_10_in_status
SAMPLE_INDEX_GE_10_MASK_APPLIED,tables/relaxation/relaxation_RF3R2_repaired_build_status.csv,Build_verdict_mask_applied_to_canonical_object,"Document_in_methods",NO,Status_value_YES
THIRTYFIVE_K_EXCLUDED,tables/relaxation/relaxation_RF3R2_repaired_build_status.csv,Ladder_excludes_35K_temperature,"Expected_canonical_window_statement",NO,Status_value_YES
inclusion_status,tables/relaxation/relaxation_AT_canon_lineage_06_scalar_table.csv,Lineage06_row_inclusion_strict_mask,"Restrict_A_T_canon_numeric_claims_to_INCLUDED_rows_only",YES_outside_strict_mask,Eight_temperature_strict_subset
