key,value
TASK_COMPLETED,YES
RELAXATION_MODULE_ONLY,YES
SWITCHING_USED,NO
X_USED,NO
AX_FIT_RUN,NO
POWERLAW_FIT_RUN,NO
NEW_MODEL_FIT_RUN,NO
FINAL_SCALAR_DICTIONARY_WRITTEN,YES
FINAL_SCALAR_HIERARCHY_WRITTEN,YES
CLAIM_BOUNDARY_MATRIX_WRITTEN,YES
CONFUSION_RESOLUTION_WRITTEN,YES
CROSS_MODULE_HANDOFF_WRITTEN,YES
ARCHIVAL_PLAN_WRITTEN,YES
AOBS_MAIN_TEXT_DIRECT_OBSERVABLE,YES
M0_LOO_ROBUST_RANK1_COORDINATE,YES
AT_CANON_RECONSTRUCTED_LEGACY_DEFINITION,YES
AT_CANON_AFFINE_EQUIVALENT_TO_M0_FAMILY,YES
AT_OLD_RECOVERED,NO
AT_OLD_EQUALS_M0_SAFE,NO
M0_UNIQUE_PHYSICAL_AMPLITUDE_SAFE,NO
READY_FOR_CROSS_MODULE_AX_TASK,YES
READY_FOR_POWERLAW_RETEST_TASK,YES
SAFE_TO_ARCHIVE_RELAXATION_ACTIVITY_PACKAGE,YES
