path,classification,purpose,rf_family_scope,durable_artifacts_detected,corresponding_report_table_exists,visualization_rule_compliance,fig_export_risk,pdf_export_risk,mixed_rf3r_rf3r2_risk,safe_focused_commit,proposed_commit_group,notes
Relaxation ver3/build_RF3R2_repaired_replay_object.m,KEEP_CANONICAL_SOURCE,Build RF3R2 repaired replay tables and build status from RF3R source lineage,RF3R2_with_RF3R_lineage_input,YES,PARTIAL,TABLE_ONLY_NOT_VISUALIZATION,NO,NO,NO,YES,G1_RF3R2_REPAIRED_REPLAY_CORE,Core RF3R2 lineage builder; table status exists but paired report file not observed.
Relaxation ver3/diagnostics/run_RF3R_default_replay_repair_audit.m,KEEP_DIAGNOSTIC_SOURCE,Audit RF3R default replay repair policy and produce diagnostic tables/report,RF3R,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G2_RF3R_DIAGNOSTIC_AUDITS,Diagnostic-only scope with explicit status/report artifacts present.
Relaxation ver3/diagnostics/run_RF3R_manual_trace_review.m,KEEP_DIAGNOSTIC_SOURCE,Manual trace-level diagnostic review for RF3R repair edge cases,RF3R,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G2_RF3R_DIAGNOSTIC_AUDITS,Supports diagnostic adjudication and writes governed table/report outputs.
Relaxation ver3/diagnostics/run_relaxation_observable_stability_audit_recovery_runner.m,NEEDS_REVIEW,Wrapper runner for observable stability audit recovery invocation,MIXED_OR_UNCLEAR,UNKNOWN,NO,NOT_VISUALIZATION,NO,NO,YES,PARTIAL,G0_RUNNER_REVIEW,Harness-style runner writes probe files and delegates to another script; direct durable outputs not confirmed in this file.
Relaxation ver3/run_relaxation_A_T_m0_RF3R2_reconciliation_audit.m,KEEP_DIAGNOSTIC_SOURCE,Reconciliation audit between historical A_T definition and RF3R2 m0 with diagnostic figures,RF3R2_with_RF3R_definition_reference,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,YES,PARTIAL,G3_RF3R2_A_T_M0_RECONCILIATION,Scientifically useful but semantically mixed RF3R/RF3R2 bridge requires careful commit messaging.
Relaxation ver3/run_relaxation_A_T_vs_m0_RF3R2.m,KEEP_DIAGNOSTIC_SOURCE,Numeric comparison of historical A_T vs RF3R2 m0 and gated status writing,RF3R2_with_historical_bridge,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,YES,PARTIAL,G3_RF3R2_A_T_M0_RECONCILIATION,Bridge script is policy-caveated and not canonical-closure evidence by itself.
Relaxation ver3/run_relaxation_A_T_vs_m0_diagnostic_RF3R.m,KEEP_DIAGNOSTIC_SOURCE,RF3R diagnostic comparator between archived A_T and RF3R m0 reference,RF3R,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G2_RF3R_DIAGNOSTIC_AUDITS,RF3R-only diagnostic and explicitly non-canonical comparator usage.
Relaxation ver3/run_relaxation_RF3R2_units_name_audit.m,KEEP_DIAGNOSTIC_SOURCE,RF3R2 units and naming audit with policy verdict status,RF3R2,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G4_RF3R2_UNITS_AND_POLICY_AUDITS,Explicitly enforces naming/export gates and records policy verdicts.
Relaxation ver3/run_relaxation_RF3R_allowed_old_analysis_replay.m,KEEP_DIAGNOSTIC_SOURCE,Restricted RF3R allowed replay of old analysis claims without full old pipeline,RF3R,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G2_RF3R_DIAGNOSTIC_AUDITS,Controlled replay script with explicit NO gates for tau/collapse/RF5B continuation.
Relaxation ver3/run_relaxation_RF4B_RF3R2_visualization.m,KEEP_VISUALIZATION_SOURCE,RF4B visualization proofs on RF3R2 repaired object using PNG outputs,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Visualization source aligns with current PNG-only preference.
