legacy_item,source_path,legacy_claim_or_goal,current_canonical_answer,canonical_status,relaxation_only_or_cross_module,recommended_next_action,priority,notes
Historical_A_T_export_missing,lineage_05_tables_reports,Exact numeric match old A_T vs m0,no recovered CSV identity claim unsafe,PARTIALLY_RESOLVED_RLX,R_ONLY,maintain prohibition carry Lineage-05 verdicts,HIGH,numeric gap permanent until artifact surfaces
Legacy_RF5A_rank1_story,Relaxation ver3/run_relaxation_RF5A_*.m,RF5A primary rank1 and m0 framing,pipeline overlaps RCON SVD column family via lineage bridges,OPEN_HARMONIZATION_RLX,R_ONLY,dedicated RLX RF5A naming harmonization audit,MEDIUM,Many RF5A scripts exist outside closure archive list
Tau_beta_KWW_model_helpers,Relaxation ver3/fitRelaxationModel.m; diagnose_tau_beta_degeneracy.m,Fits stretched exponential style laws,not consolidated with amplitude closure package,OPEN_RLX,R_ONLY,tau-beta canon survey tied RF3R2 masks,MEDIUM,Scientific fits exist legacy scope survey only here
Collapse_like_visual_replays,Relaxation ver3/run_relaxation_collapse_RF3R2_narrow_replay.m,Narrow replay collapse panels,visual diagnostics not merged into scalar closure,DIAGNOSTIC_RLX,R_ONLY,keep labeled diagnostic not primary amplitude,MEDIUM,
Relaxation_switching_scaling_bridge,run_relaxation_switching_scaling_*.m,cross-domain scaling exploration,Closure forbids proving AX here,OPEN_CROSS,MIXED,governed AX replay task using A_obs_canon and A_svd_canon,HIGH,
Switching_analysis_helpers_using_relaxation,Switching/analysis/run_relaxation_*.m,mixed extraction audits,Relaxation artifacts consumed outside Relaxation governance,CROSS_MODULE_EDGE,MIXED,explicit cross-module manifest per docs,HIGH,
Old_post_field_off_canonicals,Relaxation ver3/run_relaxation_post_field_off_*.m,different canonical windows,multiple replay variants coexist,MULTIPLE_PROTOCOLS_RLX,R_ONLY,inventory window canon decision table,MEDIUM,
Legacy_visualization_inventory,Relaxation ver3/run_relaxation_canonical_visualization_inventory_and_plan.m,visual QA backlog,parallel track to numerical closure,OPEN_RLX,R_ONLY,merge figure readiness phase roadmap,MEDIUM,
Power_law_0p66_narrative,historical prose references,legacy exponent stories,Closure denies restoration without refit,NOT_CANONICAL_RLX,R_ONLY,defer power-law task authorization only,LOW,
Cross_module_X_eff_deep_scripts,scripts/run_cross_module_switching_relaxation_*.m,X_eff defense replays,cross-module task space not Relaxation canon,CROSS_MODULE,MIXED,run only under Switching Relaxation AX governance,HIGH,
