key,value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
SWITCHING_ANALYSIS_RUN,NO
AGING_ANALYSIS_RUN,NO
CROSS_MODULE_ANALYSIS_RUN,NO
ALL_08A_FILES_FOUND,YES
NAMING_CONTRACT_CLEAR,YES
AOBS_CANON_DEFINED,YES
ASVD_CANON_DEFINED,YES
AT_CANON_ROLE_DEFINED,YES
ASVD_LOO_ROLE_DEFINED,YES
AT_OLD_FORBIDDEN_AS_NUMERIC_EVIDENCE,YES
BARE_A_FORBIDDEN,YES
BARE_M0_FORBIDDEN,YES
RELAXATION_ONLY_GAP_ROUTE_WRITTEN,YES
CROSS_MODULE_GAP_ROUTE_WRITTEN,YES
RELAXATION_READY_FOR_R_ONLY_CONTINUATION,YES
RELAXATION_READY_FOR_TARGETED_R_ONLY_ANALYSIS,YES
RELAXATION_READY_FOR_CROSS_MODULE_ANALYSIS,YES
CROSS_MODULE_REQUIRES_DUAL_A_POLICY,YES
PAPER_READY_MAIN_TEXT_AOBS,YES
PAPER_READY_ASVD_SUPPLEMENT,YES
SAFE_TO_RUN_AX_NEXT,YES
SAFE_TO_RUN_POWERLAW_RETEST_NEXT,YES
SAFE_TO_RUN_KWW_TAU_BETA_SURVEY_NEXT,YES
SAFE_TO_COMMIT_AUDIT_PACKAGE,YES
