verdict_key,verdict_value
RLX_ACTIVITY_REPRESENTATION_01_COMPLETE,YES
RELAXATION_ONLY_NO_SWITCHING_USED,YES
COMMON_RELAXATION_MAP_IDENTIFIED,YES
COMMON_SCALAR_TABLE_BUILT,YES
AOBS_AVAILABLE,YES
APROJ_NONSVD_AVAILABLE,YES
M0_SVD_AVAILABLE,YES
PROJECTION_MEAN_CURVE_AVAILABLE,YES
LEGACY_AT_AVAILABLE,NO
RANK1_RECONSTRUCTION_DONE,YES
HELDOUT_T_RECONSTRUCTION_DONE,YES
INCLUSION_SET_SENSITIVITY_DONE,YES
SIGN_SCALE_SENSITIVITY_DONE,PARTIAL
TEMPERATURE_SMOOTHNESS_DONE,YES
BASELINE_WINDOW_ROBUSTNESS_DONE,NO
BEST_IN_SAMPLE_RECONSTRUCTION_SCALAR,m0_svd
BEST_HELDOUT_RECONSTRUCTION_SCALAR,m0_svd
MOST_DIRECT_SCALAR,A_obs
BEST_COMPROMISE_SCALAR,A_proj_nonSVD
BEST_HELDOUT_NON_M0_SCALAR,A_proj_nonSVD
M0_RANK1_COEFFICIENT_SAME_MAP_AS_RECONSTRUCTION,YES
SVD_M0_IN_SAMPLE_OPTIMAL_REFERENCE,YES
SVD_M0_BASIS_STABILITY_TESTED,NO
SVD_M0_BASIS_STABILITY_OK,UNKNOWN
AOBS_RECONSTRUCTION_SUFFICIENT,PARTIAL
APROJ_RECONSTRUCTION_SUFFICIENT,PARTIAL
M0_RECONSTRUCTION_SUFFICIENT,PARTIAL
PROJECTION_MEAN_CURVE_RECONSTRUCTION_SUFFICIENT,PARTIAL
SCALAR_RANKING_DEPENDS_ON_INCLUSION_SET,NO
SCALAR_RANKING_DEPENDS_ON_SIGN_ABS,NO
SCALAR_RANKING_DEPENDS_ON_BASELINE_WINDOW,UNKNOWN
BEST_RELAXATION_SCALAR_INDEPENDENT_OF_SWITCHING,m0_svd
SAFE_TO_USE_AOBS_AS_PRIMARY_DIRECT_SCALAR,PARTIAL
SAFE_TO_USE_APROJ_AS_PRIMARY_SCALAR,PARTIAL
SAFE_TO_USE_M0_SVD_AS_PRIMARY_SCALAR,PARTIAL
SAFE_TO_USE_PROJECTION_MEAN_CURVE_AS_PRIMARY_SCALAR,PARTIAL
SAFE_TO_CLAIM_UNIQUE_BEST_RELAXATION_SCALAR,NO
RECOMMENDED_MAIN_TEXT_SCALAR,A_obs
RECOMMENDED_SUPPLEMENT_SCALARS,m0_svd;projection_mean_curve;A_proj_nonSVD
NEED_FOLLOWUP_LOO_SVD,YES
NEED_FOLLOWUP_BASELINE_WINDOW,YES
STRICT_SET_FALLBACK_TO_DEFAULT_REPLAY,NO
RCON_m0_vs_first_SVD_V_column_Pearson,-1.000000
